group,names,scores,logfoldchanges,pvals,pvals_adj
0,TPT1,100.81146,,0.0,0.0
0,RPS12,96.50385,,0.0,0.0
0,RPLP2,96.40387,,0.0,0.0
0,RPL13,95.52939,,0.0,0.0
0,RPS27,69.02213,,0.0,0.0
0,CCR7,36.209126,,4.374098704986672e-287,3.016619796542532e-285
0,STMN3,6.816477,,9.330035223531047e-12,8.928263371800045e-11
0,RNF157,5.9997506,,1.9762078715780807e-09,1.6818790396409198e-08
0,FAM134B,5.6791463,,1.35368633702337e-08,1.096102297184915e-07
0,SUSD3,4.6312523,,3.6346088042548676e-06,2.3990817189801107e-05
0,TNFRSF25,4.577462,,4.706503445315079e-06,3.076146042689594e-05
0,MLLT6,4.4550676,,8.386675902024878e-06,5.3760742961697935e-05
0,HBB,3.4287925,,0.0006062729469307921,0.003101140393507888
0,ANXA2R,2.8584814,,0.004256740423943952,0.019174506414161945
0,KLF2,2.5265827,,0.011517822414505469,0.04849609437686513
0,RGL4,2.0766833,,0.037830801818682855,0.1368202597420718
0,IPCEF1,2.0510058,,0.040266368389899526,0.1448430517622285
0,TTC9,1.9982265,,0.0456921030087956,0.16117143918446422
0,HIST1H1D,1.991869,,0.046385431294152665,0.16275589927772866
0,OBSCN,1.976683,,0.04807746955270239,0.16780966685061918
0,SH2D3A,1.9611112,,0.04986604772926127,0.17224886953112703
0,SESN3,1.5901566,,0.11179952788905241,0.3424181558623351
0,BEX5,1.5028272,,0.13288360750180556,0.395486927088707
0,SELM,1.4891006,,0.13646087652242728,0.40196049359889136
0,POLR1E,1.3017939,,0.19298681844976862,0.525849641552503
0,HSBP1L1,1.2957435,,0.1950638972889257,0.5300649382851242
0,THRA,1.1963521,,0.23155918492341776,0.6061758767628737
0,SNPH,1.1859676,,0.23563511486072952,0.6128351491826516
0,HIST1H1E,1.1197915,,0.26280263266724246,0.6678592952153557
0,NMT2,1.0518641,,0.29286188606204033,0.7186794749988721
0,LINC00243,1.0290637,,0.30344976942797797,0.735635804673886
0,METTL12,1.0056369,,0.3145902690073261,0.753509626364853
0,C12ORF65,0.9602892,,0.3369096869099,0.7964768012054373
0,CBR3,0.9347438,,0.34992033618002827,0.8190694623670537
0,MRPS31,0.9335003,,0.350561729893099,0.8190694623670537
0,ZSCAN18,0.885023,,0.3761442247644545,0.8611748507313299
0,PDE9A,0.8839936,,0.3766996641796082,0.8611748507313299
