patient,cell_type,n_cells,total,proportion
BC1,T cells (resting),2022,6852,29.509632224168126
BC1,T cells (naive/memory),789,6852,11.514886164623467
BC1,NK/Cytotoxic T cells,1509,6852,22.02276707530648
BC1,Activated T cells,1010,6852,14.740221833041447
BC1,Macrophages,1063,6852,15.513718622300058
BC1,Monocytes/DC,459,6852,6.69877408056042
BC2,T cells (resting),2429,8205,29.603900060938454
BC2,T cells (naive/memory),957,8205,11.6636197440585
BC2,NK/Cytotoxic T cells,1687,8205,20.5606337599025
BC2,Activated T cells,1363,8205,16.61182205971968
BC2,Macrophages,1401,8205,17.074954296160875
BC2,Monocytes/DC,368,8205,4.485070079219987
BC3,T cells (resting),107,896,11.941964285714286
BC3,T cells (naive/memory),29,896,3.2366071428571432
BC3,NK/Cytotoxic T cells,88,896,9.821428571428571
BC3,Activated T cells,150,896,16.741071428571427
BC3,Macrophages,276,896,30.80357142857143
BC3,Monocytes/DC,246,896,27.455357142857146
BC4,T cells (resting),5618,18989,29.5855495286745
BC4,T cells (naive/memory),2073,18989,10.916846595397335
BC4,NK/Cytotoxic T cells,4098,18989,21.58091526673337
BC4,Activated T cells,2822,18989,14.861235452103848
BC4,Macrophages,3319,18989,17.478540207488546
BC4,Monocytes/DC,1059,18989,5.576912949602401
BC5,T cells (resting),279,1764,15.816326530612246
BC5,T cells (naive/memory),79,1764,4.478458049886622
BC5,NK/Cytotoxic T cells,247,1764,14.002267573696145
BC5,Activated T cells,406,1764,23.015873015873016
BC5,Macrophages,462,1764,26.190476190476193
BC5,Monocytes/DC,291,1764,16.49659863945578
BC6,T cells (resting),438,3497,12.525021446954533
BC6,T cells (naive/memory),160,3497,4.575350300257364
BC6,NK/Cytotoxic T cells,425,3497,12.153274235058621
BC6,Activated T cells,533,3497,15.241635687732341
BC6,Macrophages,1072,3497,30.654847011724335
BC6,Monocytes/DC,869,3497,24.849871318272807
BC7,T cells (resting),383,1863,20.558239398819108
BC7,T cells (naive/memory),128,1863,6.870638754696726
BC7,NK/Cytotoxic T cells,248,1863,13.311862587224907
BC7,Activated T cells,361,1863,19.37734836285561
BC7,Macrophages,450,1863,24.154589371980677
BC7,Monocytes/DC,293,1863,15.727321524422974
BC8,T cells (resting),458,2596,17.64252696456086
BC8,T cells (naive/memory),126,2596,4.85362095531587
BC8,NK/Cytotoxic T cells,374,2596,14.40677966101695
BC8,Activated T cells,496,2596,19.106317411402156
BC8,Macrophages,648,2596,24.961479198767332
BC8,Monocytes/DC,494,2596,19.029275808936827
