group,names,scores,logfoldchanges,pvals,pvals_adj
0,SPP1,16.753523,2.6242847,5.337044171402319e-63,5.64201812405388e-60
0,APOE,14.047106,1.989536,8.024689239282894e-45,1.3490035333773296e-42
0,FTL,13.184499,0.6495969,1.0776850367237116e-39,1.0633159029007288e-37
0,CTSD,12.921953,1.1166337,3.384389185978134e-38,2.798265919132759e-36
0,CSTB,9.055739,0.9769232,1.3564601145559073e-19,2.201272992919674e-18
0,APOC1,8.459115,1.1892341,2.694144093239825e-17,3.678351714017473e-16
0,TMSB4X,8.280321,0.21699978,1.228437819837764e-16,1.5837003252263857e-15
0,GPNMB,8.154342,1.137023,3.510881009153717e-16,4.3085438586629365e-15
0,FN1,8.132318,1.2142038,4.2115830144948526e-16,5.1343845646230495e-15
0,ACP5,7.2917857,1.2077324,3.0587370226023437e-13,2.887073210109355e-12
1,LPL,34.567543,4.913145,7.769998403814762e-262,1.1499597637645848e-257
1,CSTB,33.79884,3.6462812,2.051150588988893e-250,1.517851435851781e-246
1,SPP1,33.784664,5.42915,3.312849930848066e-250,1.6343392992183791e-246
1,CD9,33.511906,3.7841299,3.2331588873145504e-246,1.1962687883063837e-242
1,ACP5,33.248795,4.3653107,2.124821172764411e-242,6.289470671382657e-239
1,LIPA,32.416756,3.420442,1.5937640534460522e-230,3.931284665166929e-227
1,GPNMB,32.255928,3.978285,2.9051269336094186e-228,6.142268373917057e-225
1,LGALS3,31.983307,3.2714133,1.8609728098673278e-224,3.4427996982545564e-221
1,MGLL,31.1928,3.8367536,1.3340501887307479e-213,2.1937714214683413e-210
1,ANXA2,30.989403,2.6438196,7.489133322654454e-211,1.1083917317528592e-207
2,HLA-DPB1,36.289375,2.5574715,2.3798105915526333e-288,3.5221196754978974e-284
2,HLA-DRA,34.601482,1.7757167,2.3998978967739468e-262,1.7759244436127206e-258
2,HLA-DPA1,32.801376,2.1415365,5.628304016275419e-236,2.082472486021905e-232
2,HLA-DQB1,32.093792,2.5037904,5.381945558529325e-226,1.5930558853246803e-222
2,CD74,32.04662,1.3748361,2.44695217299863e-225,6.035815360063287e-222
2,CST3,30.046747,1.7808446,2.4076816490070423e-198,4.454211050663028e-195
2,FCER1A,29.87982,5.122953,3.5993400831279915e-196,5.918914803366031e-193
2,HLA-DQA1,29.872717,2.7214465,4.4512622210582275e-196,6.587868087166177e-193
2,CLEC10A,28.1611,3.9675229,1.7524446523470047e-174,2.357834623157788e-171
2,RPS11,27.366293,1.3415477,6.911002256613206e-165,8.523569449822954e-162
3,C3,32.02413,4.552201,5.032486987896331e-225,7.44808074208657e-221
3,C1QB,31.574875,3.176425,8.17114691450915e-219,6.046648716736772e-215
3,C1QA,31.405039,3.1599991,1.7269618724957455e-216,8.519678570979011e-213
3,C1QC,30.123222,3.073967,2.406064978846851e-199,8.902440421733349e-196
3,RGS1,29.470993,2.5588806,6.778124538282959e-191,2.0063248633317557e-187
3,SLCO2B1,28.774715,2.9253366,4.445500675574837e-182,1.0965568333084598e-178
3,A2M,26.840916,2.4846556,1.0767892983157736e-158,2.2766402307247783e-155
