group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPLP2,49.154484,0.7116276,0.0,0.0
0,RPS29,48.02106,0.70189714,0.0,0.0
0,RPL13,47.27957,0.7343892,0.0,0.0
0,RPS27,46.37864,0.80111724,0.0,0.0
0,RPL13A,46.023243,0.77387357,0.0,0.0
0,RPS12,45.63602,0.71977884,0.0,0.0
0,TPT1,44.80972,0.5352883,0.0,0.0
0,RPL10,44.30853,0.681857,0.0,0.0
0,RPL30,44.28641,0.72400993,0.0,0.0
0,RPS27A,42.25694,0.7172065,0.0,0.0
1,RPS27,29.720003,0.79301924,4.235498791048226e-194,6.268538210751375e-190
1,RPLP2,29.007269,0.6675209,5.3276741941546765e-185,3.9424789036744606e-181
1,RPL13A,28.667175,0.74322414,9.793265542769152e-181,4.831344334432782e-177
1,RPL13,27.604382,0.6829115,9.857849677308856e-168,3.647404380604276e-164
1,RPL30,26.198645,0.6969925,2.7536596438729338e-151,8.150832545863884e-148
1,RPS29,26.069916,0.6003707,8.000408543089179e-150,1.9734341072953308e-146
1,RPS8,25.81693,0.68792325,5.724333218918794e-147,1.2102875948571164e-143
1,RPS12,25.096876,0.65405583,5.379698780729472e-139,8.846615772755132e-136
1,RPS18,24.37351,0.6043655,3.266399737857803e-131,4.834271612029548e-128
1,RPS11,24.253689,0.59594446,6.045344610284095e-130,8.133736384745873e-127
2,NKG7,39.661396,2.4487417,0.0,0.0
2,B2M,36.700123,0.3616021,7.269713798530231e-295,5.379588210912371e-291
2,GNLY,36.636147,2.5024555,7.604941877902155e-294,3.75177132643173e-290
2,CCL5,36.588837,1.6780521,4.3047571302208214e-293,1.592760138181704e-289
2,PRF1,34.589287,2.2221308,3.6612486817901624e-262,9.031080081749067e-259
2,HLA-B,27.37445,0.34868115,5.526249124165713e-165,9.087609670850284e-162
2,CST7,26.860645,1.7212516,6.334770200738733e-159,9.375459897093323e-156
2,KLRD1,25.686987,1.8506128,1.6337653125869425e-145,1.6119817750857832e-142
2,FGFBP2,23.360207,2.5367234,1.0853948267553531e-120,8.924357464432903e-118
2,GZMA,23.22102,1.5712482,2.792851515650025e-119,2.1754843385063355e-116
3,CD69,22.033005,1.0717734,1.3903639619774213e-107,2.0577386637265836e-103
3,DUSP1,21.321884,0.8734841,7.113569187650472e-101,5.26404119886135e-97
3,TSC22D3,20.788298,0.7802546,5.52368390865227e-96,2.72501739493512e-92
3,FOS,20.642693,0.9787314,1.1355531628883774e-94,4.2015467026869965e-91
3,JUN,20.087183,1.06792,9.55307919975704e-90,2.827711443128084e-86
3,JUNB,19.670486,0.7482349,3.860539600862351e-86,9.522664348793799e-83
3,ZFP36,18.694052,0.7883961,5.53462912704376e-78,1.1701787297178235e-74
3,FOSB,18.372671,1.1421925,2.1744476769653915e-75,4.0227282023859744e-72
3,CXCR4,17.742584,0.6765419,1.966765364129745e-70,3.2342363765689144e-67
3,RGS1,17.72849,0.98805195,2.5272355489486346e-70,3.740308612443979e-67
4,CD74,29.224916,1.2500567,9.356942087007552e-188,1.3848274288771178e-183
4,HLA-DRA,26.290346,1.3881568,2.472756852953001e-152,1.829840071185221e-148
4,FTH1,22.122187,0.75348437,1.933238308223151e-108,5.722385392340526e-105
4,FTL,21.508276,0.8085157,1.3025538833175306e-102,3.2129662455165756e-99
4,HLA-DPA1,21.012175,1.1214899,5.075723449596815e-98,1.0731529579147553e-94
4,HLA-DPB1,20.94924,1.0649368,1.9065226082709887e-97,3.527066825301329e-94
4,HLA-DRB1,20.184261,1.2134764,1.3462503150381383e-90,2.21383385139605e-87
4,CST3,19.8235,1.3430789,1.8666350601278315e-87,2.7626198889891906e-84
4,PSAP,19.191532,0.95557046,4.3561320544316034e-82,4.959288800429825e-79
4,LYZ,18.93884,1.289392,5.458495947621206e-80,5.770410001770989e-77
5,CST3,74.19485,4.9769015,0.0,0.0
5,FTL,71.39448,3.310752,0.0,0.0
5,PSAP,70.61796,4.074582,0.0,0.0
5,HLA-DRA,69.31159,4.4830494,0.0,0.0
5,FTH1,69.19468,3.0129547,0.0,0.0
5,TYROBP,68.30955,4.222892,0.0,0.0
5,CD74,67.88237,3.8589437,0.0,0.0
5,HLA-DRB1,63.73892,4.1097646,0.0,0.0
5,GRN,63.540123,4.23936,0.0,0.0
5,CEBPD,62.652447,4.099615,0.0,0.0
