group,names,scores,logfoldchanges,pvals,pvals_adj
0,HLA-DRA,12.844379,1.1413379,9.249051610186305e-38,1.3688596383075732e-33
0,CD74,12.476856,0.77962124,9.985164652477474e-36,7.389021842833331e-32
0,CD79A,12.20655,1.8847836,2.8679447186774623e-34,1.4148527278808815e-30
0,CD37,11.233119,0.5511125,2.8040101869985536e-29,1.037483769189465e-25
0,HLA-DPB1,10.2697,0.85588115,9.650391472185397e-25,2.380429896472398e-21
0,HLA-DQB1,9.568144,1.1023278,1.088422061078442e-21,2.301235214851563e-18
0,RPS8,9.248337,0.2590461,2.280128540074293e-20,4.218237799137442e-17
0,RPS11,8.558726,0.23255567,1.1412158139744802e-17,1.8766660052024787e-14
0,HLA-DPA1,8.156035,0.77453035,3.4619963602517134e-16,5.123754613172536e-13
0,RPLP2,8.072546,0.17659327,6.884725760451248e-16,9.263085568607134e-13
1,NKG7,34.754463,2.3671408,1.186685708655678e-264,1.7562948488104033e-260
1,GNLY,32.780262,2.5002801,1.125357700214645e-235,8.327646981588372e-232
1,CCL5,30.88572,1.5921172,1.8577147173891548e-209,9.164725939119831e-206
1,PRF1,30.753372,2.2001154,1.1022281739790015e-207,4.078244243722305e-204
1,B2M,29.981972,0.3432086,1.6861259907616307e-197,4.990932932654427e-194
1,HLA-B,24.623875,0.39278877,7.0122187306054735e-134,1.4825833887565859e-130
1,CST7,24.450178,1.7173905,5.010377522650774e-132,9.269198416903932e-129
1,KLRD1,21.75806,1.7288966,5.794799108794601e-105,6.125930486440006e-102
1,FGFBP2,21.415354,2.531986,9.61103082194384e-102,8.367250362633461e-99
1,PFN1,21.346766,0.62292296,4.1788087500491715e-101,3.4359094167070965e-98
2,RPLP2,24.371239,0.455937,3.4525693693765227e-131,5.109802666677254e-127
2,RPL13,23.325912,0.48250195,2.4204206327097044e-120,1.7911112682051813e-116
2,RPS27,22.775112,0.50972044,8.093424954789945e-115,3.992756311029707e-111
2,RPL30,22.649094,0.5344833,1.4240776634334316e-113,5.269087354703697e-110
2,RPL13A,22.364176,0.50773805,8.789326170980654e-111,2.6016405466102734e-107
2,RPS29,22.108015,0.4068465,2.6466080170949345e-108,6.528299775500839e-105
2,TPT1,22.032852,0.41929704,1.3950744522737454e-107,2.9495859848073475e-104
2,RPS12,21.697193,0.49187478,2.1807750308335035e-104,4.0344338070419815e-101
2,RPS8,21.149782,0.53484875,2.7722221954742053e-99,4.558765388113138e-96
2,RPL37,20.515429,0.4532752,1.5677998891035555e-93,2.320343835873262e-90
3,TPT1,24.049013,0.33190793,8.548773290069468e-128,1.2652184469302814e-123
3,RPLP2,23.019312,0.32129645,2.9864716212246172e-117,2.2099889997062168e-113
3,RPL13,22.234297,0.35009396,1.6005570464585158e-109,7.896081429195345e-106
3,RPS12,21.869562,0.3611735,5.064159147992788e-106,1.8737388847573315e-102
3,RPL30,21.822098,0.3693689,1.4314200596920599e-105,4.237003376688497e-102
3,RPL13A,21.595552,0.38213852,1.9776856292339246e-103,4.878291218777014e-100
3,RPS29,21.031898,0.30541718,3.349751294934835e-98,7.082331309290794e-95
3,RPL10,20.896286,0.34523416,5.78767143852521e-97,1.0707192161271638e-93
3,RPL19,20.50674,0.36086547,1.8744056603124823e-93,3.082355974736082e-90
3,RPS27A,20.268467,0.35568023,2.441422583033619e-91,3.613305422889756e-88
4,SRGN,34.01864,1.5147811,1.1812596718058158e-253,8.741321571363037e-250
4,FOS,33.578243,1.8484784,3.4857901551799044e-247,1.7196564765554197e-243
4,DUSP1,32.56439,1.5190884,1.3101518618194015e-232,4.847561888731785e-229
4,ZFP36,29.815567,1.4272307,2.4550778071332223e-195,6.055858590928615e-192
4,FOSB,27.465841,1.8962119,4.4945702570239135e-166,6.047239982177629e-163
4,JUN,27.362225,1.6396478,7.725824870700777e-165,8.980622176341793e-162
4,RGS1,25.279985,1.5607365,5.303127626139951e-141,3.924314443343563e-138
4,JUNB,22.916216,1.0016037,3.202225302540789e-116,1.5288043379872153e-113
4,TSC22D3,21.615479,0.9343042,1.2846439055926248e-103,5.4322085150773843e-101
4,NFKBIA,21.44468,1.102328,5.119695756889788e-102,2.047878302755915e-99
