group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPLP2,60.774208,0.80988276,0.0,0.0
0,RPS29,59.372887,0.79353744,0.0,0.0
0,RPL13,58.00725,0.82907593,0.0,0.0
0,RPS27,57.728584,0.9186582,0.0,0.0
0,RPS12,56.248466,0.82370305,0.0,0.0
0,RPL13A,55.398148,0.84984773,0.0,0.0
0,RPL30,54.93291,0.8242975,0.0,0.0
0,TPT1,54.234238,0.5980891,0.0,0.0
0,RPL10,53.477264,0.7566082,0.0,0.0
0,RPS25,52.45681,0.87537533,0.0,0.0
1,DUSP1,25.746273,1.1773713,3.548587855088601e-146,5.251910025531129e-142
1,FOS,25.621681,1.3331485,8.747940276653565e-145,6.473475804723638e-141
1,ZFP36,25.116032,1.1660975,3.3231521250299003e-139,1.639421715014751e-135
1,FOSB,24.410946,1.569841,1.308676871722122e-131,4.842104425371852e-128
1,RGS1,23.93044,1.409869,1.4770475470465281e-126,4.372060739257723e-123
1,CD69,23.732346,1.256371,1.6720346671831268e-124,4.124352179051713e-121
1,JUN,23.693005,1.3506831,4.257036720220611e-124,9.00059192275215e-121
1,SRGN,23.469719,1.0221123,8.316231562063574e-122,1.5385028389817612e-118
1,TSC22D3,22.63405,0.95596343,2.003328899426273e-113,3.294363079056538e-110
1,JUNB,21.76006,0.9314513,5.547697933442082e-105,8.210592941494281e-102
2,NKG7,34.11507,2.1048324,4.409646174173793e-255,2.1754254459257378e-251
2,B2M,32.761456,0.31154928,2.0856577306782808e-235,7.716933603509639e-232
2,CCL5,32.21462,1.4392853,1.101685545520085e-227,3.2609892147394515e-224
2,GNLY,31.427414,2.1388078,8.544639804767591e-217,2.107677818509339e-213
2,PRF1,29.878258,1.9127975,3.7716127905584126e-196,6.977483662533063e-193
2,CST7,23.518768,1.49593,2.621480585279946e-122,2.5865275108095466e-119
2,HLA-B,22.985222,0.28982118,6.55155495791e-117,6.06018833606675e-114
2,KLRD1,22.853281,1.6381035,1.3556265169990418e-115,1.1146262473103233e-112
2,FGFBP2,20.619184,2.2621505,1.8464667504403932e-94,1.0510656887122238e-91
2,GZMB,20.574625,2.0148168,4.6330000049295367e-94,2.5395703730724866e-91
3,CD74,35.531902,1.5223888,1.581677646408118e-276,2.3408829166840144e-272
3,HLA-DRA,32.50439,1.7149203,9.243177005460098e-232,6.839950984040473e-228
3,FTH1,27.009039,0.9141359,1.1574115757673737e-160,3.425938264271426e-157
3,HLA-DPA1,26.408728,1.4098208,1.0878013001884825e-153,2.6832432071315906e-150
3,FTL,26.256405,0.9770937,6.039770783997556e-152,1.2769801086166261e-148
3,HLA-DRB1,26.23817,1.5637214,9.754223899748505e-152,1.8045314214534733e-148
3,HLA-DPB1,26.179127,1.3319576,4.594346866066752e-151,7.555148179754214e-148
3,CST3,25.887796,1.7120347,9.138857405303326e-148,1.352550895984892e-144
3,PSAP,24.62588,1.2146276,6.673833739752998e-134,7.055195667738884e-131
3,LYZ,23.349453,1.5666285,1.3959333847127282e-120,1.0873586365130725e-117
4,CD79A,34.99983,5.936155,2.2634423646012332e-268,3.3498946996098252e-264
4,CD74,34.317818,4.2400227,4.256192498999847e-258,3.149582449259887e-254
4,HLA-DRA,31.373194,4.2313743,4.697170757282526e-216,2.3172709069260465e-212
4,CD37,31.06403,3.0130398,7.375568733727473e-212,2.728960431479165e-208
4,HLA-DPB1,21.299982,2.6139348,1.1356285675508667e-100,2.8012171332921377e-97
4,RPS11,20.6763,1.1136531,5.662139116528093e-95,1.1971379846373682e-91
4,HLA-DPA1,20.579264,2.5711985,4.2102715587133905e-94,7.789002383619772e-91
4,HLA-DQB1,20.390211,2.7524796,2.042619411852779e-92,3.358974143935681e-89
4,CD79B,18.829916,4.2250824,4.294404671393864e-79,5.296432428052433e-76
4,MS4A1,17.839285,4.3033113,3.5014377419635345e-71,3.7015198986471653e-68
5,CST3,70.91042,4.950769,0.0,0.0
5,FTL,69.23773,3.4152381,0.0,0.0
5,PSAP,67.76034,4.132886,0.0,0.0
5,FTH1,66.611786,3.0930295,0.0,0.0
5,TYROBP,66.10713,4.281221,0.0,0.0
5,HLA-DRA,65.15381,4.4533467,0.0,0.0
5,CD74,63.44265,3.8385556,0.0,0.0
5,GRN,61.18369,4.262561,0.0,0.0
5,CD68,60.73827,4.8014684,0.0,0.0
5,HLA-DRB1,59.93595,4.0391965,0.0,0.0
