cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
B cells,2700,0,9,21,29,0,0,5,22
Basal epithelial,0,1,47,1,0,1017,1,4,2
CAFs,0,5778,664,3,0,0,23,0,1
CD8 T cells,1,0,21,1,6,0,0,5,10882
Cycling T cells,0,0,26,0,7,0,0,0,958
Cycling epithelial,0,0,2724,0,0,0,0,1,49
Endothelial cells,1,3,3,7006,9,0,15,1,2
Epithelial (ambiguous),1,3,2973,1,0,1943,0,0,2
Luminal epithelial,1,0,17748,1,3,1295,1,19,16
Macrophages,43,7,10,18,8612,0,3,8,15
Memory T cells,10,0,16,0,5,0,0,9,9072
NK cells,0,0,0,0,0,0,0,1,3082
PVL,0,212,38,3,0,0,4776,2,2
Plasma cells,24,1,32,0,4,1,0,2485,68
T cells,4,0,6,0,2,0,0,5,6450
"Unassigned (n=28, doublet/mixed-identity artefact)",0,0,28,0,0,0,0,0,0
pDC,1,0,0,0,314,0,0,0,0
