cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
B cells,96.89999999999999,0.0,0.3,0.8,1.0,0.0,0.0,0.2,0.8
Basal epithelial,0.0,0.1,4.3999999999999995,0.1,0.0,94.8,0.1,0.4,0.2
CAFs,0.0,89.3,10.299999999999999,0.0,0.0,0.0,0.3,0.0,0.0
CD8 T cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9
Cycling cells,0.0,0.0,2.7,0.0,0.5,0.0,0.0,0.1,96.7
Cycling epithelial,0.0,0.0,98.5,0.0,0.0,0.0,0.0,0.1,1.4000000000000001
Cycling myeloid,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Endothelial cells,0.0,0.0,0.0,99.5,0.1,0.0,0.2,0.0,0.0
Epithelial,0.1,0.0,97.3,0.0,0.0,2.5,0.0,0.0,0.0
Luminal epithelial,0.0,0.0,85.8,0.0,0.0,14.000000000000002,0.0,0.1,0.1
Macrophages,0.5,0.0,0.2,0.2,98.8,0.0,0.0,0.1,0.2
Monocytes/DC,0.0,31.8,0.0,0.0,59.099999999999994,0.0,9.1,0.0,0.0
NK cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Naive/memory T cells,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.1,99.6
PVL,0.0,4.5,0.8,0.1,0.0,0.0,94.6,0.0,0.0
Plasma cells,0.8999999999999999,0.0,0.2,0.0,0.2,0.0,0.0,96.1,2.6
T cells,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,99.8
pDC,0.3,0.0,0.0,0.0,99.7,0.0,0.0,0.0,0.0
