cell_type,n_ER,n_HER2,n_TNBC,mean_ER_pct,mean_HER2_pct,mean_TNBC_pct,p_value,fdr
Endothelial cells,11,5,10,10.72161457802379,4.952005972184816,5.407535735693428,0.05666765607804168,0.20853736727376382
Cycling T cells,11,5,10,0.3703357511979153,0.5985393781676883,1.4328884664376216,0.0709313506141743,0.20853736727376382
T cells,11,5,10,5.8111935347347154,12.1505563778511,5.142828307691474,0.07360142374368135,0.20853736727376382
Luminal epithelial,11,5,10,38.364997447713556,10.07313900386822,11.903683761453209,0.054221090929644215,0.20853736727376382
Macrophages,11,5,10,5.255441880531742,8.950987852942522,14.663071364655462,0.0303620746271738,0.20853736727376382
Memory T cells,11,5,10,7.660822519672944,19.15573756290352,7.02786399986947,0.04957860921023602,0.20853736727376382
NK cells,11,5,10,2.7574331525549565,6.201950873691625,3.2538996090214605,0.08852510215878663,0.2149895338141961
Epithelial (ambiguous),11,5,10,1.8755560941124323,2.766007688460825,8.32061893209281,0.16477390264703112,0.35014454312494114
"Unassigned (n=28, doublet/mixed-identity artefact)",11,5,10,0.0,0.0,0.04965449341587174,0.18937994326682747,0.35771767061511855
Basal epithelial,11,5,10,0.806480151207212,0.7912339768396415,0.3410701472658333,0.2902549440758482,0.40617221960383276
Cycling epithelial,11,5,10,1.4686849777492796,1.589012591415551,6.1970663795885645,0.3106022855794015,0.40617221960383276
CD8 T cells,11,5,10,9.108924656143024,17.294735356554373,11.05708426655542,0.27463627522712414,0.40617221960383276
pDC,11,5,10,0.26027239549395537,0.3424392178946222,0.2554451296541186,0.2758209645471198,0.40617221960383276
PVL,11,5,10,7.196469000838878,4.630566912845171,8.125397437126104,0.43304763871363616,0.5258435612951297
B cells,11,5,10,1.7848536537722273,3.000829581283833,3.5700516759147205,0.48220542018823,0.5464994762133273
CAFs,11,5,10,4.752862950547444,6.6056752960941765,9.76290609245133,0.5202034189904791,0.5527161326773841
Plasma cells,11,5,10,1.804057255705932,0.896582357002312,3.488934201113099,0.9318512459825992,0.9318512459825992
