Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
grade_group[T.Grade3],B cells,0.0,-0.514,0.723,0.209,0.3529333333333333,130.96262799459328,0.7796596222588071
grade_group[T.Grade3],Basal epithelial,0.0,-0.981,0.379,0.248,0.3433333333333333,84.17618140182319,0.7796596222588074
grade_group[T.Grade3],CAFs,0.0,-0.876,0.26,0.215,0.33293333333333336,318.59222706418973,0.7796596222588071
grade_group[T.Grade3],CD8 T cells,0.0,-0.186,0.938,0.243,0.36346666666666666,378.76350009985083,0.7796596222588071
grade_group[T.Grade3],Cycling T cells,0.0,-0.287,1.03,0.272,0.3992,98.68293166403699,0.7796596222588069
grade_group[T.Grade3],Cycling epithelial,0.0,-0.679,0.466,0.206,0.4013333333333333,160.92074875200262,0.7796596222588071
grade_group[T.Grade3],Endothelial cells,-1.0899591868357084,-1.61,-0.45,0.316,0.9958666666666667,233.21314322020578,-0.7928190913604366
grade_group[T.Grade3],Epithelial (ambiguous),0.0,-0.898,0.396,0.252,0.39393333333333336,169.3405879160069,0.7796596222588071
grade_group[T.Grade3],Luminal epithelial,-2.2357927999957097,-2.714,-1.71,0.271,1.0,246.68672209626368,-2.445907562750253
grade_group[T.Grade3],Macrophages,0.0,-0.578,0.518,0.158,0.3171333333333333,422.38279499490284,0.7796596222588069
grade_group[T.Grade3],Memory T cells,0.0,-0.282,0.909,0.234,0.3264666666666667,331.9259825772496,0.7796596222588071
grade_group[T.Grade3],NK cells,0.0,-0.245,0.806,0.197,0.32606666666666667,204.77503780447378,0.7796596222588071
grade_group[T.Grade3],PVL,0.0,0.0,0.0,0.0,0.0,258.7628486632628,0.7796596222588071
grade_group[T.Grade3],Plasma cells,0.0,-0.497,0.77,0.193,0.29073333333333334,97.89661766040942,0.7796596222588069
grade_group[T.Grade3],T cells,0.0,-0.132,1.102,0.337,0.4606,250.1127959767373,0.7796596222588071
grade_group[T.Grade3],"Unassigned (n=28, doublet/mixed-identity artefact)",0.0,-0.617,0.662,0.218,0.3702666666666667,49.74510167764122,0.7796596222588074
grade_group[T.Grade3],pDC,0.0,-0.616,0.662,0.184,0.30366666666666664,80.71399659019583,0.7796596222588071
