cell_type,score_Pan-T (anchor),score_CD8 T,score_Memory/Naive T,score_Cytotoxic (shared),score_NK (specific),score_B cell,score_Plasma,score_Macrophage,score_pDC (specific),score_Endothelial,score_CAFs,score_PVL,score_Basal epithelial,score_Luminal epithelial,score_Epithelial (general),score_Proliferation (flag),score_EMT/ambiguous (flag)
B cells,-0.9899184559603346,-0.14026058504158698,0.03895544309797513,-0.09010932226854523,-0.07606736336204531,1.6869239608866087,-0.12985736735445028,-0.1580428482403479,0.33673028097109353,-0.08545502496746411,-0.19824733286133278,-0.4350721380239712,-0.05942702897914604,-0.26471684000314666,-0.3010176439848948,-0.08780088636843203,0.286125879740424
Basal epithelial,-1.195717859384148,-0.257944724904191,-0.5449287382418155,-0.17538915355991008,-0.16383558157639092,-0.08466419865456232,-0.16977506113722665,-0.3274512752847999,-0.10184580270262304,-0.11508021086079993,-0.14828311161016894,2.4516699206529102,3.020677100786625,0.26210757384021743,-0.16076905705944358,-0.018524741197584134,1.0114356412708703
CAFs,-1.140796782028792,-0.30807027823270555,-0.5364493618240532,-0.20444286878701154,-0.15929109056946075,-0.10244480359291387,-0.12123340157794948,-0.3537396481279066,-0.16960899211801467,-0.1545843699833638,3.0861736424991273,1.1477054383116576,-0.09811822036432201,-0.32702250375705666,-0.42684199068124234,-0.1792959831100119,1.7825874696564392
CD8 T cells,0.7216111084444263,1.244746184567472,0.3231123925272625,0.6565329725850891,0.5526565288325594,-0.039628592878270676,-0.12505147169710765,-0.2535195981656455,0.23293493009498517,-0.0940758863871321,-0.27281201414227907,-0.45758071174250614,-0.07341510956440564,-0.2393764398907427,-0.35574807331117064,-0.032697827458086796,0.9671824838654075
Cycling T cells,0.34182267072463013,0.6791880985496023,-0.3342895943251195,0.643148129389938,0.3649611336433082,-0.07244963911218832,-0.24862218802620015,-0.2940120017375162,0.22552052187345223,-0.16623195872611599,-0.37977491348029546,-0.5807009875732281,-0.09021231922684717,-0.33439130350832097,-0.48143748026583033,1.7146754581961132,1.130389484420915
Cycling epithelial,-1.3038541207754233,-0.3265204430103474,-0.6213882780208829,-0.23396792590967297,-0.17100507865628065,-0.12450230124928692,-0.07354661602701484,-0.35636482166492994,-0.23568783181672256,-0.2299153088018378,-0.31834962815064216,-0.48667847606895337,0.14257529407700245,0.33322796372288954,0.6844295161608692,1.0281535332444567,0.015984275616818224
Endothelial cells,-1.1835064235707873,-0.3290248231912159,-0.6041395596389828,-0.2394381278914992,-0.17569382275458087,-0.10154543545864748,-0.2033736518242707,-0.3138245842274716,-0.1388670370230931,1.9717595697249328,-0.16826739949225025,-0.03826262633079155,-0.12782020411043513,-0.31140217768218875,-0.42434170246444586,-0.02544727772792491,1.6650747510567308
Epithelial (ambiguous),-1.3898439302701195,-0.30384473892626856,-0.5813244955729002,-0.23044468182680714,-0.16303208746934675,-0.10460611449287065,-0.09919262809698208,-0.3582810550710183,-0.20359397018890169,-0.2184244523163997,-0.32096915518657776,-0.28187044966912184,0.6196229856617119,0.4424940552291926,0.8398154833729423,-0.09733418269291882,0.2179784787180352
Luminal epithelial,-1.2959331820524012,-0.285132972749102,-0.59099807702514,-0.2175559771425274,-0.16294544534134403,-0.10745044255595217,0.342846488938051,-0.330483007977604,-0.15747603294980006,-0.18086631352589916,-0.3092659200175536,-0.5401060615173631,-0.07948943744940153,0.8929658914633261,0.8721802427152714,-0.19447316433686115,-0.3573739418435668
Macrophages,-1.2236083591440303,-0.2654200309409344,-0.42081856248369454,-0.1689343782942084,-0.135932690666815,-0.07895628250787724,-0.20327582114606216,2.4244720048550272,0.07032970533368169,-0.07016926390176269,-0.24613462103009043,-0.5126405164451364,-0.10221498040241059,-0.40079008020767204,-0.4295374673122165,-0.11396991626259081,0.987682367372863
Memory T cells,0.5487980393631036,-0.06225896975651868,1.3857849750944509,-0.06917789004265582,-0.062409766445722985,-0.04039940965055268,-0.08286183001564579,-0.19798410621422372,-0.02451722474288515,-0.09498299792883157,-0.19972493939880115,-0.42386126385048306,-0.06000780688170839,-0.2137804089439065,-0.3265666295770738,-0.06278199785626401,0.9243263635622816
NK cells,-0.2965812653660813,0.13719675418080118,0.0922556191185949,1.347507848455811,1.6384009580191488,-0.0381681926655942,-0.050066483732506654,0.0016009809088224922,0.45408066680939446,-0.09800162641456445,-0.275000985397727,-0.48166688145173664,-0.06402781265956645,-0.24482337077252478,-0.336240922300374,-0.045934608289133164,0.7473621278241437
PVL,-1.1478303689348124,-0.2844854734330842,-0.5971834727587945,-0.14802101153441435,-0.14276560352487164,-0.07374073390996537,-0.1302167392406284,-0.3254909874086321,-0.11250010873457952,-0.13356575495736445,0.7236479456165436,2.6911362124562337,-0.07473121660710155,-0.2750705710390568,-0.33923684866471876,-0.20267087948313217,1.5497711242052947
Plasma cells,-0.9574115346271267,-0.1805736588287536,-0.4184738606998615,-0.0897925661348704,-0.09425079945050052,0.8207974413356028,3.091767857104217,-0.1691466253764163,0.9531566435288593,0.060469329995649176,-0.20451334499948112,-0.46671061949349274,-0.07138810832018759,-0.2498669118515012,-0.2800460739053686,-0.1714916885261554,0.5228553588859893
T cells,0.7029992855052335,-0.18745724937048322,0.3894807899287666,-0.015994314994586385,-0.09678406799346491,-0.022445540525244594,-0.1925716227478271,-0.27999331576551617,-0.02234607672492878,-0.13141602947292405,-0.276911724902792,-0.4639227197588052,-0.0891416142820163,-0.24059832747028903,-0.3955156572773484,-0.027919304520068394,0.6567445925689654
"Unassigned (n=28, doublet/mixed-identity artefact)",-1.0479375121423176,-0.24319734709603447,-0.5533867938177927,-0.13408779254981448,-0.04246559984343392,-0.10355175268082392,-0.22005847158886138,2.288557040918441,-0.10029551012175424,-0.1353347978808663,0.14290709262802487,0.11716380038431713,-0.10171739146822975,-0.2307197568530128,-0.46957194112596057,1.0192614574375607,3.508860539027623
pDC,-1.1400541389821068,-0.1867967594805218,-0.23129029169536772,1.513556185578543,-0.051936464620014985,-0.034930810648297506,0.9482364694882952,0.36009126037264627,2.6938778149438285,0.028427804701408935,-0.2914195967124253,-0.521542592614416,0.044352740666222946,-0.325071939554164,-0.3096333426848921,0.04567567240056537,0.8037719757178473
