,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,845.0482648009777,3.3285632353622003,0.3093037876856652,10.761469364044466,5.232905375440727e-27,5.461583340347487e-23
TIPIN,148.30504447914555,-3.510128147766993,0.42349601241957197,-8.28845619516575,1.147278003081003e-16,5.987070259078214e-13
AC005480.1,102.83548813719713,-5.76328692847458,0.753025665776647,-7.653506633841633,1.955715448622551e-14,6.803934045757854e-11
SPP1,377.04777676258084,7.593315532902741,0.9987843712998201,7.602557419897134,2.903350848607764e-14,7.575568201729809e-11
CD163,79.5909223630907,3.2922676738833094,0.4697780941038893,7.008133659708788,2.4151803319811103e-12,5.04144742497737e-09
CD14,130.15143379184184,2.7190730547901754,0.3951614934542149,6.880916030107115,5.9468899717527966e-12,1.034461510586399e-08
PLAUR,150.73996500642693,2.612270109998302,0.3840356661226081,6.802154957045846,1.0306564895577321e-11,1.5367088259305786e-08
RP11-255M2.3,60.02577556057538,-5.342519300476147,0.7903613603691862,-6.759590699095663,1.3838210987848753e-11,1.6047712008908606e-08
TNFSF9,107.17838406820222,2.7894731349048927,0.411976959261178,6.770944520556236,1.2794433431634397e-11,1.6047712008908606e-08
TYMP,190.1553458416435,2.2188025567123844,0.34028989597040643,6.520330409414638,7.015268493460277e-11,7.321835726624491e-08
LILRB4,63.64946875983577,3.8744903413949277,0.6001066143209085,6.456336672408404,1.0726783129809637e-10,1.0177766865983926e-07
HLA-DRA,1089.2964154390797,1.4312337976939162,0.2246709815064949,6.3703544983736204,1.8859178276872663e-10,1.6402770306309998e-07
ATF3,236.170010200509,2.4553835136235382,0.39391740368519024,6.233244560034277,4.568720673651832e-10,3.6679798208387825e-07
MMP9,44.83321209243695,4.901381921330211,0.7941137670201408,6.172140724524046,6.737149327529261e-10,5.022544823673064e-07
IFNG,114.08009603880721,2.947897388322639,0.4809478354739488,6.129349527932985,8.823908302482593e-10,6.139675396867388e-07
APOC1,77.81694342784293,4.117774373214628,0.6775186304423949,6.07772862353006,1.218968178826661e-09,7.951481801508663e-07
CTD-2192J16.22,477.0780926956074,-1.689958815834773,0.2795659519088817,-6.044937891383774,1.4946756905687401e-09,9.176429519097613e-07
DUSP4,201.31585208663947,2.649797170548041,0.4497286023940193,5.891991651059104,3.815684600525265e-09,2.212461120871233e-06
SCML4,174.526585874279,-2.224752060503509,0.39220483598251743,-5.672423836718519,1.4079112109057213e-08,7.73387858327527e-06
TIGIT,177.9858251380266,2.3580936266427295,0.4193718158691577,5.622918702239268,1.8775777634314242e-08,9.798139558466888e-06
CCL22,29.56044077209931,5.933925691637038,1.064475831573439,5.574504855470409,2.4823488283170387e-08,1.2337273676735683e-05
NOSIP,181.69597799738352,-1.8522084282041662,0.33872012456779116,-5.468256220582095,4.544845892116792e-08,2.1561162080010436e-05
CXCL13,48.69297521170791,8.315241719501444,1.5311679344644555,5.430652988700288,5.614822071024463e-08,2.547908606751405e-05
FPR3,58.76171204169172,3.3294330406138255,0.6199272418819065,5.370683550712663,7.843874889051195e-08,3.274660888681093e-05
HBEGF,54.71453616712796,3.3095088481177637,0.6161345441622372,5.371406098675619,7.812504724547473e-08,3.274660888681093e-05
