,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,109.0343125356466,-1.0013157390272645,0.5058160973738357,-1.9796043349075496,0.04774800551760465,0.2847234329017164
A2M,304.6582027158706,1.4647782693216982,1.4011433752520546,1.0454164043406309,0.2958305582135661,0.6946022424231759
A4GALT,3.8098849438757796,0.6295227918138183,2.284967824041649,0.27550619540030064,0.7829273666866284,
AAAS,50.4219780840544,-0.21725897665872695,0.5824780217161215,-0.37299085726638975,0.7091552486036672,0.9176621446964518
AACS,26.083255391308796,0.4421389251739301,0.8136379421276638,0.5434099152477286,0.5868476003970468,0.872951717944197
AADAC,0.42961317958004763,0.4650836409839628,4.552068194545232,0.10216974375324059,0.9186219430401887,
AADAT,0.13378283722844347,-0.9895421762120838,4.809381856339018,-0.20575246586166065,0.8369842734132471,
AAED1,88.99108989439833,0.6091520866933445,0.5378881676927644,1.132488355909114,0.25742917704202206,0.6550354662581321
AAGAB,69.2990694975233,-0.15689809549409608,0.48084280894941067,-0.3262981011131296,0.7441988247703326,0.9289119178049356
AAK1,560.6714989276418,-1.3930885587072228,0.30143743351574204,-4.621484937883374,3.8100300016916497e-06,0.0004354546789433415
AAMDC,29.313001129145466,1.2335714059376413,0.7345279414369718,1.6794070536300914,0.09307273953775524,0.4152535444365546
AAMP,110.58490742314328,0.2759617917126072,0.4954918642185608,0.5569451521627423,0.5775649037456234,0.8678349073570457
AAR2,48.531682535214074,0.10701258980925447,0.5998785490285907,0.17839042583293668,0.8584163677898092,0.9646628597877517
AARD,16.262081627440068,-0.28219068429450944,3.3762596740828648,-0.08358085915626866,0.9333896858584889,0.9847498022927075
AARS,70.72549756708948,0.3504637524717144,0.5085582422153354,0.689131988000147,0.49074021168131476,0.8268138108926963
AARS2,14.684631561200302,-0.42547771786202776,0.9855446646853597,-0.43171835139289577,0.6659461279462631,0.9048716626668837
AARSD1,19.2634411114337,0.16273557663445057,0.8572597525394807,0.18983228380006778,0.8494405570410004,0.9626470518039341
AASDH,27.05529855003053,-1.0728107236350861,0.723961489082022,-1.4818615904492414,0.1383771269354884,0.502642251559927
AASDHPPT,66.35497517458509,0.26745882403715676,0.5334439859868497,0.5013812716294266,0.6161028178433616,0.8862699075457191
AASS,1.4476205613796467,-3.995094648175424,3.761492437505086,-1.0621035970566197,0.2881886573166116,
AATF,133.63800510284224,-0.16998545151895894,0.3980452678990194,-0.42705055235597666,0.6693425076299768,0.9058870104497478
AATK,7.353808638314391,2.214557055039893,1.623373944452095,1.3641693970807993,0.17251425744293158,
ABAT,40.71475096839977,-0.06071613743514789,0.6022784586826075,-0.10081074054674842,0.9197007005566955,0.9800850899871857
ABC13-47656900H15.1,6.800509573584925,1.3108487933014286,1.5571415242678996,0.8418302208707283,0.39988299332072375,
ABCA1,70.34034288999848,2.568052851978789,0.8561525207900952,2.9995272917130196,0.0027039889783819168,0.04801292449980273
ABCA10,1.76527572576163,-1.4442767715421614,2.9311669225192976,-0.49273098725500947,0.6222026795385321,
ABCA2,62.5367853640884,-1.3533615306066609,0.6676966083141568,-2.026910895988696,0.04267152601106531,0.2672328672336807
ABCA3,13.819401886695498,-2.2361118206534756,1.0283878772163668,-2.174385628413053,0.029676186488625828,0.214497442788671
ABCA5,27.72335305675002,-1.1988517385879243,0.7653493506693255,-1.5664111265521887,0.11725239979473599,0.4614395016312207
ABCA6,10.515626547846477,-0.1385997639656162,1.3460238851911295,-0.10296976561150373,0.9179869669189714,0.979590838458953
ABCA7,80.8621103006135,-0.12079849128663182,0.5608807272528018,-0.2153728688063571,0.8294766212149433,0.9566926824314473
ABCA8,3.946593698239083,-5.455028739231181,3.231328335779837,-1.688169128103995,0.09137876758494096,
ABCA9,2.0496433289076426,-4.504523642772979,3.370261268635622,-1.3365502801498053,0.18136947772355638,
ABCB1,24.998926194390638,-1.1653136064463265,0.7666544538431141,-1.5199984825038177,0.1285113570295246,0.4867195751908677
ABCB10,38.61746779426433,0.661155475418943,0.6661118377098179,0.992559264060048,0.32092478487240383,0.71519303734604
ABCB4,5.00665913174963,0.2168029009718466,1.8099533232915306,0.11978369728207956,0.9046544966339285,
ABCB5,1.5563426112639007,1.4730229155518282,3.619203462574803,0.40700196349388945,0.6840065460818441,
ABCB7,50.50770874350683,0.338039116577619,0.5748511074745446,0.5880463865899188,0.5565011577988113,0.8589521702041987
ABCB8,59.64153120765942,0.178205329986147,0.6336606303693536,0.2812315006571785,0.7785328452036573,0.9403861914663324
ABCB9,3.500787082019804,0.5010094086764,2.0500699941060185,0.24438648929880905,0.806931504582729,
ABCC1,73.79813147340379,0.3170945847300109,0.5501495111271577,0.5763789266672998,0.5643590851278326,0.8633216957207664
ABCC10,59.41443935835925,1.3659540365336467,0.6309625460578105,2.1648734066197557,0.030397381271802134,0.21798697210079282
ABCC11,0.0,,,,,
ABCC3,69.00513098020603,1.7251772747156835,1.0772706655270552,1.601433446506816,0.10928094972988064,0.4451297302955063
ABCC4,18.775269025748507,-0.764825798235948,0.9092050752863444,-0.8412027374518056,0.40023436722008543,0.7714963937648351
ABCC5,66.70935458642484,0.9264951916217156,0.6324073182890108,1.4650292063797818,0.14291294952809233,0.5089389426232487
ABCC6,0.842928199109884,2.1458698265495824,3.9942640730856054,0.5372378458923169,0.5911033322563688,
ABCC8,0.06689141861422174,-0.39724285102563345,4.901467310679983,-0.08104570036814623,0.9354056083781408,
ABCC9,0.06689141861422174,-0.39724285102563345,4.901467310679983,-0.08104570036814623,0.9354056083781408,
ABCD1,35.512625645835385,1.1553452541060896,0.7299062718240605,1.5828679636069474,0.11345156201382159,0.45336175746419
