,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,28.04460937420647,-1.1722740043139905,0.6810976771654953,-1.7211540188958063,0.08522287909726298,
A2M,6.646335855535209,2.093911277014322,1.3880282344077721,1.5085509250521318,0.13141358338884232,
A4GALT,0.19997309971672367,-0.3674003963344997,4.675395145035816,-0.07858167811218986,0.9373653612148616,
AAAS,8.681757239453841,-0.1953186890812495,0.9958691944054221,-0.19612885927038176,0.8445093084696643,
AACS,6.589274629208224,-1.8541316000675656,1.3034008014094494,-1.4225337272023895,0.15487136763229478,
AADAC,0.057135171347635336,1.0924271757263662,4.798598796748909,0.22765545151774194,0.8199141075568822,
AADAT,0.0,,,,,
AAED1,17.862627329273497,0.6361772800346834,0.7939748772007882,0.8012561836686436,0.42298335134655896,
AAGAB,22.728114606898743,0.29930445327191907,0.659344507150592,0.45394243832467235,0.6498702574342232,
AAK1,167.62216817861326,-1.1926131192013936,0.32440521040731823,-3.6763069178326906,0.00023663480566212528,0.008906385366732454
AAMDC,5.342627627242172,0.04456742598579903,1.389608963392151,0.03207191890660106,0.9744146973520318,
AAMP,28.363392743637473,1.4050855289966495,0.6329176047751509,2.220013345174397,0.026417861737123866,
AAR2,13.739637234498321,-0.07879984085996035,1.1175566005031485,-0.0705108276614204,0.9437870827740099,
AARD,0.342811028085812,-1.123430905728229,4.64490834604597,-0.24186287909955467,0.8088864144461437,
AARS,12.812408513295646,-0.28342933391215885,0.9826155670798484,-0.2884437651995056,0.7730070707908648,
AARS2,4.5342591946194215,0.5773735347884861,1.3555388291894852,0.4259365518387356,0.6701540796358658,
AARSD1,3.1676940567838154,-4.295061291238553,2.5885330965285847,-1.6592645838674227,0.0970624885383337,
AASDH,11.742826970608991,-0.31433477814159494,1.0928746998357568,-0.28762197367075554,0.7736361227774375,
AASDHPPT,19.708137373829214,1.4861863237041935,0.8556998313553666,1.7368080128637886,0.08242106423440301,
AASS,0.9565121378190555,1.5954950228185414,3.50205623373812,0.45558806493392556,0.6486862272021572,
AATF,35.290896244073096,-0.5266542659481108,0.5298529141847318,-0.9939631392958505,0.3202408132314827,0.7350406628641705
AATK,0.057135171347635336,1.0924271757263662,4.798598796748909,0.22765545151774194,0.8199141075568822,
ABAT,8.50793020356937,0.6036744588465545,1.2186649871621125,0.49535718610602125,0.6203480107169772,
ABC13-47656900H15.1,0.3954009944384507,2.0542156624324357,4.603590454321968,0.4462203323286253,0.6554380973039731,
ABCA1,1.8387122488181618,0.9053378933685825,2.777840265271763,0.32591431000803456,0.7444891885125805,
ABCA10,0.028567585673817668,1.6913636627017419,4.89081850321055,0.3458242544865355,0.7294747960912078,
ABCA2,18.251900440371962,-0.016645478552659906,0.781723520585713,-0.021293306539104953,0.9830116832380587,
ABCA3,3.076645861185164,-1.345255891159516,1.9973475140667318,-0.6735211983319247,0.5006157671992352,
ABCA5,12.079595654588053,0.24197385768046048,0.8538669042888226,0.28338591935706675,0.776881020913031,
ABCA6,0.057135171347635336,1.0924271757263662,4.798598796748909,0.22765545151774194,0.8199141075568822,
ABCA7,25.56918779882501,-1.6770334505014888,0.7106113141434914,-2.3599869818043047,0.018275576380364977,
ABCA8,0.19997309971672367,-0.3674003963344997,4.675395145035816,-0.07858167811218986,0.9373653612148616,
ABCA9,0.057135171347635336,1.0924271757263662,4.798598796748909,0.22765545151774194,0.8199141075568822,
ABCB1,14.338797235537523,0.6431499578303131,0.8832043127240855,0.7282006536478884,0.46649076579982285,
ABCB10,9.572897496479044,-0.08148238813753361,0.9505349978767433,-0.08572265968064807,0.9316868886097948,
ABCB4,2.897113981632058,-4.177948277199576,2.673286171586355,-1.5628511162051684,0.11808761787886865,
ABCB5,0.0,,,,,
ABCB7,11.111239531991291,0.06917339373767013,1.0699734819672697,0.0646496337558636,0.9484529653140237,
ABCB8,10.390702918022738,0.7728368764960575,1.10733553085538,0.6979247526710053,0.4852242535914535,
ABCB9,0.7192415683782161,-2.1592015511978815,4.028107920376716,-0.536033689731915,0.5919352669541347,
ABCC1,18.21257926795446,-0.26087846686431226,0.7660452972311044,-0.34055227257091186,0.7334406647013629,
ABCC10,16.033441493404823,0.23422205761573217,0.7818286772482238,0.2995823310550793,0.7644957632662706,
ABCC11,0.057135171347635336,1.0924271757263662,4.798598796748909,0.22765545151774194,0.8199141075568822,
ABCC3,2.8175492448714174,4.586318641516127,2.3230029540389423,1.974305987662228,0.048346960478469106,
ABCC4,6.4158246137146975,-0.42937929698011906,1.4171335681719999,-0.3029914092953055,0.7618964084621522,
ABCC5,6.0792850807321965,-2.3890187664836677,1.4178298738475374,-1.6849826700298207,0.0919919151011893,
ABCC6,0.0,,,,,
ABCC8,0.0,,,,,
ABCC9,0.0,,,,,
ABCD1,7.082826142263828,-0.09507559573319846,1.1522027144249876,-0.08251637888272674,0.9342360942850937,
ABCD2,6.436613071162212,-0.7056970546157976,1.3745566362890123,-0.5133997654116442,0.6076717096547088,
ABCD3,8.541174074511172,-1.73291536757764,1.0761248944323998,-1.6103292253002506,0.1073260023212656,
ABCD4,20.669523269123815,-0.28807226706863753,0.6875811238823537,-0.4189647694835893,0.6752418801257964,
ABCE1,28.64024855577826,-0.02275732445061323,0.5652532284166556,-0.04026040596770993,0.9678855196294013,
ABCF1,31.51828540761902,-0.0052546298670008065,0.5910720189553109,-0.008889999354542433,0.9929069002000014,
ABCF2,24.75480275917447,-0.10111917982678514,0.6631992126359327,-0.15247180319301004,0.8788148281898212,
ABCF3,7.381563878553945,-1.0949544195619598,1.1809840132888136,-0.92715431135492,0.3538464207357057,
ABCG1,25.84583694995892,1.822262778988469,0.6340739555350706,2.8738962751604133,0.004054420937819334,
ABCG2,0.0,,,,,
ABHD1,0.3142434424119943,-1.0007781265226865,4.64887860208747,-0.21527301790012554,0.8295544650572099,
ABHD10,9.018511361055852,0.2081569719606094,1.1387657519971173,0.18279173885898206,0.8549614308387774,
ABHD11,6.981046891205004,0.9050268647575425,1.264972350162253,0.7154518947718173,0.4743298556922547,
ABHD12,15.149777668663763,0.6723225914785579,0.800687951922776,0.8396811640090739,0.40108717785240644,
ABHD13,16.156903006053316,0.8308975841774873,0.8612576314913135,0.96474916888544,0.3346704613761423,
ABHD14A,10.210124864769472,-1.3029087903134466,1.0547406290301258,-1.2352883300907078,0.21672321536073225,
ABHD14B,57.565432357965754,-0.9693070364902833,0.5088105577936434,-1.9050450538870343,0.056774214835977325,0.3220845942518141
ABHD15,14.899672438593342,-0.02677118240261133,0.9531507814810781,-0.02808703819243817,0.9775927320202973,
ABHD16A,6.825764148757767,1.4742141406542348,1.3616852920210532,1.0826393949413693,0.2789685140942718,
ABHD17A,79.02772982554583,0.022731662833944278,0.4068175911962402,0.05587679423375525,0.9554399574599812,0.9862651176856461
ABHD17B,6.424758228690466,-0.41903268675661337,1.136274640435445,-0.3687776456896292,0.712293468248975,
ABHD17C,0.342811028085812,-1.123430905728229,4.64490834604597,-0.24186287909955467,0.8088864144461437,
ABHD18,15.567864768049315,-0.13964477818377208,0.8421115706694885,-0.16582693202131502,0.8682931508629035,
ABHD2,23.182456244495956,0.4640925507013583,0.6261557498904164,0.7411774958268437,0.4585858264527575,
ABHD3,21.58862040387946,0.3072948756407428,0.6449508703730737,0.4764624559123196,0.6337449485986026,
ABHD4,5.357775201993865,0.8336216407043109,1.2537989316212101,0.6648766558019045,0.5061293879258315,
ABHD5,4.595648748157287,2.1686923678840175,1.4917224985236115,1.4538175632736094,0.14599689279185696,
ABHD6,7.625680231479191,1.4836026202892096,1.1691099545448946,1.269001785949842,0.20444042707956578,
ABHD8,2.919959108337732,-2.1016202713487147,1.9986300336809153,-1.0515304163012702,0.2930150473176658,
ABI1,47.65775465498312,0.6239218870002612,0.49719081814254196,1.254894226186989,0.20951716027436718,0.6393843304730101
ABI2,18.01448006946254,-1.0520949530799284,0.8666250735654786,-1.2140139780994192,0.22474238646052602,
ABI3,32.34712031265131,0.8106413180051882,0.5529973530698711,1.465904517453927,0.14267430109951698,
ABI3BP,0.171405514042906,-0.1530696003542086,4.6871640762511335,-0.03265718841159835,0.9739479643638455,
ABL1,20.900715216692774,0.39348629821385445,0.6764212800284721,0.5817177989984166,0.560756780513112,
ABL2,15.375381526400194,-0.9486333500388736,0.8340229863199369,-1.137418710993382,0.2553632889798293,
ABLIM1,56.401566764374955,-1.0813813791652773,0.47739906332121207,-2.2651518661185204,0.02350336174417287,0.19240042715211805
ABLIM2,0.171405514042906,-0.1530696003542086,4.6871640762511335,-0.03265718841159835,0.9739479643638455,
ABLIM3,0.11427034269527067,0.4057833819773697,4.726686980266919,0.08584942977426756,0.9315861122115923,
ABO,2.456812367948319,-3.9429947505564655,3.290194577613254,-1.1984077711953316,0.23075830857745683,
ABR,26.282336562382433,-0.2624867332486102,0.6607524939304281,-0.3972542452125015,0.6911799842248485,
ABRACL,65.8388429941231,-0.06010928003455225,0.41942476978082177,-0.14331361513523266,0.8860425035045381,0.9778017956392205
ABT1,25.635532566651317,-0.5020896931936867,0.6435245633045087,-0.78021838143279,0.435262344611422,
ABTB1,33.01478546315735,-0.33031466179931507,0.6373020857246557,-0.5183015546288773,0.6042478884257956,
ABTB2,0.0,,,,,
AC002331.1,1.5090548134774433,1.9649169953546926,2.6136869092349255,0.7517797898486088,0.45218349773521316,
AC004069.2,1.1881107677357725,-2.863784064168721,3.6344257679466336,-0.7879605326996931,0.4307197918449477,
AC004381.6,0.171405514042906,-0.1530696003542086,4.6871640762511335,-0.03265718841159835,0.9739479643638455,
AC004540.5,0.028567585673817668,1.6913636627017419,4.89081850321055,0.3458242544865355,0.7294747960912078,
AC004791.2,0.057135171347635336,1.0924271757263662,4.798598796748909,0.22765545151774194,0.8199141075568822,
AC004951.6,3.6997338404703797,0.2858868489663173,2.01640809962427,0.14178025223147453,0.8872535829152667,
AC005224.2,0.3764305402924041,-1.1961780278805432,4.642702514804758,-0.25764692526952626,0.7966794108475199,
AC005301.9,0.5730356889872782,-1.8445809539364253,4.42649697821656,-0.41671347862968805,0.6768879943103825,
AC005480.1,48.08743958360757,-5.849862745359372,2.248572740871414,-2.6015892832945715,0.009279290771832809,0.09678039411425624
AC006116.20,0.7851066237761496,4.706596713002077,4.860106477568613,0.968414320699547,0.332837490219662,
AC006129.2,14.16611879136741,-0.9560194429904488,1.0449461036139196,-0.9148983279463696,0.3602450079378874,
AC007161.5,5.964069497819906,-5.196899854007274,2.448095681355618,-2.1228336349703136,0.033767795241081824,
AC007228.9,5.156866825461043,2.3285578065963444,1.565790521253876,1.4871451672421985,0.13697647443768945,
AC007383.3,1.2136204088834146,0.32243147335707756,3.223989352877892,0.10001009248658323,0.9203363129734663,
AC007405.6,0.0,,,,,
AC007880.1,0.14283792836908832,0.09910397042539615,4.703267392639093,0.021071302597105164,0.98318877702089,
AC007950.2,1.4616382699577803,5.574379181959314,3.5530964673855214,1.5688792108875993,0.11667608681208387,
AC008268.1,0.0,,,,,
AC008746.12,0.5478360543353101,-1.7589820568224466,4.451251144064178,-0.3951657634883352,0.692720557593733,
AC009299.3,3.504866134248006,0.6342013029920727,2.0202622531748706,0.31392028534682387,0.7535815831413821,
AC009404.2,0.39994619943344734,-1.3412717627635082,4.638610945438052,-0.28915375282391653,0.7724637207221486,
