,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,205.12757933039225,4.1123451722754005,0.44791183369018983,9.181148750626253,4.2651677139574357e-20,1.107664055314746e-16
DUSP4,51.23343127072731,4.586538668595257,0.5247582320383359,8.74028912472628,2.325146006672875e-18,3.019202089664728e-15
FN1,54.90895805652087,5.396821349152933,0.7442112726524994,7.251732871389755,4.114728126704323e-13,3.5619829816837086e-10
ATF3,56.76848612054503,4.324758289933251,0.6063672628338221,7.132242380173601,9.87467840849548e-13,6.411134956715689e-10
TIPIN,59.016765905898936,-4.459052998320342,0.6469541886643807,-6.892378280332236,5.4867234515205735e-12,2.849804160719786e-09
APOE,67.20606752954758,9.007938907304268,1.3122040083009197,6.86473966724733,6.6612618001056296e-12,2.88321614914572e-09
NR4A2,102.26900386090507,2.4498753375594684,0.38028060521786017,6.442283156028827,1.1768944581271694e-10,4.366278439651798e-08
CTD-2192J16.22,197.67806962200882,-1.8785392732091772,0.29681278038451103,-6.329037687580677,2.466948566619299e-10,8.0083317843879e-08
TGFBI,45.03954807263166,3.722364999907192,0.623115597230862,5.9737952579737295,2.3179668139315424e-09,6.688622017533572e-07
RGS2,140.54977167673516,2.512831422460733,0.42446924590660207,5.9199375377448265,3.220639137581384e-09,8.363999840298853e-07
TYROBP,81.09361325530382,2.212013941872119,0.39387724991925555,5.615998238856345,1.9543065068665724e-08,4.613939998484081e-06
PSAP,243.17337078571595,1.378795555756082,0.2508970971491838,5.495462368527317,3.8968803927277186e-08,8.433498649928237e-06
CCL3,41.86848285903055,2.74761699541561,0.5147381351130217,5.337892819641802,9.403301536316299e-08,1.878490314601033e-05
JUN,342.5670096580554,1.8832154345887673,0.36145715413963087,5.210065461482833,1.887740143953404e-07,3.5017579670335645e-05
RHOB,79.14150721823874,2.738998895245173,0.5442796511753814,5.0323374929234586,4.84535289792344e-07,8.388920983938116e-05
BTG2,233.96764800385807,1.3409324446893116,0.26819097171760464,4.999916425603114,5.735516990601929e-07,9.309461015370756e-05
CREM,60.25739145714298,3.2545892343924194,0.6694712367582585,4.861432509261976,1.1653931425765126e-06,0.00017078572804027096
