,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,100.505627084064,-0.9533055486128171,0.5458299483706375,-1.746524813192349,0.0807197992555583,0.45302082503033886
A2M,38.31975513857803,2.7425853418700634,0.799643549358671,3.429759852461347,0.000604115667737041,0.015391633752715655
A4GALT,1.1668715631070432,2.9491143452624944,3.6132785249126487,0.8161879370574648,0.41439265503722267,
AAAS,39.95654921761702,-0.3928820139454504,0.6240345845544492,-0.6295837180658216,0.5289669790375457,0.9100088354709839
AACS,19.915768448366578,-1.0411071934448504,0.7622069987114677,-1.3659113537462542,0.17196678867015414,0.644533438318902
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,50.94244850449631,0.6487860658491571,0.5450096694406439,1.1904120279462589,0.2338844878708366,0.7155146412226299
AAGAB,55.19279848112198,-0.3770286039954721,0.47622556749513184,-0.7917017265128804,0.4285346153888836,0.8631679578598149
AAK1,590.7196417825811,-1.0594555848689862,0.23708585791959993,-4.468657870045823,7.87119093857817e-06,0.00042935602324499126
AAMDC,16.3013596957476,-0.3660520915253089,0.9141151665313213,-0.40044417260280346,0.6888293948371832,0.9425213526008436
AAMP,59.1148093110192,-0.36649637028394255,0.4616402148880366,-0.7939004412187756,0.42725339281453834,0.8631679578598149
AAR2,37.003001562270526,0.1968296925098025,0.5581392413164393,0.35265338456682555,0.7243483104581377,0.9530225944257702
AARD,8.66786827446653,2.3869081583186094,4.199531312928312,0.5683748924482314,0.5697804352322189,0.9205714988850439
AARS,40.28677566641747,0.43366805389662433,0.5608837322411906,0.7731870777634515,0.43941167262778325,0.869255960178279
AARS2,7.678666553391342,-0.47164810118283657,1.3641561559869277,-0.3457434833342908,0.7295355022575576,0.9561982991513774
AARSD1,17.217753377649945,-0.7459043127045899,1.1011439204811249,-0.6773903926915207,0.4981582923176051,0.8992443339358421
AASDH,18.31919391823417,-1.3083442782466483,0.7914232420276658,-1.6531537220142853,0.09829958219050233,0.5034644179262622
AASDHPPT,46.453037986721384,-0.26921467498518875,0.5593942220283201,-0.4812610934897346,0.6303309451044055,0.9311264617059412
AASS,1.260816465758729,-3.0958200300162604,3.586893706184918,-0.863092213933774,0.3880867684849476,
AATF,124.1083190313769,0.26035608703890967,0.3323446586577789,0.7833918200773701,0.43339705818279595,0.8652162683142725
AATK,2.2301955457647105,1.4914776319974672,2.44176168477538,0.6108203111290403,0.5413185453831821,
ABAT,34.25862442228073,1.0985224920652297,0.5900024900640565,1.86189467089531,0.06261793837055785,0.396544164502362
ABC13-47656900H15.1,2.918659181929732,3.5727506441065118,2.265662171986438,1.576912343014525,0.11481569604939168,
ABCA1,9.922737056919269,1.5135632948588795,1.2841472971939623,1.1786524008314487,0.23853661666795822,0.720898741024397
ABCA10,1.5666854292808243,0.4980823731727987,3.112956882425062,0.16000297851372153,0.8728787279330545,
ABCA2,50.12656901796556,0.298931494664428,0.6416808420022374,0.46585697296442835,0.6413178811950253,0.9334226128362276
ABCA3,9.818055220730269,0.4060958401134338,1.050988015292956,0.38639435864569516,0.6992046274922245,0.9460792235372656
ABCA5,30.566368271546185,-0.7393157231103582,0.6584963206104606,-1.1227332636042275,0.26155079622234756,0.7422524177747366
