,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HLA-DRA,839.2049489434958,2.3701825675142016,0.21343192030387978,11.105098825609529,1.184862007454597e-28,1.301096970385893e-24
ATF3,154.3869171780238,5.026530101881005,0.4589494548592184,10.952252037041596,6.481578846230331e-28,3.5587108655227635e-24
LYZ,697.6602926955654,4.212371987503354,0.4032883957619473,10.445061231044766,1.5435574857315773e-25,5.649934916939484e-22
TIPIN,193.86389707546874,-3.7692203977529637,0.36582361689449344,-10.30338180391464,6.802688426833284e-25,1.8675080403764072e-21
CCL3,158.3940893280855,3.1466619324151424,0.3227555720357722,9.749365169957114,1.85625401840305e-22,4.076705075216778e-19
DUSP4,205.21043479253814,3.8471874334616896,0.4100856007719205,9.381425307838107,6.5086840110490606e-21,1.1911976520888289e-17
SGK1,138.43365867438888,3.2096624019025444,0.35822946799257105,8.9597944576941,3.2528418676177977e-19,5.102779506901577e-16
CD163,56.76273383505274,6.082647391051391,0.6876321162607206,8.845787227228797,9.088528800848793e-19,1.1089014973568954e-15
HLA-DPA1,473.8918226734734,2.0842596697030897,0.23531992998179713,8.857131947405879,8.209933655280631e-19,1.1089014973568954e-15
DUSP2,694.7374571852174,1.988917644064456,0.2306866871999574,8.621727019472424,6.595177743769577e-18,7.242164680433373e-15
KLF4,77.56638334714896,3.992784792281018,0.4706562025185936,8.483442417022605,2.186274363044859e-17,2.182498070963236e-14
IFNG,163.10643698192425,3.0415289364910523,0.362911463287481,8.380911721385058,5.2519280955120343e-17,4.805951868068138e-14
NOSIP,303.51566013717047,-2.5627035801331437,0.30711328328933396,-8.344489540424078,7.152213577894153e-17,6.04141979221967e-14
CTD-2192J16.22,602.3506294267539,-2.0497725509023144,0.24864469768804096,-8.243781467940396,1.6685177153013653e-16,1.3087137879803067e-13
IER5,307.48612259477085,2.7174910296973485,0.3516757878011774,7.727262222651799,1.0988414960977536e-14,8.044252312432955e-12
TIGIT,200.26329473892687,2.5153830302526874,0.3308104686340996,7.603698397570615,2.87785510462544e-14,1.9751079314932474e-11
HLA-DPB1,568.5750956668219,2.030668599747685,0.26757871265021393,7.589051384675095,3.2225595772109706e-14,2.081583924550216e-11
VSIG4,46.59491450899252,5.983035483731666,0.800086434320662,7.477986411320357,7.54699991085698e-14,4.604089223395583e-11
RHOB,221.69157853479555,4.0127969867622575,0.5372893944699673,7.468595189229181,8.105547175713498e-14,4.684579659816311e-11
RGS2,423.12450083694114,2.616746188070901,0.3514827246130498,7.444878524120064,9.703366397225454e-14,5.327633320396635e-11
METRNL,165.50089954640177,2.3472395511599946,0.31611708714737136,7.425222003471548,1.125909076807184e-13,5.887432177342709e-11
RP11-255M2.3,76.6455119081495,-4.497166840868194,0.6297212654945591,-7.141519728313908,9.230462403691412e-13,4.6072594388607e-10
NR4A1,193.10437769884385,3.4726234026785194,0.4871983836497362,7.127739990974823,1.020302771024185e-12,4.871280316789815e-10
