,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,44.777746289637506,-1.3506983633099832,0.6757406664864338,-1.9988413163485403,0.045625525851720077,0.3583251847174332
A2M,116.76637170443038,0.7959170254420252,2.2128103125189598,0.3596860611771059,0.7190819169379189,0.9619081538283115
A4GALT,2.071996095198389,1.030897709620916,2.606028488392799,0.3955819033492975,0.6924134894114102,
AAAS,16.039958040710054,0.8898589889796182,0.9351295058628614,0.9515890402351584,0.3413054419601095,0.827037768603384
AACS,10.440011404356914,0.2060710640017627,1.0401827933815961,0.19811043339010947,0.8429586619530876,
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,30.569622226311793,0.29480605848598174,0.6782519360215141,0.4346556829830125,0.6638123706678913,0.9485242531561061
AAGAB,29.847736936000995,0.016761946583597667,0.6987093345090336,0.023989870688325476,0.9808606884030304,0.9994634449493536
AAK1,165.42687583463422,-1.2775615966736447,0.3943057981315369,-3.2400274171151335,0.0011951820700382178,0.0410381574452136
AAMDC,8.652379682027393,1.2158481496565856,1.580292400312418,0.7693817608793265,0.4416667129273647,
AAMP,38.28673953086325,0.013655599481339036,0.6578595387473036,0.020757621767318345,0.983439003378639,0.9994634449493536
AAR2,17.17216097850801,-0.10117426317602035,0.8396082452050049,-0.12050175037444624,0.9040856931518588,0.9890232149053122
AARD,4.679369365090992,-1.2493455134942684,2.159912373133625,-0.5784241661997167,0.5629777822451435,
AARS,20.40382617791078,0.021783732515009525,0.9024509007155614,0.024138412957133742,0.9807422031315962,0.9994634449493536
AARS2,5.733283322460741,0.0459496928752803,1.3470357392655463,0.03411171028048133,0.9727880704669514,
AARSD1,6.658644755454981,-0.15034869242479876,1.3595376380109698,-0.110588106001068,0.9119429796658147,
AASDH,8.534933463789253,0.4882973059398073,1.221653501387038,0.3997019657254741,0.6893760441093653,
AASDHPPT,18.990369718259295,-0.33882835828151453,0.798118754422315,-0.4245337631825998,0.6711765874624452,0.9503772702847245
AASS,0.43588677906198825,-2.380463902170813,4.695141088655679,-0.5070058294781492,0.6121507283037557,
AATF,42.63213781141435,-0.12425864132533265,0.589037786552991,-0.21095190183381235,0.8329248034815874,0.9800819392150483
AATK,2.2170282500759466,0.9655414839658725,2.4535083928791477,0.3935350238736404,0.6939243610611678,
ABAT,14.916794344243963,-0.5413698806002389,0.9343242916375217,-0.5794239595883991,0.5623031412227819,0.9200018209500159
ABC13-47656900H15.1,0.7127932273992614,3.2357290269679306,4.9111815856517405,0.658849397143301,0.5099924832287837,
ABCA1,25.797795929730608,2.6484354234147043,1.022681176651067,2.5896980250359447,0.009606015585875535,0.14644425363452976
ABCA10,0.3337135817484114,-0.05547584650679397,4.598969032803975,-0.012062670157396243,0.990375615124106,
ABCA2,16.75349749941459,-1.050138763748374,0.9080246128181778,-1.1565091396466947,0.2474729633336934,0.7556096507532815
ABCA3,6.354576886434281,-3.223232190213441,1.5456482767127553,-2.0853594176474144,0.03703668767851285,
ABCA5,10.716917642951717,-1.316235328293836,1.1046002326095283,-1.1915942885367106,0.23342036559193657,
ABCA6,4.033529988233871,1.1147824878315875,1.7345054161555178,0.6427091420114855,0.5204128478815065,
ABCA7,19.773553334046916,-0.3012215514777699,0.8335152526556336,-0.3613869698461528,0.717810187326813,0.9619081538283115
ABCA8,1.9614905057789471,-4.522223220079919,3.3948195034378688,-1.3320953339346466,0.1828288634384353,
ABCA9,0.43588677906198825,-2.380463902170813,4.695141088655679,-0.5070058294781492,0.6121507283037557,
ABCB1,5.590801451435707,-1.6638288861544415,1.4814831538775604,-1.1230832303422542,0.2614021475974371,
ABCB10,15.987329698568903,0.65789658586125,0.8623700498505882,0.7628935930407547,0.44552685750613785,0.8778690550500509
ABCB4,1.2158539078899602,1.4740450530988716,3.435083288090807,0.4291147927065648,0.667839687537203,
