,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPP1,297.01084767136774,7.910212919074571,0.8055905123098515,9.819148560220498,9.312676135692995e-23,7.130716117100126e-19
ATF3,160.91407649726028,3.4060371632781736,0.43165702844041537,7.890609763923566,3.0071359403587354e-15,7.675213298442279e-12
FPR3,104.55558392473048,4.65099717833388,0.5872041112953539,7.920580065548122,2.3640508977618447e-15,7.675213298442279e-12
PLAUR,159.97300676481962,3.404280753634081,0.48050222533123177,7.084838683707151,1.392063626263044e-12,2.6647577965740317e-09
IL1RN,79.86972520174649,5.003749074284578,0.7206158024480926,6.94371266531448,3.819269422933587e-12,5.848829194280495e-09
HBEGF,70.89686984945743,3.9884903271015175,0.5790859898418441,6.887561427951013,5.675686800549035e-12,7.243122305300661e-09
MARCO,84.456019659945,7.057435919042571,1.0834017757952181,6.514144684563032,7.310500752105267e-11,7.996643465552862e-08
GPNMB,174.4277775046107,4.341633515629833,0.6706393829517676,6.473871988430604,9.552283828683044e-11,9.142729659528258e-08
CTSL,113.6537008927877,3.3008184348935945,0.515544906041274,6.402581804637856,1.527712249189691e-10,1.299743632449496e-07
MMP9,62.345728549227715,7.023687197885702,1.135229191006309,6.187021311229363,6.131167904283522e-10,4.694635264309893e-07
RHOB,244.55338354638144,2.6763454005212584,0.43859451086142337,6.102095065587508,1.0468707506800837e-09,7.287172125415819e-07
CD163,134.95403545037988,3.2607297476000308,0.5551718273362402,5.873370345979692,4.270230302516976e-09,2.693429858664947e-06
FABP5,62.227816077605915,4.8776143284105435,0.8320715329900561,5.86201322244831,4.572886007920114e-09,2.693429858664947e-06
EREG,39.86476990379618,5.485189343893352,0.9460935137924792,5.797724288274214,6.72208462544029e-09,3.6765001412140214e-06
SDS,41.99607964077545,6.223105826864658,1.0763897818205106,5.781461262424329,7.405453471403191e-09,3.780237148702282e-06
HNMT,59.79656953849313,3.921960770518527,0.6954750074834724,5.639254794661663,1.7078766440896625e-08,8.173257164871591e-06
TREM1,31.40608233759057,5.996997893568197,1.110361591463402,5.400941404740458,6.629207854876184e-08,2.985873208516879e-05
CORO1C,68.9271377416258,3.130968523506563,0.5820285723534865,5.37940690926255,7.473162499987075e-08,3.0494216247228698e-05
MAL,37.15374278281228,-4.6449155696686315,0.863822477759076,-5.377164509215422,7.566803039014565e-08,3.0494216247228698e-05
RASGEF1B,39.60753200455652,4.360011889934875,0.8159476857688823,5.343494400411659,9.11716471436812e-08,3.490506510895835e-05
CD83,111.96279482069227,2.574756933038294,0.4879985862405412,5.276156541505145,1.3192140879295824e-07,4.8101058434651485e-05
CCL3,117.34588011730325,2.65830162129337,0.5083139600347081,5.22964512151478,1.698357384299235e-07,5.911055677990565e-05
ACSL1,69.49262544234497,3.346978464537338,0.6413515881968394,5.218632846840484,1.8024867066427813e-07,6.000713353375555e-05
LGMN,125.13017449924715,3.4107464213830077,0.6567126756733989,5.1936661918175995,2.0619270773402898e-07,6.417909740205522e-05
PLA2G7,37.980195181588286,6.8408752749803154,1.3179187505471448,5.19066541252279,2.09543872933444e-07,6.417909740205522e-05
AQP9,36.86833211002056,4.132632076321027,0.7986060644623829,5.174806779238637,2.28146959310891e-07,6.71892795170574e-05
FBP1,83.74917883994053,3.375188899010302,0.6531906103838331,5.167234258047504,2.3758341227067446e-07,6.737689584283535e-05
C15ORF48,52.85816077840394,3.306587072473063,0.6482653836630421,5.100668886234675,3.384552188351015e-07,9.255541466501329e-05
ZNF331,110.57491382700307,2.7203684292363666,0.5360780078736599,5.074575694732639,3.8836161349964175e-07,0.00010254085774368128
CCL2,34.84292318037346,4.664007217832387,0.9225415906185584,5.055606452068138,4.290252359481947e-07,0.00010950154105517756
MMP19,35.83738942152968,5.8602262107284355,1.1635379982420577,5.036557653967823,4.739783929432151e-07,0.00011707266305697412
IFI6,211.57408315506055,2.9095313402018976,0.5799988706086494,5.016443113326484,5.263685196830357e-07,0.00012595011735040638
CD9,170.75986738020404,2.6702166320139273,0.5340693190004312,4.9997566552063475,5.740271550299217e-07,0.00013277160489974868
VEGFA,58.14295710575334,3.8135864847557284,0.7643975107923182,4.989009554469696,6.068964570316317e-07,0.00013277160489974868
CYP27A1,59.65098225671274,4.939958900078172,0.990126018194934,4.989222391190212,6.062282450528958e-07,0.00013277160489974868
FPR1,81.32171029567752,2.536251733441385,0.51608115609123,4.914443597690749,8.903495186723367e-07,0.00018937239623539117
IDH1,43.052420793818264,3.8120724891723077,0.777388221754583,4.903692109675102,9.405187052899959e-07,0.00019063079816289543
IER3,112.91595932626481,2.203109067041083,0.44938124826011683,4.902538936751206,9.460585516769004e-07,0.00019063079816289543
CLEC5A,39.02988674103702,4.651282420037549,0.9661006769108774,4.814490385111933,1.4757600859027136e-06,0.0002897408968655661
CD36,106.11885287972314,2.6213191272820184,0.5466420040690755,4.795312302694508,1.624215887757476e-06,0.00031091552631397487
NOSIP,72.57750727577475,-2.5611912709201397,0.5414137260504769,-4.730562133331204,2.23898984313292e-06,0.0004181450055821651
IL1B,51.17870304266365,3.068858928709406,0.6503628903382171,4.718687019662922,2.3737168705522547e-06,0.0004327511923290146
KLF4,201.1116302740994,2.0524196055714854,0.4362503883241318,4.7046825871168005,2.5426122534343444e-06,0.00045276237266387854
ADAM9,47.08207405885978,4.118754242325377,0.8787264534761634,4.6871858995845095,2.7698734689250348e-06,0.00048202093526270436
RGS2,302.3580735478115,1.997665148635054,0.4269223272662608,4.67922387996625,2.879628749379822e-06,0.0004899848296444733
TCF7,135.30205149132095,-2.7575902293247734,0.5937288081370107,-4.644528261947538,3.4085438859697616e-06,0.0005673743594537058
HSD3B7,25.52341611279693,5.378727628390557,1.1648224514121144,4.617637324787074,3.881338264595906e-06,0.000632327810468316
ANPEP,97.59223891094163,2.268849379312319,0.49264422978901107,4.6054520526588085,4.115708107975072e-06,0.0006565411871409402
IFI27,73.85334248642559,3.60014884905496,0.7993731429955643,4.503715042969535,6.677573141732255e-06,0.0010434730111478342
YWHAG,76.11907397786231,2.2538200235577976,0.5012338663823015,4.496543778705411,6.906696390956173e-06,0.0010576914853110283
MTRNR2L8,29.14265583948073,-3.8152003480903915,0.8528509168186165,-4.473466901251869,7.696147576266908e-06,0.0011332577306053023
CCR7,63.09548920874156,-2.643448952958817,0.5904211831073828,-4.477225798448427,7.561925790698902e-06,0.0011332577306053023
RETN,32.96427464730975,3.5963862441298837,0.8047912802695347,4.468719197510948,7.868934916521677e-06,0.0011368383897321977
FAM198B,26.535837957875383,3.779772845164315,0.8510421643975232,4.441346155675052,8.939785028382496e-06,0.001267628406709718
CXCL3,24.967260836781428,4.635008697251111,1.0446869893020487,4.436743967059208,9.132981403756711e-06,0.0012714770656102753
RAB7B,22.335759076969914,6.103200584765225,1.3797464789871825,4.423421750092339,9.714982866635199e-06,0.0013283504251754594
HLA-DQA2,104.7084746861749,2.713049735790542,0.61507745066832,4.410907492776144,1.0293829132843317e-05,0.001382804380178619
GM2A,110.19245160576118,2.5101387535540676,0.5707365208094438,4.398069270202084,1.0921812366583795e-05,0.0014418675394988296
PLSCR1,63.29061567254229,2.6232957783362183,0.597081581663492,4.393529894235921,1.1152484531676465e-05,0.0014473656620177405
NR4A3,35.30635042843086,3.1156954846007854,0.7144338193408943,4.361069423442456,1.2942828906358128e-05,0.001651720682266403
ACAP1,93.97052396742778,-2.34427290725175,0.539094496755817,-4.3485380046711715,1.370480718070653e-05,0.0017202903046339326
PLAU,23.81344859188581,3.84108650508944,0.8911178796055274,4.310413462683276,1.6294958765477045e-05,0.002012427407536415
C12ORF57,120.431615309685,-2.022027062783139,0.46979483546481343,-4.304064051241756,1.6769314700095398e-05,0.0020381371850576265
CXCL8,63.2425129826852,3.241713843790072,0.7562433223525465,4.2866016108487965,1.814272356577079e-05,0.0021706067866110457
BCL11B,108.92824956348473,-2.3428359954583664,0.5482174122470093,-4.273552687528938,1.923827981184531e-05,0.002266269361835377
