,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,3.5781244721383336,-0.28814890800888604,1.784023435727863,-0.16151632441494487,0.8716867551328648,
A2M,37.012486136593495,0.3303148454466134,0.8606668045226611,0.38378945686166094,0.7011345029852944,0.9491442604372673
A4GALT,0.07004348786405747,-0.5926579348885047,4.901965216501017,-0.12090210940165325,0.9037685713682932,
AAAS,3.423063562633149,-0.6298789769706098,1.8107123016925526,-0.3478625380640724,0.7279434205248992,
AACS,0.6140425907307813,2.876022120430098,4.927993062008789,0.5836092064743595,0.5594832647178669,
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,6.287553783039981,0.7969695309212467,1.3231123225445007,0.6023445759983403,0.5469447946517264,
AAGAB,3.273172666819481,-0.6989278240908735,1.712175973343269,-0.408210274511747,0.6831193056273182,
AAK1,38.12806702437238,-1.9710740555222734,0.6583329789293695,-2.9940381518297654,0.002753115162712461,0.0577679509141563
AAMDC,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
AAMP,4.999002857750976,0.5742469504042569,1.7655578120912638,0.3252495876779442,0.7449921815022238,
AAR2,1.6308331433504577,-0.17175226892479314,2.9445622012069146,-0.05832862652872318,0.9534868656539983,
AARD,4.5624193096292665,0.021746693824399137,1.9334961500662577,0.011247342708002763,0.991026108107244,
AARS,5.7842772646925,1.4965573616198213,1.495420567845022,1.0007601833218311,0.3169427634743224,
AARS2,1.1510960254769358,-0.5990178190449691,3.4682659575974695,-0.1727139228561121,0.8628762994058902,
AARSD1,0.35021743932028737,-2.1364006411688354,4.715157895373006,-0.45309206787439504,0.6504824468590968,
AASDH,2.278580549826782,-4.7236825832287375,2.9820472363232433,-1.5840401606290004,0.11318458023450916,
AASDHPPT,1.148171207686315,0.8447755483073082,2.9174404639817295,0.28956050988418686,0.7721524817644059,
AASS,0.0,,,,,
AATF,8.732128475817444,0.3009875042300846,1.1519569455321497,0.26128364032827855,0.7938737816274528,
AATK,0.26582807563139516,2.068752255118067,4.990703680923287,0.41452115520818594,0.6784924771865515,
ABAT,2.484795548747158,0.2024056687787499,2.147456634731838,0.09425366990194202,0.9249076520714172,
ABC13-47656900H15.1,0.0,,,,,
ABCA1,5.5096430175689735,0.668055450971598,1.7210633936261963,0.3881643485334017,0.6978944144902159,
ABCA10,0.2101304635921724,-1.5618775887561576,4.765491887626533,-0.32774740269971486,0.7431026590245083,
ABCA2,3.5291979161082323,-1.9375436075024417,1.7999964677982787,-1.0764152275656451,0.2817415951178037,
ABCA3,0.5603479029124597,-2.786981623434991,4.676397206975357,-0.5959676862516946,0.5511968139728592,
ABCA5,1.629594689961793,-4.2650112574928185,3.263646857158561,-1.306823760094583,0.19127257369810735,
ABCA6,1.954514736894874,-2.7854652267106976,2.6444511907651678,-1.0533244994038735,0.29219229414101433,
ABCA7,4.923521699686289,-0.6340435990114373,1.4543031936427915,-0.4359775882931686,0.6628529902353415,
ABCA8,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ABCA9,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ABCB1,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ABCB10,0.5531749650000424,-1.485642977463986,4.506930680161479,-0.3296351958558983,0.7416756252100329,
ABCB4,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ABCB5,0.0,,,,,
ABCB7,1.9074042220110912,0.7975261422090415,2.5292656242843647,0.31531925099195346,0.7525192698153146,
ABCB8,2.166528901201911,1.8803290597869344,2.3062728693168832,0.815310748698998,0.41489445767303823,
ABCB9,0.0,,,,,
ABCC1,4.086846556677941,-0.3147756196768147,1.8570948015828783,-0.1694989504081959,0.8654041978694956,
ABCC10,3.790324425777044,-0.6370010343883896,1.6173454273313628,-0.3938558972151349,0.6936874328813691,
ABCC11,0.0,,,,,
ABCC3,6.534512783365974,1.1769866032207847,1.6199472929412688,0.726558579004,0.4674964101800976,
ABCC4,0.0,,,,,
ABCC5,3.9087400792568494,1.8922302193229308,2.002644084863973,0.9448659567740706,0.3447273135866489,
ABCC6,0.0,,,,,
ABCC8,0.07004348786405747,-0.5926579348885047,4.901965216501017,-0.12090210940165325,0.9037685713682932,
ABCC9,0.0,,,,,
ABCD1,1.0004417525739406,2.3514550693759992,3.8323983169895786,0.6135727225825294,0.5394977133057977,
ABCD2,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ABCD3,3.656177469400177,-0.052066693660187464,1.989043377535933,-0.02617675122032217,0.9791163593659534,
ABCD4,3.4127213477642977,1.5586799200407213,1.8853771232192997,0.8267205010842924,0.4083954986529068,
ABCE1,5.115458955492217,1.1575976154993022,1.454528221391193,0.7958577898145629,0.4261146976838419,
ABCF1,8.35210067556593,-1.8308285308750998,1.2640959839268169,-1.4483303120604591,0.14752469416135328,
ABCF2,2.1875781734673208,0.18290928309950602,2.3841459095468127,0.07671899709119485,0.938847091587049,
ABCF3,1.979047658449844,0.18791129425378572,2.4809261774564013,0.07574239651356494,0.9396240453110913,
ABCG1,6.165728147808497,-0.8777197038429045,1.284909635724669,-0.6830983902987733,0.494544672525969,
ABCG2,1.0633123025255806,3.763230566877541,4.405365512760345,0.854237986831551,0.39297313945763357,
ABHD1,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ABHD10,1.3877799973607845,4.119378793795335,3.7474275159637367,1.0992550959950835,0.2716568127878314,
ABHD11,3.750748817133548,-0.4569251181761175,1.7065608996086667,-0.2677461544331031,0.788894720294702,
ABHD12,7.668687482725177,1.3123053843351387,1.58425717651147,0.8283411328612893,0.40747733437705136,
ABHD13,3.445436610371574,-0.3726176630553217,1.801509563190615,-0.20683635028580502,0.8361376665239926,
ABHD14A,4.406280650701629,-3.772418515535794,1.8313290741608381,-2.0599348138806857,0.039404772974760444,
ABHD14B,10.380610524201515,-0.8094664915093067,1.1730075419137251,-0.69007782353103,0.4901452482990154,0.8743633685970698
ABHD15,1.5606311390060077,-2.0335612502794294,2.822250091243751,-0.7205460836333073,0.4711888365953977,
ABHD16A,0.5388290891752077,0.5989741920077647,4.519660652050601,0.13252636384017152,0.8945679716026742,
ABHD17A,17.781579602010027,-0.6854151732987736,0.9167335449185653,-0.7476710949413987,0.4546585701574479,0.8581743673870146
ABHD17B,1.0363064421360273,-1.8068218480000362,3.5803037508139823,-0.504656021877824,0.6138004547204008,
ABHD17C,1.2093337627774483,-3.813385172866596,3.6208864595453627,-1.0531634215742305,0.2922660997616756,
ABHD18,4.232035413387185,0.2729274401114676,1.7340358475036555,0.15739434712631697,0.8749340682720681,
ABHD2,12.06938287312595,1.9152185552165046,1.1286308524262851,1.696939748810911,0.08970805214711242,0.4215239361507174
ABHD3,5.065142531305303,-0.908305053504399,1.7709179060872124,-0.5129007111974324,0.6080207759254684,
ABHD4,1.8924302882340214,-0.12643281402054599,2.521663520433956,-0.05013865370855982,0.9600118972539248,
ABHD5,0.6860890028157399,-0.960340927199015,4.234593243707707,-0.22678469263276013,0.8205911671198806,
ABHD6,1.0633123025255806,3.763230566877541,4.405365512760345,0.854237986831551,0.39297313945763357,
ABHD8,3.0876432574926644,0.7923176278214186,2.2078277104466184,0.3588675076739306,0.7196942078285959,
ABI1,12.071880831213047,-1.3545244561688032,1.1358229519602663,-1.1925489389266961,0.23304607350007422,0.6610181339043536
ABI2,2.880505891860728,-3.1253444776244326,2.10464910771196,-1.4849717542807443,0.13755130654741482,
ABI3,8.229920030443996,-0.019101732861295892,1.3404307514161575,-0.014250443628747715,0.9886301758667778,
ABI3BP,0.0,,,,,
ABL1,4.244939857117717,0.8413270172676237,1.673016196177015,0.5028803780800974,0.6150483775212997,
ABL2,5.161653111633776,1.2792466376942582,1.7929615138482085,0.7134824857163995,0.4755472471389266,
ABLIM1,10.797457028549594,-2.5616002683262225,1.1562484006461424,-2.2154411343572296,0.02672980057611714,0.21832327047741315
ABLIM2,0.07004348786405747,-0.5926579348885047,4.901965216501017,-0.12090210940165325,0.9037685713682932,
ABLIM3,0.0,,,,,
ABO,1.4008697572811495,-4.093642550219642,3.7431875278795066,-1.0936247569030202,0.27411958671684233,
ABR,7.783127225426524,1.4124014067284894,1.2510259339034613,1.1289945063900497,0.2589001511493654,
ABRACL,14.159386151845741,0.7297380583056657,0.9694742610971747,0.7527152474164767,0.45162104547830784,0.8567775718583018
ABT1,6.2384021447038505,-0.8730719827151614,1.3440637666226471,-0.6495763105860742,0.5159659392320335,
ABTB1,6.7645534393393065,-0.8753270712251836,1.388698019852871,-0.6303221137435786,0.5284838575615292,
ABTB2,0.0,,,,,
AC002331.1,0.30702129536539063,1.7204517477913677,5.0298378961029115,0.34204914419296967,0.7323139085713044,
AC004069.2,0.0,,,,,
AC004381.6,0.590295770466599,2.8254903745690685,4.931012444962291,0.5730041053649532,0.5666419142931358,
AC004540.5,0.13291403781569758,1.5400521057768533,5.0538441192879615,0.3047288498470412,0.7605726749968414,
AC004791.2,0.0,,,,,
AC004951.6,1.2444339815072984,-0.7765357734333683,3.3235545291219677,-0.23364616606381278,0.8152596841925154,
AC005224.2,0.0,,,,,
AC005301.9,0.27300101354381245,-0.28051775698457576,4.623175750949433,-0.06067642073242998,0.9516169106024412,
AC005480.1,11.125963053822765,-7.0485610918300665,3.676337759252395,-1.9172778872372798,0.055202637641306264,0.3309438916722646
AC006116.20,0.0,,,,,
AC006129.2,0.4903044150484023,-2.6012005250564822,4.685864136955388,-0.5551165055217748,0.578814973761683,
AC007161.5,1.548599685535364,-4.1588550668267645,3.703145091145549,-1.1230602540448242,0.2614119050047048,
AC007228.9,1.0492774516921957,1.5910208656316058,3.3973131341019562,0.46831740343893125,0.6395576246656993,
AC007383.3,0.26582807563139516,2.068752255118067,4.990703680923287,0.41452115520818594,0.6784924771865515,
AC007405.6,0.0,,,,,
AC007880.1,0.0,,,,,
AC007950.2,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
AC008268.1,0.0,,,,,
AC008746.12,0.2101304635921724,-1.5618775887561576,4.765491887626533,-0.32774740269971486,0.7431026590245083,
AC009299.3,0.35021743932028737,-2.1364006411688354,4.715157895373006,-0.45309206787439504,0.6504824468590968,
AC009404.2,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
AC009961.3,0.0,,,,,
AC013461.1,3.741194891041304,0.32269520609735086,1.9571041460542367,0.16488402354465612,0.8690352676432722,
AC016549.1,0.0,,,,,
AC016831.7,0.30702129536539063,1.7204517477913677,5.0298378961029115,0.34204914419296967,0.7323139085713044,
AC017002.1,0.4471082710935056,-0.100113577555563,4.596920687082872,-0.02177840001392179,0.982624724392552,
AC022007.5,0.0,,,,,
AC022182.3,0.0,,,,,
AC025335.1,0.6232184528640998,-1.700178386518495,4.454962095707465,-0.3816370038606356,0.7027306329013019,
AC061992.2,0.2101304635921724,-1.5618775887561576,4.765491887626533,-0.32774740269971486,0.7431026590245083,
AC068282.3,0.0,,,,,
AC073115.7,0.0,,,,,
AC074183.4,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
AC079767.4,1.2280851814615625,3.8866127967312614,4.250549122435937,0.914378986050605,0.36051773980316437,
AC079922.3,0.0,,,,,
AC083843.1,0.0,,,,,
AC090498.1,51.62614106312187,-1.916553998846134,0.8001836754002013,-2.3951425875910233,0.016613902995283102,0.1699085709685675
AC092580.4,2.1941230534275036,-1.713073476535965,2.4576970742240944,-0.6970238498887378,0.4857878682460691,
AC093323.3,2.865255784981979,-1.8430966307657617,2.178310857642646,-0.8461127686616543,0.3974898382796519,
AC093609.1,0.7303827461947139,0.9958674173605346,4.228914559762782,0.23549007748607648,0.8138283793579617,
AC093627.10,0.7303827461947139,0.9958674173605346,4.228914559762782,0.23549007748607648,0.8138283793579617,
AC093642.3,0.590295770466599,2.8254903745690685,4.931012444962291,0.5730041053649532,0.5666419142931358,
AC093901.1,0.6194398742141456,-2.8212825433433117,4.674770977249282,-0.6035124623374394,0.5461678275123504,
AC097713.4,0.0,,,,,
AC104024.1,0.0,,,,,
AC104653.1,0.35021743932028737,-2.1364006411688354,4.715157895373006,-0.45309206787439504,0.6504824468590968,
AC104820.2,1.5432024020519997,-1.1868197277413974,3.145100290633304,-0.3773551295887029,0.7059097076306848,
AC109826.1,0.5603479029124597,-2.786981623434991,4.676397206975357,-0.5959676862516946,0.5511968139728592,
AC113404.1,2.229693286771036,0.4634889207589083,2.0883474695310236,0.22194051876960552,0.8243601875955667,
AC116035.1,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
AC133644.2,0.7129363467249006,1.0031139493555448,3.878690986366022,0.25862177546022314,0.7959270803283195,
AC137934.1,0.13291403781569758,1.5400521057768533,5.0538441192879615,0.3047288498470412,0.7605726749968414,
AC142472.6,0.2101304635921724,-1.5618775887561576,4.765491887626533,-0.32774740269971486,0.7431026590245083,
AC144652.1,0.590295770466599,2.8254903745690685,4.931012444962291,0.5730041053649532,0.5666419142931358,
AC144831.1,0.0,,,,,
AC144831.3,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
AC145110.1,0.6140425907307813,2.876022120430098,4.927993062008789,0.5836092064743595,0.5594832647178669,
AC241585.1,0.0,,,,,
AC245100.1,0.5603479029124597,-2.786981623434991,4.676397206975357,-0.5959676862516946,0.5511968139728592,
ACAA1,8.901015249481041,0.574057841434727,1.0975095669304458,0.523054977133614,0.6009359954605136,
ACAA2,11.275746451335014,1.1113546485500259,1.0434392651629658,1.0650880081424319,0.2868361054000903,0.732590850518174
ACACA,0.8818735905830776,0.010019907935875596,3.7865592958987935,0.002646177480101293,0.9978886583075088,
ACACB,1.3757480707483007,0.11612528853705469,3.203284747443059,0.036251940646159775,0.9710814705353085,
ACAD10,1.5013134647972233,-1.2623874335878364,2.7685478757361404,-0.45597457232057986,0.6484082632833739,
ACAD11,0.14008697572811493,-1.1824803729776643,4.809874321617995,-0.24584433893896201,0.8058027326214949,
ACAD8,1.1548746041268902,-0.14410529742212666,3.3799256215563953,-0.04263564159609191,0.965991983426273,
ACAD9,5.452832187800863,0.676864523847795,1.5447811245335383,0.4381620885302965,0.6612687886597105,
ACADM,3.3747650645552825,-1.2955980890007215,1.8122851294643285,-0.7148974893281124,0.4746723885156853,
ACADS,0.6717431269909052,0.9686736627301031,4.329165561824703,0.2237552823740509,0.8229477272110275,
ACADSB,3.4288223413025443,-5.3319799475445455,2.6497247388781044,-2.012276924206893,0.044190753535585,
ACADVL,20.643052415881066,1.2615904115730316,1.1348136947251288,1.1117158855565366,0.26626032745109307,0.7121732274900665
ACAP1,20.45701583782843,-2.9106308359177353,0.9374377706772516,-3.1048789871299416,0.0019035688760480984,0.0492902834500114
ACAP2,3.956614118689189,-2.7363802900191674,2.145410129499627,-1.2754578960887875,0.2021472176633241,
ACAP3,5.400017913092085,-0.9135340721008677,1.4718331549175532,-0.6206777371800954,0.5348116802864241,
ACAT1,7.594271116405791,2.1479623126810883,1.2496196876304995,1.7188928231068494,0.08563388921957603,
ACAT2,3.0021745774965694,-1.3178968021580044,1.9151860123177447,-0.6881299224627768,0.4913709688893444,
ACBD3,9.355556535957586,-0.5308754734245561,1.2693701288986456,-0.41821960462009933,0.6757865633610196,
ACBD4,0.8996138256703755,-3.394776799288998,4.008918293870383,-0.8468061832239373,0.3971031612276209,
ACBD5,2.0152293809727158,1.2551848276484667,2.7651088812770737,0.45393685440291087,0.6498742765800543,
