,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,103.53202603730863,3.800242753805619,0.5598362474762656,6.7881327279844115,1.1359412488712993e-11,2.7648809997527425e-08
GPNMB,51.68748308859615,5.2939240260137925,0.9410765299014484,5.625391620985579,1.850875837715567e-08,2.252515894499845e-05
RHOB,39.69224498319589,3.1741674682935934,0.6576657291624192,4.826414586534873,1.3901297231650327e-06,0.00112785858206123
LHFPL2,20.87898363340769,5.980365495392806,1.3192700927333232,4.533086536512334,5.812798679873888e-06,0.0035370879967032607
IFI6,43.224961605686815,3.3054565271793392,0.7636211268602046,4.328660393106785,1.5001905727616167e-05,0.005966247921446361
GLUL,56.313558388612,2.3449767230691143,0.5454726227954844,4.298981516343348,1.715847799922947e-05,0.005966247921446361
RGS2,44.250090627334416,3.2588699905147,0.7483751586512941,4.354594019913443,1.3331375426822859e-05,0.005966247921446361
LILRB4,21.123778055078485,5.3686216818071335,1.2634446708691076,4.249194132192687,2.1454093223707608e-05,0.00652740786331304
NOSIP,18.60832614376117,-4.163213563395357,0.995428785324999,-4.182331900353979,2.8853434005182094e-05,0.007803250929845913
CREG1,28.528840083870072,3.338912161717262,0.8206106242516075,4.068814201330055,4.7253008327800726e-05,0.008470321439485111
FABP5,24.62578370086442,3.9358913706407903,0.9690294535958812,4.061683941634031,4.872000827970072e-05,0.008470321439485111
ANXA2,69.43072790069976,2.1111518053063505,0.5147392186919626,4.101400726121347,4.106566831516016e-05,0.008470321439485111
HMOX1,38.67694396751669,3.1027809113501443,0.7560307403512253,4.104040676849596,4.0599603142849584e-05,0.008470321439485111
ACP5,46.340527681238584,3.3514354073904906,0.8222683060324647,4.075841647796856,4.5848212411986274e-05,0.008470321439485111
CD9,38.636011602043226,3.181785455282576,0.8010223489514902,3.972155657638542,7.12251515180127e-05,0.011557467919656197
TIPIN,13.98064742622789,-6.420460405258817,1.6398274076240997,-3.9153269273388007,9.028178888038005e-05,0.013734117133427814
RPL18,181.76376166182075,-1.421383171992425,0.3647924577141582,-3.8964160084312476,9.762664229498863e-05,0.013977838079176607
MMP9,24.271815732535366,4.658056707492431,1.2153910224493076,3.8325580997836544,0.0001268176356461244,0.017148562509037044
RPS21,170.82073501208134,-1.5030085876236763,0.39464655960791717,-3.808492817261402,0.00013981640697186912,0.017911217608922603
LGALS3,46.74301807428007,2.3921678062784357,0.6445780742351875,3.7112149821677054,0.0002062668283311902,0.020082138406324678
HSPA1A,52.955695294988416,2.720395924966001,0.7305855975594693,3.7235827452026418,0.00019641544582235564,0.020082138406324678
