,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,2.2864111752774257,-0.5324211776465867,1.6826437116101867,-0.31641943803842604,0.7516841648974206,0.9990212710623466
A2M,2.9547661998180375,-0.8229274179052737,1.5967499880852032,-0.515376498541337,0.6062899517948785,0.9990212710623466
A4GALT,0.0,,,,,
AAAS,1.9821021622554176,-1.7694772607577407,2.028658749469385,-0.8722399768914137,0.38307747480598864,0.9990212710623466
AACS,1.3878982336252605,-0.8633510168997326,2.1873108201755422,-0.39470888587770275,0.6930577441779135,0.9990212710623466
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,3.1735316871019967,-2.383713701917806,1.4892779663649283,-1.6005834745115053,0.10946920484746418,0.9990212710623466
AAGAB,1.7992533940504358,-1.3449649131704617,1.9235803533584421,-0.6991987159892974,0.4844278529261614,0.9990212710623466
AAK1,21.002972926944036,-1.0954974195994482,0.5774797049651251,-1.8970318959791097,0.05782372855092866,0.9990212710623466
AAMDC,1.034030227732532,1.3749150233666652,2.7368670036455627,0.50236822671151,0.6154085248764725,0.9990212710623466
AAMP,4.080810154736196,-0.05386363934096948,1.2438952104703607,-0.043302393069430456,0.9654604836199249,0.9990212710623466
AAR2,1.0998101107417504,0.7457653813005132,2.6737635387991627,0.27891972138847043,0.7803064334325227,0.9990212710623466
AARD,0.0,,,,,
AARS,2.2877386140536715,2.4970065106850754,1.9008811033716713,1.3136047837268896,0.18897923805594208,0.9990212710623466
AARS2,0.16997074188795883,-1.2974508027187635,4.4499328861425775,-0.2915663754748127,0.7706181873348217,0.9990212710623466
AARSD1,0.08498537094397941,-0.5016255145207197,4.5553317949531715,-0.11011832663352163,0.9123155339944353,0.9990212710623466
AASDH,0.7021285262080473,-2.153019146395054,3.1009543116856575,-0.6943085676179109,0.4874887191659889,0.9990212710623466
AASDHPPT,2.2585941780993894,-0.9450086570658094,1.794707272571569,-0.5265530883550396,0.5985039763711111,0.9990212710623466
AASS,0.0,,,,,
AATF,5.516794292986277,-0.06645862138041903,1.1335389007613001,-0.05862932567712014,0.9532473523399794,0.9990212710623466
AATK,1.6039120656074024,4.376261686980028,3.314374625509599,1.3203883632518334,0.18670538679531135,0.9990212710623466
ABAT,2.060195712875796,-2.307887104333225,1.827197358380993,-1.2630748910332008,0.2065622666737147,0.9990212710623466
ABC13-47656900H15.1,0.24791899557002162,-0.11836596313566942,4.380890183746822,-0.027018701261859786,0.9784448180259678,0.9990212710623466
ABCA1,1.4953821094507909,1.9021548485808475,2.21056174628648,0.8604848300556522,0.38952184220284136,0.9990212710623466
ABCA10,0.11409063295106342,1.5686310005905695,4.806574178298492,0.32635114790756403,0.7441586941675531,0.9990212710623466
ABCA2,1.456156244118774,-0.08534289025817175,2.321691006896235,-0.03675893562264466,0.970677216529202,0.9990212710623466
ABCA3,0.33994148377591765,-2.2810430725636817,4.377342097543582,-0.5211023086004009,0.6022955028122481,0.9990212710623466
ABCA5,1.2279749782166471,-0.5011361057369511,2.734444846862304,-0.18326795155952413,0.8545877794375761,0.9990212710623466
ABCA6,0.42725726979716966,1.0499974273094463,4.238115984144297,0.24775098917483912,0.8043270777664959,0.9990212710623466
ABCA7,3.362740970650305,-0.4640640755347904,1.5438106809572858,-0.3005964923412977,0.7637222065343627,0.9990212710623466
ABCA8,0.0,,,,,
ABCA9,0.16997074188795883,-1.2974508027187635,4.4499328861425775,-0.2915663754748127,0.7706181873348217,0.9990212710623466
ABCB1,0.538547064414578,2.868665579340019,4.628299366370767,0.6198098593586554,0.5353829768150512,0.9990212710623466
ABCB10,1.4495494869932408,4.231059131808338,3.3407780619770464,1.2664891391511444,0.20533801538517427,0.9990212710623466
ABCB4,0.0,,,,,
ABCB5,0.0,,,,,
ABCB7,1.3816863674418156,-2.57403297299659,2.1950207386346716,-1.172669090405801,0.24092853123831637,0.9990212710623466
ABCB8,2.2338246611486103,-4.128115782961337,2.0779896085696232,-1.986591158077499,0.04696772185304615,0.9990212710623466
ABCB9,1.0835642465865498,3.650044517654489,3.832246355819506,0.9524556040379993,0.3408659712229596,0.9990212710623466
ABCC1,2.172320542326362,-0.6776199625570731,1.8477040658463575,-0.3667361971445808,0.7138158035644044,0.9990212710623466
ABCC10,2.1102743980162937,-0.054741783897243254,1.78164274475191,-0.030725454953577647,0.9754884906259348,0.9990212710623466
ABCC11,0.0,,,,,
ABCC3,1.7656188437697524,-0.305066005421715,1.9589742091292752,-0.15572742305643256,0.8762478804002609,0.9990212710623466
ABCC4,0.0,,,,,
ABCC5,1.890878575845537,0.2782329224393951,1.7916670301034596,0.1552927624187674,0.8765905211524301,0.9990212710623466
ABCC6,0.0,,,,,
ABCC8,0.0,,,,,
ABCC9,0.0,,,,,
ABCD1,1.5604860543842667,1.3030241430389902,2.375286964223629,0.5485754616873791,0.5832968294336802,0.9990212710623466
ABCD2,0.653108120622024,-1.4152762224811766,3.4868317146966676,-0.40589174880907514,0.6848221409661654,0.9990212710623466
ABCD3,3.0064137345795743,-1.895921663423776,1.4685134620505622,-1.2910482010674942,0.1966869639900889,0.9990212710623466
ABCD4,2.3648980162441857,-2.144087867076277,1.7633116429892122,-1.2159438041488586,0.22400632986172253,0.9990212710623466
ABCE1,4.877034621937659,-0.41318901970348604,1.1872511333974873,-0.3480215837074732,0.7278239740892067,0.9990212710623466
ABCF1,4.356371063060358,-0.2364052966387583,1.2560539464463065,-0.18821269365667656,0.8507099222126726,0.9990212710623466
ABCF2,2.240187591960644,0.21424386035167522,1.7960704134547933,0.11928477789440947,0.9050497428707752,0.9990212710623466
ABCF3,1.4042570524160947,-2.370763971002685,2.3217063136047056,-1.021130001288497,0.30719285076851577,0.9990212710623466
ABCG1,3.3333973771099807,1.6892152316129425,1.6524862215567515,1.0222265151606469,0.30667370399854577,0.9990212710623466
ABCG2,0.3590313762763853,2.394120167073025,4.726392610287125,0.5065428043074873,0.6124756486141493,0.9990212710623466
ABHD1,0.13382836261895817,-0.8338271982438659,4.5045870405047586,-0.18510624630985748,0.8531457024261709,0.9990212710623466
ABHD10,1.1487983993550446,-1.0235515898734397,2.354963878446509,-0.4346357917594229,0.6638268110529271,0.9990212710623466
ABHD11,0.9734892886410914,-1.9321324962533144,2.7524549982646587,-0.7019669703851532,0.4826997620415886,0.9990212710623466
ABHD12,3.989590273079218,0.35801457479020865,1.2208424618594056,0.293252066482791,0.7693294891673437,0.9990212710623466
ABHD13,3.1265648165541573,0.014836235122581807,1.459654670441989,0.010164208989301106,0.991890274212412,0.9992796346028454
ABHD14A,2.120321884495639,-0.03702454736545477,2.090667631971251,-0.01770943731048489,0.9858706519441605,0.9990962362223098
ABHD14B,6.8769551190320355,-1.5763543375784954,1.0788905350661997,-1.4610882998262393,0.14399121069658613,0.9990212710623466
ABHD15,2.323885009387086,1.0130833598425177,1.8445585146443861,0.5492280953948652,0.5828489258081877,0.9990212710623466
ABHD16A,2.023082785590008,0.12245332416594196,2.0894319149286757,0.05860603702424158,0.953265902100371,0.9990212710623466
ABHD17A,17.43979506896402,-0.6773133043131441,0.6326085368530705,-1.0706673477447184,0.2843190294754607,0.9990212710623466
ABHD17B,1.1654559951814896,2.4746775192168355,2.5916460307091658,0.9548670960052661,0.33964491130147767,0.9990212710623466
ABHD17C,0.36574336722023504,2.412308757250098,4.725062335411086,0.5105348006039002,0.609676840287489,0.9990212710623466
ABHD18,2.080011390326692,-0.6865197881231689,1.7069940174939648,-0.40218054725876984,0.6875511573761535,0.9990212710623466
ABHD2,7.880958390992489,1.594558419476938,0.9618950142323865,1.657726046900691,0.09737277399033199,0.9990212710623466
ABHD3,4.2555269980859505,-0.22333904457496426,1.2774723744976726,-0.17482886443065793,0.8612141070858409,0.9990212710623466
ABHD4,3.45907928616317,-0.4956053645663977,1.3257343742864192,-0.37383458872231395,0.7085273841187942,0.9990212710623466
ABHD5,4.873207347900424,0.061144837246567704,1.2239776434680893,0.04995584484150901,0.9601575750704388,0.9990212710623466
ABHD6,0.17951568813819266,1.5836069645378565,4.80471082325043,0.32959464633639124,0.7417062683733293,0.9990212710623466
ABHD8,0.2840613748390222,-0.581979740310016,4.324674449197112,-0.1345719191459746,0.8929503448860882,0.9990212710623466
ABI1,5.89664011751852,0.5123827383585378,1.2007561866299794,0.4267167174017082,0.6695856727081255,0.9990212710623466
ABI2,2.23965270942885,1.5412183489315436,1.7537214330045117,0.8788273439135066,0.37949489786533364,0.9990212710623466
ABI3,13.132156275552115,-0.16683286128130492,0.731141375754191,-0.22818139803565698,0.8195052222216207,0.9990212710623466
ABI3BP,0.08498537094397941,-0.5016255145207197,4.5553317949531715,-0.11011832663352163,0.9123155339944353,0.9990212710623466
ABL1,2.779169032576019,1.0501013205769079,1.5615879999546511,0.6724573450919211,0.5012925863268245,0.9990212710623466
ABL2,5.583959807905093,1.0821930432027742,1.1333725781307753,0.9548431505088915,0.3396570223090709,0.9990212710623466
ABLIM1,3.1520119133962123,-2.276278175837469,1.5858963553434293,-1.4353259392821645,0.15119423941708018,0.9990212710623466
ABLIM2,0.0,,,,,
ABLIM3,0.0,,,,,
ABO,0.16997074188795883,-1.2974508027187635,4.4499328861425775,-0.2915663754748127,0.7706181873348217,0.9990212710623466
ABR,8.323662848478795,0.36566678494944344,0.8764671019406642,0.41720537386946743,0.6765281948491887,0.9990212710623466
ABRACL,8.912544537589207,0.15874507204531174,0.954140363102945,0.16637496765052404,0.8678618723107452,0.9990212710623466
ABT1,7.154272744846048,0.4341548607745064,0.9267381471793252,0.4684763027139065,0.6394440135499614,0.9990212710623466
ABTB1,6.5682728764021165,-1.7692305268867754,1.0457580011156562,-1.691816390598293,0.09068098743869808,0.9990212710623466
ABTB2,0.0,,,,,
AC002331.1,0.26765672523791634,-1.892094577573026,4.400491778088055,-0.4299734377404317,0.6672149634113832,0.9990212710623466
AC004069.2,1.0159824854802892,3.578641327325487,3.44653014764646,1.038331647778924,0.2991156795769234,0.9990212710623466
AC004381.6,0.0,,,,,
AC004540.5,0.0,,,,,
AC004791.2,0.0,,,,,
AC004951.6,0.6437405882828348,-3.1926141092265303,3.6170253749790793,-0.8826629006563151,0.3774184324616411,0.9990212710623466
AC005224.2,0.26765672523791634,-1.892094577573026,4.400491778088055,-0.4299734377404317,0.6672149634113832,0.9990212710623466
AC005301.9,0.33994148377591765,-2.2810430725636817,4.377342097543582,-0.5211023086004009,0.6022955028122481,0.9990212710623466
AC005480.1,7.011294636979926,-2.2014581540883786,3.982829849037815,-0.5527371837439187,0.5804433876868196,0.9990212710623466
AC006116.20,0.0,,,,,
AC006129.2,0.891511871445834,-2.574246173140431,2.8543539389214287,-0.90186649176141,0.36712779323600875,0.9990212710623466
AC007161.5,0.13382836261895817,-0.8338271982438659,4.5045870405047586,-0.18510624630985748,0.8531457024261709,0.9990212710623466
AC007228.9,0.653108120622024,-1.4152762224811766,3.4868317146966676,-0.40589174880907514,0.6848221409661654,0.9990212710623466
AC007383.3,0.37245535816408476,2.430302885811203,4.723761672093238,0.5144846532306665,0.6069131873671928,0.9990212710623466
AC007405.6,0.0,,,,,
AC007880.1,0.0,,,,,
AC007950.2,0.18622767908204238,1.5836069645378565,4.80471082325043,0.32959464633639124,0.7417062683733293,0.9990212710623466
AC008268.1,0.0,,,,,
AC008746.12,0.0,,,,,
AC009299.3,0.0,,,,,
AC009404.2,1.0094117754103415,2.2162290263626496,2.9456910259074522,0.7523630302264699,0.4518327727664243,0.9990212710623466
AC009961.3,0.13382836261895817,-0.8338271982438659,4.5045870405047586,-0.18510624630985748,0.8531457024261709,0.9990212710623466
AC013461.1,3.0815286804239155,0.9592660659178707,1.549411082981507,0.6191165639992521,0.5358395721020695,0.9990212710623466
AC016549.1,0.0,,,,,
AC016831.7,0.0,,,,,
AC017002.1,0.0,,,,,
AC022007.5,0.0,,,,,
AC022182.3,0.0,,,,,
AC025335.1,1.4735644954622555,1.8800186673358963,2.7070650697662217,0.6944859539332211,0.487377506442472,0.9990212710623466
AC061992.2,0.0,,,,,
AC068282.3,0.11409063295106342,1.5686310005905695,4.806574178298492,0.32635114790756403,0.7441586941675531,0.9990212710623466
AC073115.7,0.0,,,,,
AC074183.4,0.0,,,,,
AC079767.4,0.25495611283193825,-1.871738471329105,4.401878747293215,-0.4252135460296507,0.6706810102222387,0.9990212710623466
AC079922.3,0.9666295852902193,-1.5814782908620997,2.6930979405675286,-0.587233856979159,0.5570466565579416,0.9990212710623466
AC083843.1,0.0,,,,,
AC090498.1,17.52861029022225,-1.7557167978514117,0.773536559018833,-2.269726979780235,0.02322415338440625,0.9990212710623466
AC092580.4,1.7942377360738018,-3.796972324763161,2.5067405964278473,-1.514704924065106,0.12984714687930046,0.9990212710623466
AC093323.3,2.7732043449276396,-2.02243616702949,1.5856235859628725,-1.2754831505620943,0.20213828424225355,0.9990212710623466
AC093609.1,0.0,,,,,
AC093627.10,1.1100028941594113,-0.9834397484939165,2.569312863423232,-0.3827637196287677,0.701894964133366,0.9990212710623466
AC093642.3,0.0,,,,,
AC093901.1,0.0,,,,,
AC097713.4,0.0,,,,,
AC104024.1,0.0,,,,,
AC104653.1,0.40148508785687453,-2.4850644558739234,4.367427679502787,-0.5689995663893483,0.5693564342069584,0.9990212710623466
AC104820.2,0.8720992680960061,-2.565838686806439,2.8595639349941493,-0.8972832030110525,0.36956781713899034,0.9990212710623466
AC109826.1,0.0,,,,,
AC113404.1,0.607598209013834,-3.101759706541962,3.665063346350342,-0.8463045283052705,0.39738288235396113,0.9990212710623466
AC116035.1,0.0,,,,,
AC133644.2,0.0,,,,,
AC137934.1,0.0,,,,,
AC142472.6,0.0,,,,,
AC144652.1,1.2767457897988979,4.047406541856653,3.4119804682086223,1.186233795758405,0.23552998329934927,0.9990212710623466
AC144831.1,0.18622767908204238,1.5836069645378565,4.80471082325043,0.32959464633639124,0.7417062683733293,0.9990212710623466
AC144831.3,0.11409063295106342,1.5686310005905695,4.806574178298492,0.32635114790756403,0.7441586941675531,0.9990212710623466
AC145110.1,0.0,,,,,
AC241585.1,0.0,,,,,
AC245100.1,0.606950371846407,1.089609531819576,3.3978905695796,0.3206723434752599,0.7484587080139794,0.9990212710623466
ACAA1,10.914563405617775,0.5836759748522219,0.8496495768342953,0.6869608256935017,0.4921074149782626,0.9990212710623466
ACAA2,3.9193880396605176,0.39885439383895716,1.3665914742389205,0.291860736260693,0.7703931049651678,0.9990212710623466
ACACA,0.11409063295106342,1.5686310005905695,4.806574178298492,0.32635114790756403,0.7441586941675531,0.9990212710623466
ACACB,0.5776676959282784,0.4179885414540925,3.3553731985851223,0.12457289151333387,0.9008616906266977,0.9990212710623466
ACAD10,1.5238337666001749,-1.2900712163400019,2.1339952610079824,-0.6045333089121496,0.5454891308175216,0.9990212710623466
ACAD11,0.0,,,,,
