,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RHOB,31.07714897275824,2.9094820722107144,0.5666363320325668,5.134654994278579,2.8266206468897775e-07,0.001683111264190518
SGK1,21.52407428919443,4.315430559538863,0.8286846336068618,5.2075667685014135,1.9133300051022743e-07,0.001683111264190518
ATF3,21.733935926842324,3.9592893134834353,0.7829425924145216,5.056934380429295,4.260497545100234e-07,0.0016912755088199561
ZNF331,19.213743634921126,4.2739575856459835,0.8875760648862668,4.815314151349546,1.4696849192299336e-06,0.0043756194257773195
FOSB,40.858282492327035,2.0558677036889925,0.45241467635863825,4.544210900132834,5.514142864113219e-06,0.013133585473744868
AREG,29.320506767730933,3.409344912567424,0.7571200837417402,4.503043817987503,6.698706558383707e-06,0.013295816067298594
FOS,75.75933917636524,1.527569509615869,0.3468067366705463,4.404670809687887,1.0594463547014554e-05,0.018024209483056615
C5AR1,33.67128222801607,2.2247508781362653,0.5125058421124989,4.340927839897511,1.4188231649043437e-05,0.01877418341205092
ZFP36,84.23771839869025,1.3947276304416656,0.32065175462612355,4.349664738519529,1.3634582359251592e-05,0.01877418341205092
KLF4,33.68380109631674,2.1249624428857437,0.49799941793352565,4.26699784450228,1.9812107299210098e-05,0.023594238582629306
