,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,24.048866745160115,-1.3504293125965612,0.714242158547991,-1.8907163297975833,0.058662221402531606,0.3848793170832367
A2M,47.76861524044618,3.0834258182684438,0.7442517052805862,4.142987911738783,3.4281002131471004e-05,0.0017172075672961858
A4GALT,0.4134836620549639,1.0491867187895718,4.718782326116863,0.22234268213277783,0.8240471279986986,
AAAS,10.399703883016883,-0.1441922426693197,1.0496446717273389,-0.13737243331310486,0.8907364194802243,0.984768720599841
AACS,4.359263966193836,0.34393446642414527,1.8337594068294916,0.18755702909728839,0.8512239141531236,
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,17.806027419968913,1.4988234345196139,0.9429310879791839,1.5895365564113226,0.11193930761706376,0.5470403218612886
AAGAB,14.057785706132938,0.13776214461604225,0.8845083178086901,0.1557499707377978,0.8762301068108376,0.9837760500016075
AAK1,187.58725781677555,-1.3407580301874378,0.3320229088172177,-4.0381491595374825,5.3874593877966714e-05,0.002350374560877682
AAMDC,8.500610034852183,2.1116644888065426,1.2043326213967651,1.7533897623378074,0.07953512710044114,0.4535943793550327
AAMP,23.02567414641411,0.03201727728107441,0.8565676232395416,0.0373785751555551,0.970183155280121,0.9951636078265423
AAR2,12.244531821760884,1.0063146346987808,0.9920742577795081,1.0143541441657262,0.31041379682861314,0.8253487207379387
AARD,2.894385634384748,2.0902982011431894,2.4798316065086183,0.8429194126153359,0.3992735157501601,
AARS,16.963819823127164,0.7543964598078606,0.8301778368200251,0.908716694603119,0.36349968950380984,0.8687752503916647
AARS2,5.9994244810588215,-0.6982806553735992,1.4511676351484648,-0.48118538372871034,0.6303847480297504,
AARSD1,5.050309450947364,0.5883567527060661,1.6139117691116405,0.364553232689988,0.7154449304872841,
AASDH,6.00613068998698,-1.5931370035379313,1.3535085272432785,-1.1770424577839265,0.23917856029337992,
AASDHPPT,17.943707133617266,0.6591516801385353,0.9159209396784771,0.7196600182215754,0.4717343488149389,0.9110991594121522
AASS,0.7696494154203729,-2.883171455351881,4.222982756926339,-0.682733418843124,0.49477530852936513,
AATF,29.691392828125878,0.1933068410536846,0.6468156609721436,0.29885924648631806,0.7650474433235506,0.9749232866345406
AATK,0.5375790430838735,1.1397299610135911,4.54535306935256,0.2507461892670825,0.8020103473110356,
ABAT,8.411407001256142,0.7862938200778826,1.1209548314701852,0.7014500477656367,0.4830221979610154,0.9155843781610946
ABC13-47656900H15.1,2.088102727975828,5.093617862407193,3.346397233208767,1.5221199120832003,0.1279790375560506,
ABCA1,12.576229260587663,3.5393504120512915,1.2349533100542616,2.8659791291184757,0.004157216523532522,0.060826148935947344
ABCA10,0.09685417888615316,-0.4796605407793751,4.8175945416003465,-0.09956432336458886,0.9206902188704343,
ABCA2,14.579825225193934,-1.0336565427470434,1.0238611226419683,-1.0095671374646973,0.3127027207671621,0.8258595763757298
ABCA3,1.5141074921453388,-1.4613420521036966,3.0575115061696985,-0.47795144814823437,0.6326847620542554,
ABCA5,6.735143116500121,-0.2632678786331059,1.29549084925474,-0.20321863236977447,0.8389641501552886,
ABCA6,0.14528126832922975,-0.8477607416136288,4.771978566176266,-0.1776539290479107,0.8589947688757464,
ABCA7,16.86699459716117,-0.329008498345683,0.8279365231452825,-0.3973837234475403,0.6910845163065569,0.9709317834988828
ABCA8,0.581125073316919,-2.5446117709436002,4.65480792624476,-0.546663108610037,0.5846102036474619,
ABCA9,0.09685417888615316,-0.4796605407793751,4.8175945416003465,-0.09956432336458886,0.9206902188704343,
ABCB1,4.2763762719518805,-2.7893720254572516,1.72586123152251,-1.6162203394513592,0.10604668276143689,
ABCB10,8.908557636125396,1.665117880875706,1.2819017926619165,1.2989434061232,0.1939633519363254,0.6959646379091337
ABCB4,0.0,,,,,
ABCB5,0.0,,,,,
ABCB7,12.969319540638518,0.8148862073164393,0.9356315809614948,0.8709477361581015,0.3837826904953282,0.8812008025974037
ABCB8,8.001208969652092,0.044054821047337524,1.134863823884066,0.03881947782647623,0.9690343154783897,0.9951463406363431
ABCB9,0.9734228480715628,-0.8152016156236872,3.637546291793723,-0.2241075577409904,0.8226736118168928,
ABCC1,13.034534343825118,0.571655125924051,1.0662825645119796,0.536119735002596,0.5918758016459145,0.9533620380224228
ABCC10,12.7074532293668,1.2330213189202122,1.0156226261098078,1.2140545978609376,0.22472687585982598,0.7404026104702358
ABCC11,0.0,,,,,
ABCC3,10.117556892072233,1.1478267713191261,3.2182523869467876,0.3566615147943973,0.7213452198411634,0.9714863443397167
ABCC4,2.865483183470354,-0.23969748023090673,1.9567718607697402,-0.12249638551967748,0.9025059083738772,
ABCC5,11.538734206884374,1.677287138393126,1.141725390111153,1.4690810530453677,0.1418108061573457,0.6134928852738808
ABCC6,0.04842708944307658,0.08739939421468759,4.909397060510382,0.01780247006657912,0.9857964342448243,
ABCC8,0.0,,,,,
ABCC9,0.0,,,,,
ABCD1,6.8036080336777545,0.6453073774637943,1.3868637026721182,0.465299781240549,0.6417167914287136,
ABCD2,6.97227467777426,-1.9666512449684879,1.2995437423793024,-1.513339782905495,0.1301933722835015,
ABCD3,15.291831486352091,-0.2394808796424794,0.873966110907386,-0.27401620801273513,0.7840721660098169,0.9761947770705313
ABCD4,15.252160167862565,0.21508809637973333,0.8442410822434441,0.25477094268875067,0.7989000192188978,0.9761947770705313
ABCE1,22.071248769890193,0.5052572794207187,0.7647621635459803,0.6606724332150369,0.5088224061580342,0.9214233376770665
