,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,349.6986903294049,4.418528071958703,0.4424317410583777,9.986914730368971,1.739105044737405e-23,1.32415458106306e-19
HLA-DRA,427.72517825537597,2.6142483924713433,0.28810492207209204,9.073945608666778,1.1478342357209074e-19,4.3698049353894945e-16
SGK1,128.50603069438483,4.326746953418079,0.5019214198369489,8.620367217688456,6.6739734260497065e-18,1.6938544555314155e-14
ATF3,71.0209125047411,4.850255994104939,0.5877384749293596,8.25240511043265,1.5523814810417745e-16,2.9549581491630176e-13
GRN,209.50420210938805,3.4565135230012185,0.43908219754690603,7.8721331502673095,3.4864480625721674e-15,5.309163109684896e-12
RHOB,117.83409013940904,4.083768718858185,0.523140663937978,7.80625365292258,5.8912954524402246e-15,7.476053929146646e-12
CD14,65.3255347098498,5.3421250863313,0.6929014849850396,7.709790211297701,1.2602472904664704e-14,1.370788981373101e-11
HLA-DPA1,253.09941069597153,2.3728050354541717,0.31096771716918,7.63039024453867,2.340441485805074e-14,2.2275151841149792e-11
KLF4,66.7533654391461,3.9947086893484136,0.5380382992608594,7.424580545355642,1.1313787831446461e-13,9.571464505403706e-11
CD163,53.496243271066305,6.542922756736605,0.908241805933717,7.203943612802717,5.849556415677747e-13,4.4538522548970367e-10
TYMP,91.90078235144784,3.45642261988972,0.4960314978116231,6.96815148864268,3.211323390823058e-12,2.2228196634297056e-09
IFI27,54.12016058837038,5.5066365217137845,0.8243660665382694,6.679843755381156,2.3919713272737435e-11,1.5177058071551903e-08
CTSL,45.28898434263215,5.259832456821726,0.7984000164891637,6.587966367975538,4.458916125637082e-11,2.6115528754308266e-08
MS4A6A,55.057655355207416,4.416038064140919,0.6874761340521428,6.423551081128842,1.3313144126816666e-10,7.240448527255865e-08
CD83,57.80717031973061,3.7396011548446983,0.5849718627049509,6.3927880865115805,1.6288793887161759e-10,8.26819177712331e-08
LGALS9,92.52502377842123,2.837383697211593,0.4483131022342949,6.329022469052746,2.467191858612444e-10,1.1050116947926558e-07
ANPEP,42.85027987887484,5.199192359992836,0.8204608652348547,6.33691694545916,2.3440826550503693e-10,1.1050116947926558e-07
