,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,72.77701540157243,-0.9793602015420628,0.5553661501853623,-1.7634495750509565,0.07782469479186913,0.6324943403316069
A2M,78.56721698634956,0.17579790055990882,0.660949840240081,0.26597767312577403,0.7902564041266253,0.9964432467900409
A4GALT,2.7230115636932215,-3.694021674696247,2.537176456759791,-1.4559577300405249,0.14540430510205743,
AAAS,34.00734789191585,0.12149198922198022,0.620172467672109,0.19590032701389476,0.8446881813077298,0.9964432467900409
AACS,19.784902640465653,0.3039768948417778,0.8282654190371725,0.36700420886234697,0.713615878528781,0.9964432467900409
AADAC,0.26985562492107645,-1.521133447511978,4.717994907524692,-0.32241099817338387,0.7471413533760958,
AADAT,0.0,,,,,
AAED1,45.84536895275587,0.27996120665065727,0.585742747420522,0.4779593223877595,0.6326791574716584,0.9964432467900409
AAGAB,54.794630666783824,0.3108929767267781,0.5090696093008682,0.61070818419851,0.5413927869135315,0.9964432467900409
AAK1,421.88200207595776,-1.0657974814373365,0.2640405744232373,-4.036491299738437,5.42565367821748e-05,0.0070637443956237615
AAMDC,29.695641758859743,-0.6669471526357466,0.7199990094529374,-0.9263167641612451,0.3542813863052684,0.9733524689425289
AAMP,65.5366494095808,-0.35276537799120633,0.474819181043088,-0.7429467723191964,0.4575139067186219,0.9933360853709896
AAR2,29.936153235733364,0.4091023835780204,0.6543998710097427,0.6251565773489123,0.5318682979770548,0.9964432467900409
AARD,7.100821087316625,-1.7570332671732207,1.6332341568170468,-1.0757999762859733,0.28201672289485535,
AARS,49.57547583931512,0.5310042351674882,0.5608306350922819,0.9468174560045457,0.3437318051919087,0.9705702456881947
AARS2,6.549731756133893,-1.8278153723378734,1.5377028543390268,-1.1886661764203788,0.23457105551714286,
AARSD1,14.420099563514663,-0.5128372864142227,0.9723232010827161,-0.5274349988184591,0.5978915444430293,0.9964432467900409
AASDH,21.010173917216427,-1.2848084519305025,0.8897855276531004,-1.44395296619323,0.14875220605844386,0.7999746009638843
AASDHPPT,44.184921660048175,0.8553689044729329,0.545192705812464,1.568929472741632,0.11666437351556784,0.741259370006597
AASS,3.626700131443357,-5.167105886318914,2.7316306767158887,-1.8915829033414875,0.05854657557934153,
AATF,85.84339328115384,0.2731566703951362,0.4309860277043243,0.6337947238107077,0.5262147969570965,0.9964432467900409
AATK,2.134436496708414,0.3243966254129691,2.598266252881979,0.12485118684551694,0.900641363144807,
ABAT,14.015018123856205,0.7582531979155762,1.000999383550647,0.7574961687048944,0.4487526603770219,0.9930249501833834
ABC13-47656900H15.1,2.73690150265667,0.14596511549960126,2.4464252953273258,0.05966465265806185,0.9524227246504082,
ABCA1,32.52395966501247,0.3635070184603026,0.7984233852285211,0.45528102656494873,0.6489070744003893,0.9964432467900409
ABCA10,1.8889893744475352,-4.263696072246255,3.606116308419234,-1.1823512353974175,0.23706636382458124,
ABCA2,62.66730604908878,0.13903531725341167,0.5232958504335071,0.26569161046897743,0.7904767251064677,0.9964432467900409
ABCA3,4.630951373123507,-2.1255568535696563,1.9809167145492916,-1.0730167694371107,0.2832635921665756,
ABCA5,23.810471257461952,-1.01508547543884,0.7562460907613042,-1.34226872421511,0.17950888040759272,0.8498426310177477
ABCA6,3.7310818705096254,-0.05474985170839428,1.9090462191493616,-0.028679165103079527,0.977120473371366,
ABCA7,59.386656544777736,-0.11455044452242658,0.5061295066874064,-0.22632635127747006,0.8209476047095605,0.9964432467900409
ABCA8,4.641516748642514,-5.556945199122196,2.8395799989173,-1.9569602551225873,0.05035214136872959,
ABCA9,2.374729499305473,-4.593061062303675,3.3639618965861193,-1.3653724993035425,0.17213600284272268,
ABCB1,41.739898277061634,-0.48832455111468587,0.7529545677744534,-0.648544509874018,0.5166328323115832,0.9964432467900409
ABCB10,36.75764144298529,0.6211878079848636,0.60991959084263,1.0184749224511154,0.3084523125556857,0.9538762891746541
ABCB4,2.0225287828367993,-0.6941904402078847,2.4401689085919083,-0.2844845853758808,0.7760390453426377,
ABCB5,0.839316997836487,1.5990140065596,4.308574981228734,0.3711236345023727,0.7105454482942128,
ABCB7,20.890704836397102,-0.2657627327654366,0.7758260888569343,-0.3425545190894507,0.7319336224618205,0.9964432467900409
ABCB8,25.002913400070412,0.1568694425373131,0.7066533502989496,0.22198924334109435,0.8243222570061973,0.9964432467900409
ABCB9,2.897673033670939,-1.57836104214395,2.2740013979029103,-0.6940897413693405,0.48762593161434975,
ABCC1,73.67683652182572,0.3938277081166417,0.441213190662625,0.8926018452104331,0.37207043067704015,0.9810497307441733
ABCC10,31.930444486104022,0.22902929622044935,0.6448047742005723,0.355191688064654,0.7224459912544887,0.9964432467900409
ABCC11,0.0,,,,,
ABCC3,11.365202528749688,0.7422433760466346,1.046294210827752,0.7094021627620645,0.4780749460186716,0.9964432467900409
ABCC4,14.397497613928746,0.6392218433828033,0.9929555129106774,0.6437567797061069,0.5197331642830847,0.9964432467900409
ABCC5,23.160407441347825,-0.33533770896496357,0.7426679404086912,-0.4515311496823557,0.6516067797834316,0.9964432467900409
ABCC6,0.47536225008816935,2.899454575076249,4.967150655349934,0.5837259177861565,0.5594047270621372,
ABCC8,0.3238267499052917,-1.770795737382891,4.699765954876824,-0.3767838131482659,0.706334270962053,
ABCC9,0.4317689998737223,-2.1680047787623495,4.676087243507681,-0.46363651186628857,0.6429081906056553,
ABCD1,17.300405806294826,0.4194573054412834,0.8548109655267644,0.49070183041322957,0.623637351696569,0.9964432467900409
ABCD2,11.17577186844126,0.5327882326295321,1.0565389293253142,0.5042769535901158,0.6140667702458638,0.9964432467900409
ABCD3,60.31269998505307,-0.28543355705361095,0.4978040291357931,-0.5733853893250614,0.5663837807826066,0.9964432467900409
ABCD4,51.2394789551098,-0.010665487710642588,0.5152808858864222,-0.02069839577358875,0.9834862487340452,0.9981508845148648
ABCE1,62.62290924740431,0.40144457124728605,0.49974702365900886,0.8032955720436721,0.42180391666501205,0.9901329527720504
ABCF1,82.4406102441009,-0.4072809262607032,0.43494801228755275,-0.9363899012175316,0.34907247560724286,0.9728772273862558
ABCF2,49.58187417804104,-0.46290611044462643,0.6252904966283015,-0.7403056866220006,0.45911453121928425,0.9933360853709896
ABCF3,30.260262961411353,-0.3394894951007166,0.6590786048016836,-0.5150971259382162,0.6064851509888101,0.9964432467900409
ABCG1,75.71243481280021,1.718480342705645,0.45978244939132873,3.737594475345049,0.00018578928728525657,0.016775579499646746
