,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,761.6990686188204,3.089730339340925,0.32975773285633697,9.369697906938864,7.274042140956064e-21,7.159112275128959e-17
TIPIN,118.45871591828106,-3.5142813939129276,0.42545880978933226,-8.259980315492912,1.4569649271165944e-16,7.169724406340761e-13
SPP1,343.8570992772321,7.55316495025922,0.9886266780804991,7.640057786953836,2.171242693273051e-14,7.123123529064456e-11
AC005480.1,88.11414760351565,-5.726319169328526,0.7824862125612728,-7.318108712209577,2.514900977876241e-13,6.187913856064491e-10
HLA-DRA,932.7767711535665,1.5784281856173257,0.23764863971324945,6.641856597714515,3.097562652968064e-11,4.355173090073098e-08
TNFSF9,113.21493985971745,2.6545109142073273,0.39816961531816836,6.666784234869774,2.6146904810812616e-11,4.355173090073098e-08
PLAUR,143.9332285468819,2.5871914360601047,0.3889700045562355,6.651390610470737,2.903366019134333e-11,4.355173090073098e-08
CD163,74.05783522087651,3.1403450268449506,0.48907813748737705,6.420947464506122,1.3542876414336232e-10,1.666112370873715e-07
IFNG,122.67599058228544,2.689223267845154,0.4303063261219536,6.2495555017311055,4.1162245219328824e-10,4.5013201938737145e-07
MMP9,46.7019084629445,4.793422413074315,0.7722377921616831,6.207184447236581,5.394227492962957e-10,5.308998698574142e-07
RP11-255M2.3,49.827341737087906,-5.115031193655849,0.8278386295675857,-6.178778098731199,6.459961679555956e-10,5.779903895471792e-07
TYMP,175.91318757972908,2.0766650893926406,0.35291124061555834,5.884383523093397,3.995403921352373e-09,3.160603819712084e-06
CD14,125.31123002366505,2.461111943379356,0.41876181511625094,5.877116428813204,4.174745951661968e-09,3.160603819712084e-06
ATF3,214.9644777716898,2.3277322537711966,0.3976452834149709,5.853790679423308,4.8049330762825655e-09,3.3778679526266435e-06
LILRB4,54.00147860141948,3.7588633120977017,0.6440640128757479,5.836164165289045,5.341626746015735e-09,3.504819362285791e-06
CTD-2192J16.22,400.27353612435184,-1.629041119925603,0.28422793536150703,-5.731460272733711,9.956967136898212e-09,6.1247794100845126e-06
FPR3,54.72999741098609,3.47121005121106,0.6179415230441846,5.6173762755264125,1.9387890798018207e-08,1.1193435166733651e-05
GZMK,276.4314625127648,1.7358860161119385,0.3095392383683559,5.607967588413494,2.047163513525764e-08,1.1193435166733651e-05
CCL3,233.65915477788286,1.7120618329976796,0.3119676653646446,5.487946422256709,4.0663335231224314e-08,2.1063607649774195e-05
TOX2,34.79580468856877,4.766593081619072,0.8706374829152134,5.474831000451268,4.379293474282803e-08,2.1550503186945675e-05
APOC1,73.68926024833225,3.845943141234489,0.7036098391050737,5.466016714783538,4.6026095641317574e-08,2.1570896823897506e-05
NOSIP,149.49591183833536,-1.983763969961549,0.3658646471728986,-5.422125327741958,5.889456549200867e-08,2.6347286980561335e-05
IL1RN,46.452785384351685,3.8647192935483097,0.7231630379219552,5.344188088835087,9.082322213076922e-08,3.8864441400479596e-05
MTRNR2L8,42.124983235606955,-3.8900699397747203,0.739451524892997,-5.260750446538921,1.4346864242707973e-07,5.883409911530494e-05
DUSP4,182.87134088070255,2.4823264444017754,0.47317312220862223,5.246127321888153,1.5532957807287218e-07,6.115014829572833e-05
CCL22,28.176467389636183,4.883400077670209,0.9417792170886978,5.185291827490269,2.1567687640955436e-07,8.164199298549362e-05
CTSL,86.74172725879869,2.5040482161353896,0.48901462567875476,5.120599844349765,3.0456530919915847e-07,0.00011101969530141177
ZNF331,213.92262425728322,1.7939637516902502,0.3563897150791901,5.033713588765124,4.810682592810045e-07,0.0001690954931372731
EREG,31.839241429792935,5.275067517699914,1.0510439710651198,5.018883760261905,5.197258418842263e-07,0.0001763841977870536
IER5,289.18009166583977,1.5346105692847027,0.3094875531004488,4.958553434252725,7.102000597445501e-07,0.00023299296626686208
IRF7,162.10175430882836,2.5670557729574948,0.51976926693257,4.938837165396546,7.858980168048903e-07,0.00024950994456108806
SCML4,144.577133549963,-2.001539091667349,0.4086968055125995,-4.897369063496741,9.712831186799975e-07,0.0002987302641890167
CTLA4,101.38850868306864,2.479869453638069,0.5097032324740528,4.86532024056628,1.1427162974761117e-06,0.00033150516907912196
HLA-DPB1,607.1493828750597,1.2758347904247322,0.2622536404033444,4.864888771276946,1.1452119232564668e-06,0.00033150516907912196
CXCL8,42.73420521071104,3.5210266979880016,0.7299022673773078,4.823970078404868,1.4072853833568589e-06,0.0003957286497999487
HBEGF,46.9268930105324,3.115150561487146,0.6533576169755265,4.767910376414626,1.8614655300647417e-06,0.0005089039929693663
VSIG4,80.09582691126215,3.116480600482533,0.655144355105838,4.756937270686043,1.9655221301768796e-06,0.00052282888662705
HLA-DQA2,96.56168043257018,2.9550701961034926,0.6274186396239295,4.709885887156209,2.4785552300714158e-06,0.0006419458045884967
PLSCR1,112.25909998961131,2.567036561158653,0.5485281265079194,4.679863141205015,2.870664774589299e-06,0.0007244380182437918
EPSTI1,120.67954359305168,2.4502887918547027,0.5248759437815008,4.668319858977432,3.036728717326685e-06,0.0007354392332586578
