,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,42.09983335487932,-0.7786793132648094,0.6433302684946083,-1.2103881185116903,0.22612999890107954,0.9471893439551174
A2M,23.736901321924773,3.041933338429688,1.0056467901648043,3.024852630346664,0.002487543020295696,0.0845409263611923
A4GALT,0.03362598880915672,1.3058830746634973,4.894021702012281,0.26683230156632853,0.7895982825952084,
AAAS,26.835263580848398,0.5232052582074482,0.675458550495501,0.7745926938427781,0.43858037589278454,0.9992739840066193
AACS,13.05945246612497,0.2617779621076919,0.9131939177605551,0.28666196414191586,0.7743711639886033,0.9992739840066193
AADAC,0.0,,,,,
AADAT,0.0,,,,,
AAED1,32.08891491539277,0.33254814817227085,0.6071753255276894,0.5476970723131032,0.5838999227361772,0.9992739840066193
AAGAB,49.10238282345968,0.4004672198203586,0.4818839198180377,0.8310449951755549,0.40594821117620095,0.9992739840066193
AAK1,347.2632916029697,-0.7764009031550408,0.2529970919794673,-3.0688135467503788,0.002149106750940762,0.0780568696257721
AAMDC,8.732193623768318,0.5490457678515076,1.0597570873926223,0.5180864316768615,0.6043979665329879,0.9992739840066193
AAMP,36.642855818509766,-0.07676038461187969,0.6696429369462978,-0.11462882735972993,0.9087393293849834,0.9992739840066193
AAR2,25.068233443237297,0.8773412196595916,0.6616491721302987,1.3259915626204646,0.1848424921461691,0.9029049040710769
AARD,0.4707638433281941,-1.7235173777503219,4.6417771263801635,-0.3713055002049155,0.7104100017526531,
AARS,23.90394805933886,-0.05529573705800894,0.7728572895545776,-0.07154715081988507,0.9429622997526128,0.9992739840066193
AARS2,4.086918335759339,0.0530909341612517,1.62180524759571,0.03273570253885774,0.9738853526306356,
AARSD1,12.319799128613884,0.7426625504506493,0.9237190794459935,0.8039917838398076,0.4214017200832342,0.9992739840066193
AASDH,18.577970893614484,0.71357239490276,0.7607957719349507,0.9379289701990768,0.3482809140204466,0.9966092049221107
AASDHPPT,26.55842687401897,-0.21175059294263823,0.6687530765877254,-0.3166349439812428,0.751520617572039,0.9992739840066193
AASS,1.2122374320659894,-0.38866403264272387,2.9501961973788386,-0.13174175771361926,0.8951885554718632,
AATF,71.61619078967206,0.018986701422590582,0.45838276755593926,0.041421062846289304,0.9669602214820952,0.9992739840066193
AATK,5.693113194198704,2.226433102068344,1.470987553352156,1.513563521998975,0.13013657881603996,
ABAT,9.174697371586575,0.29456101803405477,1.0877648904384587,0.2707947467538895,0.7865489004603834,0.9992739840066193
ABC13-47656900H15.1,1.4754358401378513,-2.009107738304297,2.9321972538067755,-0.685188465986024,0.4932250011939332,
ABCA1,6.38124212486076,2.632388211263431,1.4581023157432247,1.8053521915721318,0.07101958733118971,0.6873780322531633
ABCA10,1.2049762687731236,1.002440468825392,3.2671377846535865,0.30682528099490003,0.7589763643513778,
ABCA2,61.205581590813665,0.23075449792414077,0.4626408363059836,0.49877676118396785,0.6179366606377352,0.9992739840066193
ABCA3,9.462211898516397,0.16738889896378262,1.1323447963068618,0.14782502600773267,0.8824808584205259,0.9992739840066193
ABCA5,19.263590117877328,-0.4904128457770341,0.8133775283365577,-0.6029338513690926,0.5465526953124908,0.9992739840066193
ABCA6,0.3362598880915672,-1.2489591778227946,4.656818536362507,-0.26820009585307364,0.7885453012160324,
ABCA7,42.29302722777428,0.05670463141149801,0.5263916873624616,0.10772326534186409,0.9142152138279942,0.9992739840066193
ABCA8,0.7733977426106047,-2.429140681683697,4.5645817892181775,-0.5321715753722447,0.5946071679089622,
ABCA9,0.20175593285494037,-0.5355309010073838,4.690464740838533,-0.11417437942655652,0.9090995613329964,
ABCB1,77.18396615843012,-0.884295532127197,0.46205893267290704,-1.9138154672429903,0.05564373847108254,0.6258933986889142
ABCB10,21.17080974190601,0.334466689821213,0.7952128728448054,0.4206001955485043,0.674047050921611,0.9992739840066193
ABCB4,0.5770498635963573,-1.9887430318439163,4.585282906182125,-0.43372308154914196,0.6644895433635505,
ABCB5,0.03362598880915672,1.3058830746634973,4.894021702012281,0.26683230156632853,0.7895982825952084,
ABCB7,8.78749241995909,-2.0657343121541545,1.3571541033379235,-1.5221074062801536,0.1279821705417015,0.8240042861128765
ABCB8,12.80565999536332,-0.4830241914401034,0.9329357067266466,-0.51774649416611,0.6046351542117732,0.9992739840066193
ABCB9,0.9550478212581209,-2.7033279969982744,3.809706842931837,-0.7095895060833273,0.477958728993098,
ABCC1,33.88893613982499,0.007776440369801788,0.6408472948827695,0.012134623071513997,0.990318209206453,0.9992739840066193
ABCC10,40.591118812529736,0.03186518141633237,0.5370052839081264,0.05933867388497434,0.9526823580631213,0.9992739840066193
ABCC11,0.0,,,,,
ABCC3,2.000285853198002,2.9826308970354827,2.5306649318717436,1.1785957356391128,0.2385591905015706,
ABCC4,8.286982406519009,-0.38023587565121825,1.2366639298074869,-0.3074690435180802,0.7584863822574915,0.9992739840066193
ABCC5,14.566601004121527,-1.3129607880443401,0.9435802135398248,-1.3914670625815588,0.1640838408601859,0.8881875956055457
ABCC6,0.0,,,,,
ABCC8,0.10087796642747018,0.3238899476202461,4.7579390417568295,0.06807358076211342,0.9457270610567933,
ABCC9,0.1681299440457836,-0.28337499835527885,4.706610305643597,-0.06020787359758463,0.9519900748692457,
ABCD1,14.566297274777224,0.9320115110459622,0.9228896467443347,1.009884024957704,0.3125508571941267,0.9827137789822578
ABCD2,11.766731180585268,0.11703697953003052,1.0176002005067897,0.11501273237932075,0.9084350300374552,0.9992739840066193
ABCD3,35.23031104714197,0.1243830198967251,0.6086569036555599,0.20435654167345763,0.8380748882321267,0.9992739840066193
ABCD4,24.744647382065025,-0.61773270552346,0.8217478675597539,-0.7517302203142514,0.4522133129036461,0.9992739840066193
ABCE1,43.67843689956155,0.3733081668668582,0.5048632237560706,0.7394243614924615,0.4596493538227835,0.9992739840066193
ABCF1,56.60313334937932,0.013085916620874192,0.4866862304517934,0.026887788891677634,0.9785492330504117,0.9992739840066193
ABCF2,39.244247856286925,-0.10583763502929465,0.5558244754635819,-0.1904155712844805,0.8489834967743123,0.9992739840066193
ABCF3,34.87558721342678,-0.8706470170112983,0.5870407779903737,-1.483111650253324,0.1380447491905791,0.8486363135895472
ABCG1,59.510228335173665,2.0200745749007476,0.4580509163111547,4.410152895597545,1.0329765871596494e-05,0.0015854524521631006
ABCG2,0.8227959433824413,1.148535743496637,3.8325065306394204,0.2996826578936093,0.7644192279662311,
ABHD1,2.8179418780609238,1.2261914990202798,2.1397510861365783,0.5730533364206518,0.5666085811454606,
ABHD10,20.400628750899664,0.6843268149009948,0.716962682382533,0.9544803819173876,0.33984053507697753,0.9922107560094685
ABHD11,8.265177198027162,-1.2433825872597968,1.2401466811221737,-1.0026092930674095,0.3160494102290138,0.9836519757597626
ABHD12,34.087449039319566,0.789470529862704,0.5940834563667144,1.3288882587152562,0.18388483804964095,0.9029049040710769
ABHD13,45.6714213159509,0.774218187217074,0.4962929432524084,1.5600024093498268,0.11875931182613929,0.8104648065039614
ABHD14A,32.12237039172478,-0.03687985360832536,0.5996697134893719,-0.061500277200474275,0.950960793651807,0.9992739840066193
ABHD14B,103.7950545764016,-0.5048956114885593,0.35834579464752414,-1.4089620110797851,0.15884640151101692,0.8825259872888314
ABHD15,38.30729625212678,0.48879147095026587,0.5528315933778564,0.884159799847366,0.37660995576028244,0.9992739840066193
ABHD16A,17.143807835034487,1.053983707437834,0.8495590606307543,1.2406244089202048,0.2147445305749185,0.9375367662921171
ABHD17A,271.9230387515279,-0.21477336055690333,0.28753900804448124,-0.7469364313995223,0.45510193358345374,0.9992739840066193
ABHD17B,17.417454390770597,0.2891684066146549,0.7775266093504395,0.3719080519395107,0.7099613098957889,0.9992739840066193
ABHD17C,2.8826736429971165,0.2730847411034301,1.9252814947182777,0.14184146154866045,0.8872052335590297,
ABHD18,31.562341955446875,-0.1328416347566264,0.5834571944017105,-0.2276801726523315,0.8198948875673258,0.9992739840066193
ABHD2,57.16006504553142,0.31453224457818135,0.5116960777698653,0.6146856664389793,0.5387623275583515,0.9992739840066193
ABHD3,46.21026478026732,0.4853065776299052,0.5037164076674431,0.9634519945006592,0.3353207441495455,0.9922107560094685
ABHD4,15.474855218053387,0.39705138167040893,0.8661409906309747,0.4584142604556345,0.6466548483067054,0.9992739840066193
ABHD5,10.184500946458524,0.8644903182505544,1.0190672112634642,0.8483153109977294,0.39626239290777165,0.9992739840066193
ABHD6,12.166307154954662,1.483587562309399,1.0261844858379072,1.4457318179956793,0.1482524363535549,0.8693091174727454
ABHD8,8.698356848966231,0.5305903217767681,1.1055018990626988,0.47995423818505406,0.6312599330173674,0.9992739840066193
ABI1,83.25766442069262,0.2896081154538275,0.3882213080764443,0.7459871713090025,0.45567516462501345,0.9992739840066193
ABI2,41.344513285080794,-0.5416679400583888,0.5290286358764065,-1.023891531242054,0.30588651070121065,0.9817254758289108
ABI3,144.35271178335483,0.26568486721758827,0.359401094702726,0.739243344368069,0.45975924526728906,0.9992739840066193
ABI3BP,0.3026338992824105,-1.101072499140863,4.662561235535186,-0.23615185807087372,0.813314834735736,
ABL1,33.107413608318495,0.034241132680102246,0.6037885963360659,0.05671046602715861,0.954775836750789,0.9992739840066193
ABL2,19.698398083801525,-0.679765407893478,0.8671125109738973,-0.7839414139348532,0.433074487745148,0.9992739840066193
ABLIM1,72.50519389420803,-1.2790097459385559,0.42694634604484083,-2.9957154049615067,0.002738018422867184,0.09192662579966768
ABLIM2,0.4425459083597305,-1.596747525727581,4.645341050419151,-0.34373095718849445,0.731048627705972,
ABLIM3,0.5716418097556643,-1.99865049780119,4.635010667855117,-0.43120731342913593,0.6663176367015,
ABO,2.9590870152057915,-4.361707403203816,3.015762413783892,-1.4463033902366202,0.14809212528798846,
ABR,50.0993423010433,0.14712501021163843,0.49360530464153307,0.2980620524702096,0.7656558036361023,0.9992739840066193
ABRACL,168.43798699072744,0.41697982381865173,0.3327808056943971,1.2530164501181513,0.21019972007957588,0.9303093876606405
