,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,400.2210642295956,4.428166377955069,0.33081927460488525,13.385454590709262,7.354600646568922e-41,6.998637975274986e-37
HLA-DRA,394.1495657557261,3.0915119166939333,0.2548336506657422,12.131490125489659,7.192853197855604e-34,3.422359551539696e-30
DUSP4,88.82050554691223,3.4769873972747423,0.4481971258361257,7.757719085744501,8.647041908993993e-15,2.7428416935328945e-11
ATF3,113.87072902136683,4.489066296121794,0.5952952726045528,7.540907013222368,4.667138306344071e-14,8.882497624634036e-11
IFNG,151.136803496329,2.74776455598901,0.3643574002327707,7.541399061014251,4.6495589281945744e-14,8.882497624634036e-11
TIPIN,72.28768970317014,-3.943876202646917,0.5408006190514522,-7.292662145180891,3.0388948797303007e-13,4.819687279252256e-10
SGK1,62.639865124811436,3.314771550504392,0.4634076731238351,7.153035529514409,8.487962354643463e-13,1.104821146436151e-09
CTD-2192J16.22,280.96563388717885,-1.9590809179701074,0.27435556659597404,-7.140664001380082,9.288113883448094e-13,1.104821146436151e-09
RGCC,211.9064206300946,2.062857145091404,0.2999911198337054,6.876394028712952,6.138656071784286e-12,6.4906056865665844e-09
NR4A1,133.3235962387333,3.418827441778731,0.5083024924838867,6.725970248684368,1.7442620420935276e-11,1.5870540810591726e-08
DUSP2,570.1909265932838,1.8119341577132884,0.26968849102518044,6.718618769475448,1.834551796096143e-11,1.5870540810591726e-08
TNFSF9,65.33855419445727,3.4197984945153435,0.520387794039117,6.571634718738774,4.976583007642741e-11,3.9464303250606936e-08
RHOB,167.3334007054228,3.605602721406544,0.5525690576947121,6.525162187779608,6.79279898810848e-11,4.9723288592954066e-08
TREM2,28.12759247803529,5.745218714362935,0.8846206492087962,6.494556417489749,8.327841795572882e-11,5.6605530376193954e-08
CCL3,230.00919949332246,2.0505887916066015,0.31937732377855543,6.4205835509737215,1.357529367610781e-10,8.612166308122794e-08
RGS2,286.9493982184802,2.2427535985632137,0.36109397292162065,6.210997044389959,5.264946406189874e-10,3.1313268750814275e-07
JUN,677.3004622870537,2.098484750692111,0.35294399378173125,5.945659333106155,2.7534626606566135e-09,1.5412912164004902e-06
OASL,67.7924060082996,2.8150223773084297,0.4800030431142672,5.864592772255194,4.502363098777947e-09,2.380249291553941e-06
CD74,1022.1443049867655,1.2274583693325245,0.21097953594205446,5.81790249870322,5.959064191897481e-09,2.984550255268233e-06
