,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,546.8201763260076,4.342685278481861,0.3879565279121186,11.193741994375161,4.375689024615337e-29,4.63604252157995e-25
HLA-DRA,682.3003981121125,2.2675812484697366,0.21845598413225809,10.380037230277441,3.0565596677799202e-25,1.6192124840064128e-21
ATF3,122.2710834797463,4.690997636887105,0.46241349221517486,10.144595077481526,3.50227819542468e-24,1.2368879160174828e-20
TIPIN,148.30693623971766,-3.5389829390433336,0.3867653448105259,-9.150206931743229,5.682459340957484e-20,1.5051414179361137e-16
DUSP4,177.63438550184168,4.149950594074209,0.4576213815423081,9.068524246152466,1.2063982592614127e-19,2.5563579113749336e-16
IFNG,113.57842119284874,3.1851232346739837,0.3785363294948684,8.414313201917288,3.952034947570376e-17,6.468584239455305e-14
KLF4,61.76342446837233,4.35542397018433,0.5188147161858258,8.394950710350189,4.660897325959987e-17,6.468584239455305e-14
DUSP2,557.4802485359413,2.00761835604178,0.23930276331420622,8.389449115578172,4.8842542629204755e-17,6.468584239455305e-14
SGK1,105.43250367126439,3.1948873561226736,0.38540006063494797,8.289794637964212,1.1344416407440358e-16,1.3354899092981176e-13
CTD-2192J16.22,470.5327299296414,-1.9723478826776837,0.252403169636523,-7.814275413094032,5.528010419249866e-15,5.3244791265411205e-12
HLA-DPA1,379.2129839165539,1.939402570428479,0.2479366611341808,7.8221694264846695,5.192066271254292e-15,5.3244791265411205e-12
CD163,40.30635227520093,6.030937868088941,0.7763900845273917,7.767922321882982,7.978396166144136e-15,7.044258948358093e-12
TIGIT,166.5310813877075,2.6596913580415547,0.35345578496144814,7.5248205608847245,5.279277652326564e-14,4.30261128664615e-11
ACP5,127.5556920564893,3.1819529499404275,0.4235574566746812,7.51244701231731,5.803223414732453e-14,4.3917965770778815e-11
GRN,209.96809642304183,2.3379384145007633,0.31251906816479286,7.480946453059167,7.378924236354169e-14,5.2119801522781616e-11
CCL3,104.07987706321467,2.925354104478958,0.3920290668556905,7.462084706988851,8.516410193142275e-14,5.3077274115495535e-11
HLA-DPB1,474.9224477063015,2.0442271604495152,0.27381448589201085,7.465737810729758,8.283414055533562e-14,5.3077274115495535e-11
