,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,41.165744804121104,-0.8116757011952194,0.6149843899858297,-1.3198313882632398,0.18689131934094538,0.8339553856851573
A2M,10.344422920105622,2.581416930145171,1.049990647936203,2.4585142117399283,0.013951325458138174,0.23668452346162397
A4GALT,0.19933259142791926,-0.332384978003394,4.672555164803041,-0.07113559204333221,0.9432898415555517,
AAAS,13.591379322775918,-0.19788279515654375,0.8139880126029885,-0.24310283701076862,0.8079257335169329,0.9990715177808372
AACS,7.073269039624192,-1.5998710685657778,1.2479289046832254,-1.2820210050122123,0.199835277873313,
AADAC,0.056952168979405506,1.1509776091414683,4.795155482622296,0.24002925730200528,0.8103075754513004,
AADAT,0.0,,,,,
AAED1,21.257375896140566,0.2304565024358344,0.9096277575780956,0.253352539559072,0.7999957993598126,0.9990715177808372
AAGAB,25.845518753925546,-0.21565549360518005,0.6393023957681828,-0.33732940003462586,0.7358685991455814,0.9990715177808372
AAK1,226.2333324912363,-1.1832330670045306,0.27671579754531805,-4.275986689233929,1.902925933552442e-05,0.002179114489186095
AAMDC,7.485239959582165,-0.5773567226939126,1.2678973272752045,-0.45536551759651583,0.6488462984353174,0.9990715177808372
AAMP,29.53410047152484,0.8504789816961336,0.6369125937009503,1.3353150653752957,0.18177324989410015,0.8282224992452479
AAR2,13.533722701491238,-0.9594689148086741,1.048849077725371,-0.9147826271530555,0.36030575687514754,0.944413949801413
AARD,3.16545243997842,1.377496167621449,2.4822098321696022,0.5549475107901871,0.578930563354181,
AARS,13.955741313698221,-0.16423229789600693,0.9783291281345409,-0.167870191301737,0.8666854011999835,0.9990715177808372
AARS2,4.142164554493112,-0.20212570549748668,1.4000249250307981,-0.14437293356976505,0.8852059887557732,
AARSD1,3.5865384991877436,-4.4510031494696225,2.527518250966794,-1.7610172143236085,0.07823548944210999,
AASDH,11.547258620931677,-0.7383151880907005,1.115530530939655,-0.6618511709121836,0.5080666079454101,0.9808641264870662
AASDHPPT,23.195754146157338,0.8686168551949206,0.6113582217738996,1.42079851756073,0.15537534179874204,0.789587876394223
AASS,1.2576317140185824,0.22661005489542121,2.714082254311081,0.08349417359605482,0.9334586100143605,
AATF,49.904861417391984,-0.3555360121039403,0.6276004316829537,-0.5665005856521578,0.571053534933649,0.9929412158979258
AATK,0.8382771554056024,2.8947448212332136,3.8024818963462117,0.7612777391563025,0.44649119384931346,
ABAT,7.884286017619291,0.3877037604810843,1.249390975973849,0.31031419942735305,0.7563220341899539,0.9990715177808372
ABC13-47656900H15.1,0.056952168979405506,1.1509776091414683,4.795155482622296,0.24002925730200528,0.8103075754513004,
ABCA1,1.7388717113372063,0.1463920962139121,2.4105691933741156,0.0607292653603544,0.951574824301719,
ABCA10,0.028476084489702753,1.7551153705504265,4.887359337125904,0.3591132244396321,0.7195103889132328,
ABCA2,19.47706110364934,-0.006547802714064076,0.6996230762316501,-0.009359043371371093,0.9925326728028961,0.9990715177808372
ABCA3,2.7243275787233294,-0.9791646861954738,2.1485996021329306,-0.4557222691577574,0.6485897062090987,
ABCA5,14.47469785238886,-0.20675786563708964,0.7997918724153807,-0.25851458706710595,0.7960097925905216,0.9990715177808372
ABCA6,0.056952168979405506,1.1509776091414683,4.795155482622296,0.24002925730200528,0.8103075754513004,
ABCA7,24.784341205477467,-2.1542673030930852,0.7218507975485582,-2.984366451362367,0.002841662190507207,0.07533602816955601
ABCA8,0.14238042244851373,0.13509598560655017,4.699620478809627,0.028746147952944664,0.9770670508153915,
ABCA9,0.1708565069382165,-0.11762951353391064,4.683974878947964,-0.025113181981951747,0.9799646857977439,
ABCB1,21.123285482397648,0.5396765820674961,0.7718239545691632,0.699222379498116,0.4844130667145067,0.9779080002713683
ABCB10,14.822143418526661,0.46123402851291795,0.7563694939789991,0.609799882444392,0.5419943794009598,0.9837558809200068
ABCB4,2.108452856163743,-3.6884823052909264,2.888497143960791,-1.27695549673737,0.20161795942341298,
ABCB5,0.0,,,,,
ABCB7,11.125414464674687,-0.5813532248387296,1.0337632908983416,-0.5623659013211166,0.5738667464063668,0.9938104020416918
ABCB8,12.234046498933164,0.5374593682034435,1.0460616146874049,0.5137932227482153,0.6073965667531265,0.9942214357181249
ABCB9,2.6542891329044265,0.664842771538624,2.160083328542718,0.3077857056501402,0.7582453991786405,
ABCC1,22.55815682932719,-0.06707059218686123,0.6862118966034708,-0.09774035180508993,0.9221384728334097,0.9990715177808372
ABCC10,19.787022808408388,0.39215746393491835,0.665163086146363,0.5895658855738541,0.555481728544335,0.9881309270615632
ABCC11,0.056952168979405506,1.1509776091414683,4.795155482622296,0.24002925730200528,0.8103075754513004,
ABCC3,3.148512211450335,2.985141404099085,1.9279685862020044,1.5483350846393482,0.12154164154042325,
ABCC4,6.064721135923707,-0.9255856033578639,1.4398293698131692,-0.6428439527372379,0.5203253600631235,
ABCC5,10.538459908207368,0.2586139237779607,1.0189633512508758,0.253801006150503,0.7996492960957049,0.9990715177808372
ABCC6,0.056952168979405506,1.1509776091414683,4.795155482622296,0.24002925730200528,0.8103075754513004,
ABCC8,0.0,,,,,
ABCC9,0.0,,,,,
ABCD1,8.306099411628335,0.7885583529497886,1.0878759314493172,0.7248605563864583,0.4685375809393808,0.9777807299640708
ABCD2,7.67261583067624,-0.520848492796311,1.1085009598874167,-0.4698674260500507,0.6384497380605832,0.9971536710071384
ABCD3,13.406297392806795,-0.8116601095957268,0.8335591017219588,-0.9737283270244507,0.3301914484280686,0.9293004466233156
ABCD4,30.59731412502789,0.27517406373527137,0.7093554328108155,0.38792127473373433,0.6980742936215953,0.9990715177808372
ABCE1,32.10032345704318,-0.22684530920948465,0.5517790478429805,-0.41111620692425765,0.6809873265851634,0.9990715177808372
ABCF1,39.037173313685855,-0.09059614334381869,0.6454555074847254,-0.14036001287968347,0.888375550132859,0.9990715177808372
