,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,265.96824917552686,4.083670136343691,0.4582022089283681,8.912375490058148,4.995063654132226e-19,4.11842998283202e-15
DUSP4,65.12404080302335,4.314293434748019,0.5001573349752634,8.625872566602254,6.360581435336787e-18,2.6221496967175904e-14
APOE,85.96293021444419,7.6932603746333585,0.9052463727935373,8.498526595464181,1.9201226140851197e-17,5.277136984377271e-14
TIPIN,74.56325411198429,-4.600875573000067,0.6025576484872827,-7.635577416618206,2.248105703791615e-14,4.6339078819404665e-11
HLA-DRA,421.44127275330686,1.7936090146720112,0.2419182717719521,7.414111391977799,1.2244297637606827e-13,2.0190846804413657e-10
PLAUR,31.326412547065615,6.001649687787378,0.8238410563151546,7.284960662960076,3.217641744467985e-13,4.42157603052309e-10
CTD-2192J16.22,249.5283549106638,-1.9670851216321783,0.2844498205841578,-6.915402926226116,4.665354216583258e-12,5.4951207879612806e-09
FN1,58.25618388982197,4.990535567471972,0.7439451407777407,6.708203728913035,1.9703472194735785e-11,2.0306891030699567e-08
ATF3,61.99133036150787,4.1795894577386035,0.6509667141467577,6.420588590642337,1.3574844227168498e-10,1.1192459065300426e-07
CREM,81.35992005346323,3.0886351583484952,0.4799552865035375,6.43525604405595,1.2326536148817432e-10,1.1192459065300426e-07
HMOX1,30.880309164731123,4.2686832142987345,0.6791986631078017,6.284881649746731,3.2810354729562075e-10,2.254344789543661e-07
NR4A2,116.5583401144992,2.4468199981995524,0.3888343787542829,6.292704894146662,3.1198111307929804e-10,2.254344789543661e-07
KLF4,26.55459455956542,4.345358917640081,0.702095869904754,6.189124739089507,6.049919523021864e-10,3.562970461951091e-07
HLA-DPA1,252.74689804139788,1.7288056551037614,0.2788612336295902,6.19951949793109,5.663580113994821e-10,3.562970461951091e-07
TIGIT,82.05386931810281,2.599961030530606,0.43093218641276376,6.0333414688135205,1.60603542827327e-09,8.827841404075407e-07
RHOB,89.27943418803757,3.529829469104796,0.5916869245486075,5.9657047040504905,2.435804570475834e-09,1.2552005427233282e-06
CCL3,43.71435811662749,2.821643689342267,0.47744506733803826,5.909881329540475,3.423542751153934e-09,1.660418234309658e-06
PSAP,296.08567888552864,1.370712514462946,0.23658725133466896,5.793687135423788,6.885768008514964e-09,3.154064290566993e-06
CD74,801.167107114358,1.150667553617655,0.19992882599736816,5.755385937357539,8.64440738583086e-09,3.7512178366408127e-06
RGS2,141.60836686598657,2.4478580956881757,0.4270183008195628,5.732443061550473,9.8994271694887e-09,4.081038850621717e-06
BTG2,285.283793726563,1.4485082384937893,0.26060481358849075,5.558255883872747,2.7248371721339004e-08,1.0698229754401908e-05
CD163,16.81856028822786,6.078728859286346,1.0986646016172232,5.532833997143913,3.150976591962145e-08,1.1809000909421765e-05
C1QA,20.426780645208545,4.660437983045857,0.8464605198055752,5.5057948646161545,3.675062701800374e-08,1.3174300859280034e-05
MS4A6A,17.778044419531334,4.572061275806531,0.8335794330967897,5.4848537455166,4.138116332470715e-08,1.4216153817175437e-05
JUN,435.8244664388999,2.134757734699554,0.3916626839370746,5.450500704434046,5.022820384551357e-08,1.6565261628250377e-05
NR4A1,98.03575242761016,3.1424154099468637,0.5787286400091713,5.429859856075319,5.639832250095002e-08,1.7884775731551267e-05
