source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Activated T cells,Activated T cells,ADCYAP1,ADRB2,0.093880475,0.0,0.008642575,0.145580482464922,1.8814996167649958,-2.1862557,1.1204635,0.11671841500024098,
Activated T cells,Activated T cells,ADCYAP1,VIPR2,0.047632575,0.0,-0.0012504009,0.11793175778105809,2.332039485800992,-0.094300464,,0.11671841500024098,
Activated T cells,Activated T cells,ADM,ADRB2,0.013628056,0.012,-0.0043270164,0.014807340262460302,-0.38917944886744893,-0.45034125,,0.9788587751759212,
Activated T cells,Activated T cells,ADM,RAMP1,-0.0428764,1.0,0.0017244839,-0.03520854862407219,-0.6907163205700675,-0.06985185,,1.0,
Activated T cells,Activated T cells,APOE,LRP8,-0.054937225,1.0,-0.0006850504,-0.041286642622259576,-0.4758514270532408,0.014258541,,1.0,
Activated T cells,Activated T cells,BTLA,CD247,0.04212866,0.0,0.0017052591,0.04303567925391666,0.17806455857572667,2.2322116,1.3193277,0.023963000769467675,
Activated T cells,Activated T cells,BTLA,CD79A,0.022208564,0.002,-0.00030544368,0.023115779784633493,0.100482386392031,0.3195241,,0.1267804370119172,
Activated T cells,Activated T cells,C3,C5AR2,-0.047517627,1.0,0.0016843633,-0.04708920412817136,-1.4922950555979804,0.016494531,,1.0,
Activated T cells,Activated T cells,C3,CR2,-0.011555072,0.687,-1.0802332e-05,-0.0008567553444578536,-0.3734362082984779,0.00034945863,,0.40555253778646355,
Activated T cells,Activated T cells,CCL13,ACKR1,0.05082371,0.0,-0.0029634715,0.05536431453170748,-0.509124045888941,0.37854406,,0.17002845533419464,
Activated T cells,Activated T cells,CCL13,CCR2,-0.014576065,0.854,0.00013010253,-0.014558349796086043,-1.1464661691228684,-0.024081064,,0.9477006704982245,
Activated T cells,Activated T cells,CCL13,CCR3,-0.02036499,0.946,0.00040393329,-0.011281077099737996,-1.0920904035515795,0.052267853,,0.859683535809263,
Activated T cells,Activated T cells,CCL13,CCR5,0.023942962,0.0,-0.0016919444,0.02393762934341314,-0.9248079930457425,0.3598539,,0.3898188077739886,
Activated T cells,Activated T cells,CCL13,CXCR3,0.02054277,0.0,-0.0015311068,0.02053921869563316,-1.0637432038876347,-0.33735773,,1.0,
Activated T cells,Activated T cells,CCL17,ACKR1,0.052346237,0.0,-0.00258193,0.06636995622267418,0.578662557359114,0.26252994,,0.018252410494940953,
Activated T cells,Activated T cells,CCL18,ACKR1,0.013123643,0.005,-0.012411009,0.016550248584557233,-1.212365650538122,-0.4678378,,1.0,
Activated T cells,Activated T cells,CCL18,CCR3,-0.058065057,1.0,0.0016916712,-0.050095143046888245,-1.7953320082007604,-0.06459718,,1.0,
Activated T cells,Activated T cells,CCL19,CCR7,0.00413742,0.01,-0.00020476693,0.023345535928490674,0.5686196465582826,-0.014938394,,0.32426222263654453,
Activated T cells,Activated T cells,CCL19,CXCR3,0.026989203,0.0,-0.00069646374,0.04619702636088424,0.6340134103247481,-0.11388367,,0.2235766015400389,
Activated T cells,Activated T cells,CCL2,ACKR1,0.038175177,0.0,-0.0061331606,0.044598299441614635,-0.1390846310782785,-0.41414472,,0.5852991050093883,
Activated T cells,Activated T cells,CCL2,CCR2,-0.027224598,0.998,0.00026925842,-0.02532436488617889,-0.7764267543122059,0.0263458,,0.9619890792881178,
Activated T cells,Activated T cells,CCL2,CCR3,-0.033013523,1.0,0.0008359748,-0.02204709218983084,-0.722050988740917,-0.057183452,,1.0,
Activated T cells,Activated T cells,CCL2,CCR5,0.011294428,0.014,-0.0035016253,0.013171614253320293,-0.55476857823508,-0.3936968,,1.0,
Activated T cells,Activated T cells,CCL20,CCR6,0.043920413,0.0,0.0013565872,0.05927583789398784,0.5902280363072214,-1.3726808,1.3724309,0.15936219471593255,
Activated T cells,Activated T cells,CCL20,CXCR3,0.042366,0.0,0.0012944257,0.05772107636330093,0.5986333956857515,0.3694893,1.3846682,0.011527635409946913,
Activated T cells,Activated T cells,CCL21,CCR7,0.0708181,0.0,0.0023335302,0.07589097430748554,0.6802088463021577,-0.14444262,1.260884,0.11671841500024098,
Activated T cells,Activated T cells,CCL21,CXCR3,0.09366988,0.0,0.007936923,0.0987424647398791,0.7456026100686233,-1.1011662,1.1263669,0.11671841500024098,
Activated T cells,Activated T cells,CCL3,CCR3,-0.023818066,0.998,0.0005218815,-0.0147285202535124,0.09513105256849075,-0.017782094,,0.9619890792881178,
Activated T cells,Activated T cells,CCL3,CCR5,0.020489886,0.009,-0.002185991,0.020490186189638736,0.2624134630743278,-0.12242622,,0.7749219101792444,
Activated T cells,Activated T cells,CCL4,CCR3,0.030800648,0.0,-0.0013437541,0.039888366212712426,0.140293109125863,-2.3562417,,0.30364967392679443,
Activated T cells,Activated T cells,CCL4,CCR5,0.0751086,0.0,0.0056285467,0.07510707265586355,0.30757551963170005,-16.222261,1.1537,0.19216505986507,
Activated T cells,Activated T cells,CCL4,CNR2,0.04448275,0.0,0.00080926187,0.05226980874305577,0.2921465332615576,-6.7268214,1.541653,0.20215739846310007,
Activated T cells,Activated T cells,CCL5,ACKR1,0.0788254,0.0,0.0040536784,0.08336996435233282,0.6326468690509737,-0.18660575,1.1862167,0.11671841500024098,
Activated T cells,Activated T cells,CCL5,CCR3,0.0076367008,0.0,-0.0005525329,0.016724572720887343,0.049680511388335236,-0.025765778,,0.36763263679810637,
Activated T cells,Activated T cells,CCL5,CCR5,0.05194465,0.0,0.0023143797,0.05194327916403847,0.21696292189417227,-0.17739232,1.2622436,0.24629884000279628,
Activated T cells,Activated T cells,CCL5,CXCR3,0.04854446,0.0,0.0020943729,0.0485448685162585,0.07802771105228007,0.16630268,1.2794263,0.038015714377330555,
Activated T cells,Activated T cells,CCL7,ACKR1,0.046082556,0.0,-0.0041515916,0.051867460134790454,-0.3968182377075651,0.4655112,,0.17078278061900018,
Activated T cells,Activated T cells,CCL7,CCR2,-0.019317217,0.944,0.00018226347,-0.018055204193003067,-1.0341603609414924,-0.029613476,,0.7639143160850221,
Activated T cells,Activated T cells,CCL7,CCR3,-0.025106143,0.994,0.00056587893,-0.01477793149665502,-0.9797845953702036,0.06427593,,0.8464434262495476,
Activated T cells,Activated T cells,CCL7,CCR5,0.01920181,0.0,-0.0023702816,0.020440774946496112,-0.8125021848643665,0.44252715,,0.4406256004456234,
Activated T cells,Activated T cells,CCL7,CXCR3,0.015801618,0.0,-0.0021449607,0.017042364298716133,-0.9514373957062587,-0.4148627,,1.0,
Activated T cells,Activated T cells,CCL8,ACKR1,0.0451464,0.0,-0.004386191,0.05457555844626036,0.1923154419212758,1.9260741,,0.02230168284875311,
Activated T cells,Activated T cells,CCL8,CCR2,-0.020253377,0.954,0.00019256285,-0.015347105881533167,-0.44502668131265155,-0.12252713,,0.7769360011519302,
Activated T cells,Activated T cells,CCL8,CCR3,-0.026042301,0.99,0.0005978557,-0.012069833185185121,-0.3906509157413627,0.26594463,,0.7914307962530985,
Activated T cells,Activated T cells,CCL8,CCR5,0.01826565,0.0,-0.002504222,0.023148873257966014,-0.22336850523552565,1.8309765,,0.10182790362837461,
Activated T cells,Activated T cells,CD14,RIPK1,-0.09145971,1.0,0.0022286654,-0.09141702381217716,-0.7915986534829282,0.087094516,,1.0,
Activated T cells,Activated T cells,CD24,SIGLEC10,0.024923729,0.0,7.010799e-06,0.02548637156511788,-0.42469349955710634,0.00012300034,-0.3603848,0.2627251590116,
Activated T cells,Activated T cells,CD40LG,CD40,0.06121612,0.0,-0.0012161799,0.06166675279371347,0.33992583262105724,0.060227644,,0.12307492214238845,
Activated T cells,Activated T cells,CD40LG,CD9,0.081023626,0.0,0.0039998847,0.08102996211556979,0.17668563410829718,-0.09303538,1.187699,0.2732218426002033,
Activated T cells,Activated T cells,COL1A1,CD36,0.034466393,0.0,-0.025210232,0.03446256108894499,0.017943795076454494,-0.1924774,,0.4005635928287764,
Activated T cells,Activated T cells,CP,SLC40A1,-0.024680736,0.999,0.0003581074,-0.005070113048432719,0.11055273134089716,-0.013550215,,1.0,
Activated T cells,Activated T cells,CSF1,CELSR3,0.08701082,0.0,-0.0012417757,0.11089876933481153,1.63510177199595,0.22931734,,0.02279784751917043,
Activated T cells,Activated T cells,CSF1,CSF3R,0.023949333,0.001,-0.024055729,0.023978072404398712,-0.9433022681809697,-0.98642695,,1.0,
Activated T cells,Activated T cells,CSF1_IL34,CSF1R,-0.08623806,1.0,0.0017838951,-0.07795111844376142,-0.36400958900310887,-0.033744145,,1.0,
Activated T cells,Activated T cells,CSF2,CSF1R,-0.07994074,1.0,-0.00024919776,-0.052367767521593264,0.18905217699389787,0.0023822521,,1.0,
Activated T cells,Activated T cells,CSF2,CSF3R,-0.06572209,1.0,-0.00020529811,-0.03818375618456575,-1.0312323210895398,0.0027058655,,1.0,
Activated T cells,Activated T cells,CXCL1,ACKR1,0.0486827,0.0,-0.0035000024,0.055599541753623985,-0.13990838499682723,0.42871615,,0.07544224930367567,
Activated T cells,Activated T cells,CXCL1,CXCR1,-0.04024293,1.0,0.0014679657,-0.03530165843430245,-1.5407804707034878,2.4244192,,0.9517558599991591,
Activated T cells,Activated T cells,CXCL1,CXCR2,-0.045288436,1.0,0.0017498408,-0.042294178312673306,-1.867639349013358,-0.17764732,,1.0,
Activated T cells,Activated T cells,CXCL10,ACKR1,0.041039236,0.0,-0.0054154354,0.04878504236463634,0.007947634255661029,-7.6796036,,0.40709046201624155,
