source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Activated T cells,Activated T cells,BTLA,CD247,0.04212866,0.0,0.0017052591,0.04303567925391666,0.17806455857572667,2.2322116,1.3193277,0.023963000769467675,
Activated T cells,Activated T cells,CCL17,ACKR1,0.052346237,0.0,-0.00258193,0.06636995622267418,0.578662557359114,0.26252994,,0.018252410494940953,
Activated T cells,Activated T cells,CCL20,CXCR3,0.042366,0.0,0.0012944257,0.05772107636330093,0.5986333956857515,0.3694893,1.3846682,0.011527635409946913,
Activated T cells,Activated T cells,CCL5,CXCR3,0.04854446,0.0,0.0020943729,0.0485448685162585,0.07802771105228007,0.16630268,1.2794263,0.038015714377330555,
Activated T cells,Activated T cells,CCL8,ACKR1,0.0451464,0.0,-0.004386191,0.05457555844626036,0.1923154419212758,1.9260741,,0.02230168284875311,
Activated T cells,Activated T cells,CSF1,CELSR3,0.08701082,0.0,-0.0012417757,0.11089876933481153,1.63510177199595,0.22931734,,0.02279784751917043,
Activated T cells,Activated T cells,CXCL13,CXCR3,0.05158006,0.0,0.0024874029,0.07887772656979122,0.9857405653604927,0.4023066,1.2506313,0.00793223276662123,
Activated T cells,Activated T cells,CXCL9,ACKR1,0.0474837,0.0,-0.0038004685,0.05857568716284239,0.39209240472951334,0.70143646,,0.011230574363837136,
Activated T cells,Activated T cells,LTF,IL1RL1,0.20534647,0.0,0.018697234,0.2441602699347003,2.8813723632896053,260.31332,1.0788597,0.0006905334002913338,
Activated T cells,Activated T cells,SORBS1,ITGA1,0.0499333,0.0,0.00081537163,0.08811849420784817,1.5765968931778633,0.21793139,1.538525,0.025018649034978004,
Activated T cells,Activated T cells,TNF,NOTCH1,0.041941684,0.0,0.0015799397,0.04243573414146285,0.28517984990818035,0.97316444,1.3359236,0.020794905972629143,
Activated T cells,Activated T cells,TNFSF9,TRAF2,0.04062313,0.0,-0.0023170765,0.042594674240048536,-0.02609275368942443,7.7575836,,0.0490010156848617,
Activated T cells,Macrophages,ADCYAP1,ADRB2,0.046405092,0.0,-0.0015129739,0.0979510988650958,1.896936884304547,0.38272715,,0.008949043975238092,
Activated T cells,Macrophages,COL1A1,CD36,0.19450584,0.0,0.03782659,0.19451558821301804,1.4381196496007662,0.28880194,1.0541742,0.015950509909653538,
Activated T cells,Macrophages,CSF1,CELSR3,0.07754044,0.0,-0.0046679038,0.08388848187380392,0.4496810017343331,0.8620166,,0.0082609867474259,
Activated T cells,Macrophages,CSF1,CSF3R,0.13908789,0.0,0.017598307,0.13939482461831645,1.0480953043886663,0.7216345,1.0814823,0.007070387620923245,
Activated T cells,Macrophages,TNF,FFAR2,0.03255307,0.0,0.0005410534,0.04744901353201447,0.644937368995596,0.5032418,1.7534437,0.017014919674224353,
Activated T cells,Macrophages,TNFSF9,HLA-DPA1,0.18440798,0.0,0.027477952,0.18550502486208986,0.841572521145932,1.2659844,1.0641646,0.007070387620923245,
Activated T cells,Macrophages,TNFSF9,TNFRSF9,0.047525346,0.0,-0.00088680245,0.053598489028649825,0.40997066029976414,0.35608125,,0.013008203777469408,
Activated T cells,Monocytes/DC,CCL17,ACKR1,0.08859883,0.0,-0.004075987,0.10419148829381153,0.5794588742035294,0.4144452,,0.007426758170314823,
Activated T cells,Monocytes/DC,CCL8,ACKR1,0.081398994,0.0,-0.006924299,0.09239709051739771,0.1931117587656912,3.0406141,,0.02223146902568723,
Activated T cells,Monocytes/DC,CD24,SIGLEC10,0.37524548,0.0,0.034833487,0.37733238345070885,1.3857035836118259,0.61113304,1.0565827,0.007070387620923245,
Activated T cells,Monocytes/DC,COL1A1,CD36,0.59690535,0.0,0.19632491,0.5969221565815235,2.140962993812535,1.4989196,1.0230781,0.007070387620923245,
Activated T cells,Monocytes/DC,CP,SLC40A1,0.28257304,0.0,-0.0050721536,0.3022275976861174,2.257309855046135,0.19192223,,0.02907568165472104,
