Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,2.645587866568368e-05,0.0005555734519793572,0,0,5.744451992753623,60.546708794392934,EEF1B2;RPS5;RPL34;RPS6;RPLP0;RPL22;RACK1;RPS3;RPL14;RPL18
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.03924555424413522,0.3095587480810311,0,0,6.8315649867374,22.120041150670605,LEF1;TCF7
MSigDB_Hallmark_2020,Estrogen Response Early,0.04422267829729016,0.3095587480810311,0,0,3.1508414389377797,9.825954286254634,ABLIM1;CXCL12;BCL11B;TFF3
MSigDB_Hallmark_2020,p53 Pathway,0.08410772253764477,0.4076814900128671,0,0,2.508817363423357,6.210970992923753,RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.09706702143163501,0.4076814900128671,0,0,2.836615811373093,6.615991089475352,CXCL12;FBLN1;FBLN5
MSigDB_Hallmark_2020,Coagulation,0.1516334664545197,0.5307171325908189,0,0,2.990967365967366,5.64182906658318,C1S;CRIP2
MSigDB_Hallmark_2020,Apical Surface,0.201328129558992,0.603984388676976,0,0,4.675736961451247,7.494361053631254,MAL
MSigDB_Hallmark_2020,Unfolded Protein Response,0.27756409316307856,0.7286057445530812,0,0,1.9675,2.521751451523065,RPS14;EEF2
MSigDB_Hallmark_2020,Estrogen Response Late,0.35235904031842796,0.8221710940763319,0,0,1.6363782051282052,1.7069136696441798,CXCL12;TFF3
MSigDB_Hallmark_2020,Allograft Rejection,0.4954670782965521,0.8322893484476311,0,0,1.214763497372193,0.8530729730868473,RPL39;IL2
MSigDB_Hallmark_2020,Interferon Alpha Response,0.602550374970957,0.8322893484476311,0,0,1.0959871589085073,0.5552095668019588,C1S
MSigDB_Hallmark_2020,Myogenesis,0.6224996097155443,0.8322893484476311,0,0,1.0371833839918947,0.4916376581415653,ABLIM1
MSigDB_Hallmark_2020,UV Response Dn,0.6487724391746876,0.8322893484476311,0,0,0.9646393210749646,0.4173736366646427,FBLN5
