Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,0.007306258450786893,0.1972689781712461,0,0,2.8011634056054997,13.778989953127237,FBL;RPS5;RPL34;RPL22;RPS6;RPS3;RACK1;RPL14;RPL18
MSigDB_Hallmark_2020,p53 Pathway,0.07806001684825307,0.9165620291836077,0,0,2.088119590873328,5.32528399519719,CYFIP2;LDHB;RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.10184022546484531,0.9165620291836077,0,0,3.902359346642468,8.914355005973785,LEF1;TCF7
MSigDB_Hallmark_2020,Apical Junction,0.14255946988532756,0.9608369355163532,0,0,2.045045045045045,3.9837396366978943,ADAM23;ICAM2;EVL;LDLRAP1
MSigDB_Hallmark_2020,TGF-beta Signaling,0.21138919334947265,0.9608369355163532,0,0,2.403807390817469,3.735647275284481,NOG;SPTBN1
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.24374301276168633,0.9608369355163532,0,0,2.17165991902834,3.065603821668016,PLAG1;KRT15
MSigDB_Hallmark_2020,Apical Surface,0.32210499882838867,0.9608369355163532,0,0,2.682373472949389,3.0388010993562955,MAL
MSigDB_Hallmark_2020,Estrogen Response Early,0.4030614521546608,0.9608369355163532,0,0,1.3209325396825398,1.2002868066687802,ABLIM1;BCL11B;KRT15
MSigDB_Hallmark_2020,Inflammatory Response,0.5034381630508661,0.9608369355163532,0,0,1.1248677248677248,0.7719904074542345,CCR7;CD48;IL7R
MSigDB_Hallmark_2020,Myogenesis,0.5251360633203382,0.9608369355163532,0,0,1.1473684210526316,0.7390175695748884,ABLIM1;MYOM2
MSigDB_Hallmark_2020,Unfolded Protein Response,0.5463307382467413,0.9608369355163532,0,0,1.1019607843137256,0.6661691672060758,RPS14;EEF2
MSigDB_Hallmark_2020,Allograft Rejection,0.562669296346405,0.9608369355163532,0,0,1.0274874177313202,0.5908702218237623,RPS19;APBB1;CD3E
MSigDB_Hallmark_2020,Mitotic Spindle,0.594546424791365,0.9608369355163532,0,0,0.9789590254706534,0.5090160844628632,UXT;SUN2;SPTBN1
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.6551505497813317,0.9608369355163532,0,0,0.8972631578947369,0.37944381671937066,CYFIP2;AKR1C3
MSigDB_Hallmark_2020,Apoptosis,0.721493715063699,0.9608369355163532,0,0,0.7885841363973314,0.2574187906340768,LEF1;DCN
MSigDB_Hallmark_2020,Coagulation,0.7303949890832347,0.9608369355163532,0,0,0.7679122140142006,0.241254834554187,CRIP2
