Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1.175492867874779e-51,5.407267192223983e-50,0,0,32.5041958041958,3811.771989780165,BTG3;BTG2;CDKN1A;CD83;CSF2;CSF1;TNFAIP3;SLC2A3;TNF;SAT1;ZFP36;PLAU;CCRL2;ZC3H12A;PDE4B;OLR1;MAP3K8;IER5;PHLDA1;JUNB;IER2;IER3;DUSP4;DUSP5;DUSP2;DUSP1;PLAUR;FOS;RHOB;IL1B;SGK1;ATF3;PPP1R15A;PTGER4;PFKFB3;SOCS3;NFIL3;CCL4;EGR1;JUN;EGR2;GADD45B;TNFRSF9;KLF4;NR4A2;NR4A1;MARCKS;NR4A3;MAFF;BHLHE40;TNFSF9;FOSB;CD69
MSigDB_Hallmark_2020,Interferon Gamma Response,2.460476479171351e-22,5.6590959020941075e-21,0,0,13.025745257452575,648.1157156522092,CD86;CDKN1A;SAMD9L;CIITA;TNFAIP3;HIF1A;IFIT3;OASL;SOCS3;HLA-DMA;SOCS1;EPSTI1;PDE4B;HLA-DQA1;CD74;VCAM1;RSAD2;BPGM;PLSCR1;IFI27;MTHFD2;OAS2;IRF4;OAS3;PELI1;IRF7;CMPK2;PSME2;IRF8;CD69;LAP3;HLA-DRB1
MSigDB_Hallmark_2020,Inflammatory Response,9.868966093176116e-18,1.513241467620338e-16,0,0,12.704810073231126,497.48398324012777,PTGER4;BTG2;CDKN1A;CXCL8;CSF1;CD82;RGS16;C5AR1;HIF1A;GNA15;CCRL2;STAB1;PDE4B;OLR1;CD14;MSR1;CCL22;CD70;TNFRSF9;PLAUR;OSM;IL1B;IRF7;TNFSF9;CD69
MSigDB_Hallmark_2020,Allograft Rejection,5.953336810895511e-13,6.846337332529839e-12,0,0,8.748697593649219,246.27281316896634,CD86;CD74;CCL22;CSF1;TAP2;MMP9;TNF;HIF1A;HLA-DMA;HLA-DMB;SOCS1;IFNG;IRF4;IL1B;CCL4;STAB1;IRF7;HLA-DRA;IRF8;FCGR2B;CCR5;HLA-DQA1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,1.6580935333172343e-12,1.5254460506518553e-11,0,0,8.817709923664122,239.18349122245786,CD86;CD83;CSF2;GADD45B;CSF1;TNFRSF9;RGS16;CTSZ;SLC2A3;RHOB;PLSCR1;SOCS1;NFIL3;IRF4;MAFF;BHLHE40;SPP1;CTLA4;IRF8;MAP3K8;PHLDA1
MSigDB_Hallmark_2020,Hypoxia,2.2636283945115166e-11,1.7354484357921628e-10,0,0,9.386019878997407,230.0651166452046,PPP1R15A;JUN;CDKN1A;PFKFB3;ANXA2;DUSP1;PLAUR;TNFAIP3;SLC2A3;FOS;JMJD6;ZFP36;NFIL3;MAFF;BHLHE40;TGFBI;ATF3;IER3
MSigDB_Hallmark_2020,Apoptosis,5.906051855048971e-11,3.881119790460752e-10,0,0,8.787731551776496,206.9726823272341,TOP2A;BTG3;JUN;CDKN1A;BTG2;GADD45B;TNF;SAT1;SMAD7;RHOB;DNAJA1;GNA15;IL1B;PMAIP1;CD14;CD69;ATF3;IER3
MSigDB_Hallmark_2020,Interferon Alpha Response,9.706221363052199e-11,5.581077283755014e-10,0,0,11.305734962259747,260.6612827002475,CD74;SAMD9L;CSF1;RSAD2;IFIT3;OASL;PLSCR1;IFI27;OAS1;CCRL2;EPSTI1;IRF7;CMPK2;PSME2;LAP3
MSigDB_Hallmark_2020,Complement,4.808596120773095e-08,2.457726906172915e-07,0,0,6.769594531323158,114.06953334467474,DUSP5;C1QA;PLAUR;TNFAIP3;GZMK;PLSCR1;CTSL;APOC1;MAFF;IRF7;OLR1;LAP3;CTSC;CTSB;LGMN
MSigDB_Hallmark_2020,KRAS Signaling Up,1.438932691876429e-07,6.619090382631573e-07,0,0,7.381867324754686,116.2953699044997,PPP1R15A;CSF2;RGS16;PLAUR;TNFAIP3;BPGM;KLF4;MMP9;MAFB;PLAU;IL1B;SPP1;IRF8
