Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,2.791220076948924e-23,1.0327514284711018e-21,0,0,22.88031914893617,1188.2431186608048,PPP1R15A;BTG2;CD83;TNFAIP3;SLC2A3;AREG;ZFP36;CCL4;IER5;JUNB;PHLDA1;IER2;DUSP4;DUSP5;JUN;DUSP2;GADD45B;TAP1;FOS;RHOB;FOSL2;NR4A2;NR4A1;MARCKS;BHLHE40;FOSB;CD69;ATF3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,6.34436342207145e-09,1.1737072330832182e-07,0,0,18.971036585365855,358.0915775991497,JUN;TPM4;GADD45B;BASP1;FN1;SPP1;TNFAIP3;TGFBI;AREG;RHOB
MSigDB_Hallmark_2020,Complement,7.926932751666867e-07,9.77655039372247e-06,0,0,7.518367346938776,105.61674246225009,GZMK;DUSP5;PLSCR1;APOBEC3G;GZMA;FN1;IRF7;TNFAIP3;GZMB;CTSD;CTSC;CTSB
MSigDB_Hallmark_2020,Hypoxia,1.647927198545359e-06,1.524332658654457e-05,0,0,7.775480907263853,103.53824391396986,PPP1R15A;JUN;ZFP36;ANXA2;BHLHE40;TNFAIP3;SLC2A3;TGFBI;FOS;ATF3;FOSL2
MSigDB_Hallmark_2020,UV Response Up,2.7096556135769848e-06,1.9577637107784053e-05,0,0,8.363821138211382,107.21322211443406,DNAJA1;NR4A1;DNAJB1;BTG2;FOSB;TAP1;FOS;JUNB;ATF3;RHOB
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,3.174751963424441e-06,1.9577637107784053e-05,0,0,6.442105263157894,81.55886318801628,IFITM3;PLSCR1;CD83;GADD45B;BHLHE40;IL2RB;SPP1;CTLA4;SLC2A3;CST7;PHLDA1;RHOB
MSigDB_Hallmark_2020,Interferon Gamma Response,1.8925778478537604e-05,0.00010003625767227019,0,0,4.862457548626119,52.87915594132989,IFITM3;CD74;STAT1;GZMA;MX1;TNFAIP3;TAP1;HIF1A;IFI44L;PLSCR1;IL2RB;IRF7;CD69
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.00016227983211461398,0.0007505442235300896,0,0,22.727272727272727,198.32246259472748,NR4A2;BTG2;MX1;IFI44L
MSigDB_Hallmark_2020,Apoptosis,0.00022477229256406665,0.0009240638694300517,0,0,5.115152919369787,42.96944670428861,DNAJA1;IFITM3;JUN;BTG2;GADD45B;TAP1;CD69;ATF3;RHOB
MSigDB_Hallmark_2020,p53 Pathway,0.0006405837027816548,0.002370159700292123,0,0,4.875,35.84651246312165,PPP1R15A;JUN;BTG2;TAP1;FOS;IER5;CTSD;ATF3
MSigDB_Hallmark_2020,Interferon Alpha Response,0.0008407625857984451,0.0028280196067765884,0,0,5.3464396284829725,37.85921491465369,IFITM3;CD74;PLSCR1;MX1;IRF7;TAP1;IFI44L
MSigDB_Hallmark_2020,Allograft Rejection,0.0010455586231634928,0.003223805754754103,0,0,3.6966463414634148,25.370837841889905,CD74;STAT1;GZMA;CCL4;IL2RB;IRF7;HLA-DRA;TAP1;GZMB;HIF1A
