Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,8.117261388540051e-09,2.1104879610204132e-07,0,0,5.8364031907179115,108.72794841928523,RPL34;RPS5;RPL22;RPLP0;RPS6;NAP1L1;PHB2;RPL6;EEF1B2;RSL1D1;FBL;SNRPD2;RACK1;RPS3;RPL14;PABPC1;RPS2;RPL18;RPS10
MSigDB_Hallmark_2020,Apical Surface,0.08011440493798329,0.6428791655039108,0,0,4.563721325403568,11.520199935157626,GSTM3;MAL
MSigDB_Hallmark_2020,p53 Pathway,0.10706090193863303,0.6428791655039108,0,0,1.9058400718778077,4.258327923931217,LDHB;HINT1;RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,Allograft Rejection,0.11169263877917517,0.6428791655039108,0,0,1.881810115350488,4.124936197311263,RPS9;RPS19;RPS3A;LTB;RPL9;RPL39
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.12363060875075207,0.6428791655039108,0,0,3.4598775378665807,7.232725636830365,LEF1;TCF7
MSigDB_Hallmark_2020,Apical Junction,0.1906936544077134,0.8263391691000914,0,0,1.8109807921128676,3.0009528042660665,ACTN1;AMIGO1;ADAM23;LDLRAP1
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.28821943488193935,0.9705441460018785,0,0,1.4175168018850242,1.7634379096504478,LDHB;COX4I1;PHB2;COX7C;SLC25A6
MSigDB_Hallmark_2020,Inflammatory Response,0.3013049966732055,0.9705441460018785,0,0,1.46371023275031,1.7559139987920152,CCR7;CD48;EMP3;IL7R
MSigDB_Hallmark_2020,Estrogen Response Early,0.42660048512614973,0.9705441460018785,0,0,1.270828359990451,1.0826280023593708,ABLIM1;BCL11B;IGF1R
MSigDB_Hallmark_2020,TGF-beta Signaling,0.5997827739002738,0.9705441460018785,0,0,1.1080103359173126,0.5664012915577057,NOG
MSigDB_Hallmark_2020,Unfolded Protein Response,0.6102762401874784,0.9705441460018785,0,0,0.9770020157595749,0.4824861648794264,RPS14;EEF2
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.6257617221042331,0.9705441460018785,0,0,0.9335387323943662,0.4376295296865203,CD48;LTB;IGF1R
MSigDB_Hallmark_2020,E2F Targets,0.6579249789469824,0.9705441460018785,0,0,0.8884138162307177,0.37194720881942434,TIPIN;PSIP1;NAP1L1
MSigDB_Hallmark_2020,Spermatogenesis,0.665584359532515,0.9705441460018785,0,0,0.9225667527993109,0.3755675961154768,GSTM3
MSigDB_Hallmark_2020,KRAS Signaling Up,0.7005092418896822,0.9705441460018785,0,0,0.8221209546613115,0.292632079389341,SATB1;IL7R
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.736868148034196,0.9705441460018785,0,0,0.7539816772374912,0.23022552024910234,LTB
MSigDB_Hallmark_2020,Apoptosis,0.7481077646279072,0.9705441460018785,0,0,0.7471013983557023,0.21681498268534585,SATB1;LEF1
MSigDB_Hallmark_2020,Bile Acid Metabolism,0.752185283335234,0.9705441460018785,0,0,0.7209976407145264,0.2053203712742208,NR3C2
MSigDB_Hallmark_2020,Androgen Response,0.7971131861091579,0.9705441460018785,0,0,0.6291433617898146,0.14266366482443743,ACTN1
MSigDB_Hallmark_2020,Pperoxisome,0.8011332954003378,0.9705441460018785,0,0,0.6212209302325581,0.13774203374243404,PABPC1
MSigDB_Hallmark_2020,UV Response Dn,0.8497573558201181,0.9705441460018785,0,0,0.5280059376546264,0.08596170782392921,IGF1R
MSigDB_Hallmark_2020,Myogenesis,0.8527384362540915,0.9705441460018785,0,0,0.5223990208078335,0.08321942733744302,ABLIM1
