Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,2.743734943591492e-59,1.3718674717957458e-57,0,0,23.206684689112805,3129.2636336048513,BTG3;BTG2;CDKN1A;CD83;CSF1;CD80;SERPINE1;TNFAIP2;TNFAIP3;SLC2A3;AREG;TNF;SAT1;CXCL2;ICAM1;IFIT2;ZFP36;PLAU;KYNU;ZC3H12A;NAMPT;OLR1;MAP3K8;JUNB;IER5;PHLDA1;IER2;IER3;DUSP4;DUSP5;DUSP2;DUSP1;PLAUR;TAP1;FOS;GEM;RHOB;IL1B;SIK1;TRIB1;SGK1;ATF3;HBEGF;PTGER4;PPP1R15A;CEBPB;PFKFB3;CEBPD;SOCS3;NFIL3;DNAJB4;CCL4;CCL2;EGR1;JUN;EGR2;GADD45B;GCH1;GADD45A;TNFRSF9;KLF4;FOSL2;VEGFA;NR4A2;NR4A1;MARCKS;MAFF;BHLHE40;BCL3;TNFSF9;FOSB;CD69
MSigDB_Hallmark_2020,Allograft Rejection,9.267557786279034e-23,2.3168894465697585e-21,0,0,9.557457491726577,484.87789117313685,CD86;CSF1;CD80;NCF4;FASLG;CXCL13;HIF1A;TNF;ICAM1;HLA-DMA;HLA-DMB;CCND2;SOCS1;CXCR3;CCL4;CCL2;CCR5;HLA-DQA1;CCR1;SRGN;CD74;CCL22;STAT1;CDKN2A;GZMA;TAP2;TAP1;GZMB;MMP9;EREG;IFNG;IRF4;IL1B;BCL3;IL2RB;IRF7;FAS;HLA-DRA;IRF8;BCAT1
MSigDB_Hallmark_2020,Inflammatory Response,1.3681142432303154e-21,2.2801904053838592e-20,0,0,10.306344658207122,495.12559514432587,PTGER4;CDKN1A;BTG2;CXCL8;CSF1;CD82;RGS16;SERPINE1;EBI3;C5AR1;FPR1;AHR;HIF1A;ICAM1;GNA15;NAMPT;CLEC5A;OLR1;CCL2;CD14;MSR1;CCL22;GCH1;TNFRSF9;OSM;PLAUR;CYBB;TNFRSF1B;EREG;MARCO;IL1B;IL2RB;IRF7;TNFSF9;CD69;HBEGF
MSigDB_Hallmark_2020,Interferon Gamma Response,2.970213225757895e-20,3.712766532197369e-19,0,0,8.181358381502891,367.8589741926759,IFITM3;CD86;CDKN1A;SAMD9L;FPR1;TNFAIP2;TNFAIP3;IFI35;HIF1A;IFIT2;ICAM1;OASL;SOCS3;MT2A;HLA-DMA;SOCS1;NAMPT;EPSTI1;CCL2;HLA-DQA1;CD74;GCH1;STAT1;GZMA;TAP1;PLSCR1;IFI27;MTHFD2;IRF4;IL2RB;PELI1;IRF7;PSME2;FAS;CMPK2;IRF8;LAP3;CD69;MYD88
MSigDB_Hallmark_2020,Apoptosis,2.9306294535874764e-18,2.930629453587476e-17,0,0,9.235017464726752,372.82979395841147,IFITM3;TOP2A;BTG3;CDKN1A;BTG2;FASLG;TNF;SAT1;LGALS3;GNA15;CCND2;LMNA;TIMP2;PMAIP1;HMOX1;CD14;IER3;JUN;ANXA1;GSN;GADD45B;GCH1;GADD45A;TAP1;EREG;SMAD7;RHOB;DNAJA1;IL1B;FAS;CD69;ATF3
MSigDB_Hallmark_2020,Complement,6.316581023748466e-18,5.263817519790388e-17,0,0,8.544293478260869,338.3826757909136,C1QA;CPM;DOCK4;CEBPB;LRP1;SERPINE1;TNFAIP3;PLA2G7;LGALS3;CTSL;KYNU;TIMP2;OLR1;CD36;CTSD;CTSC;CTSB;DUSP5;APOBEC3G;GZMA;ANXA5;FN1;PLAUR;GZMB;GZMK;PLSCR1;MAFF;APOC1;IRF7;ADAM9;LAP3;LGMN;C1QC
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,1.3878580381701696e-16,9.913271701215499e-16,0,0,7.547596153846154,275.58990623644377,IFITM3;CD86;CYFIP1;CD83;CSF1;RGS16;CTSZ;SLC2A3;AHR;CST7;NDRG1;CCND2;SOCS1;NFIL3;NFKBIZ;SPP1;CTLA4;MAP3K8;ICOS;TNFRSF4;PHLDA1;TGM2;GADD45B;TNFRSF9;TNFRSF18;TNFRSF1B;RHOB;PLSCR1;IRF4;BHLHE40;MAFF;IL2RB;IRF8
MSigDB_Hallmark_2020,Hypoxia,2.3576047836851083e-16,1.4735029898031926e-15,0,0,8.443460764587526,303.8270883538177,PPP1R15A;CDKN1A;PFKFB3;SDC2;SERPINE1;TNFAIP3;SLC2A3;RBPJ;NDRG1;MT2A;LDHA;ZFP36;NFIL3;HMOX1;IER3;TGM2;JUN;ANXA2;DUSP1;PLAUR;FOS;JMJD6;FOSL2;VEGFA;BHLHE40;MAFF;TGFBI;FBP1;ATF3;MT1E
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,5.153511512744649e-14,2.863061951524805e-13,0,0,9.082131165233658,277.8815440146391,JUN;CXCL8;GADD45B;TPM4;ITGB5;LRP1;GADD45A;SERPINE1;FN1;PLAUR;TNFAIP3;AREG;SAT1;GEM;RHOB;VEGFA;ACTA2;DAB2;BASP1;ANPEP;SPP1;FAS;TGFBI;TGM2
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,7.466408852265133e-13,3.7332044261325666e-12,0,0,11.407786885245901,318.54182426799287,CCR1;JUN;CSF1;STAT1;EBI3;CXCL13;TNFRSF1B;TNF;SOCS3;SOCS1;IL1B;HMOX1;FAS;CD9;MAP3K8;CD36;CD14;A2M;MYD88
MSigDB_Hallmark_2020,p53 Pathway,1.782942034786439e-11,8.104281976301995e-11,0,0,5.715448141850862,141.45831996419093,PPP1R15A;CDKN1A;BTG2;CD82;RGS16;SAT1;NDRG1;CCND2;SOCS1;GM2A;HMOX1;IER5;CTSD;IER3;JUN;ST14;GADD45A;CDKN2A;VDR;TAP1;FOS;KLF4;TNFSF9;FAS;PLXNB2;ATF3;HBEGF
MSigDB_Hallmark_2020,KRAS Signaling Up,3.56958734714528e-11,1.4873280613105334e-10,0,0,6.6687292817679555,160.42285839243925,PPP1R15A;TMEM176B;RGS16;PLAUR;F13A1;TNFAIP3;TNFRSF1B;KLF4;MMP9;EREG;GADD45G;CCND2;MAFB;GPNMB;PLAU;IL1B;EPB41L3;SPP1;IRF8;ADAM8;TRIB1;KCNN4;HBEGF
MSigDB_Hallmark_2020,Coagulation,8.713817520487111e-11,3.3514682771104273e-10,0,0,9.743586956521739,225.69583015548514,C1QA;ANXA1;GSN;LRP1;SERPINE1;FN1;MMP9;THBD;PLAU;MAFF;APOC1;ADAM9;OLR1;CD9;A2M;LGMN;CTSB
MSigDB_Hallmark_2020,Interferon Alpha Response,8.06675536042742e-09,2.8809840572955072e-08,0,0,6.848017452541335,127.61632851540566,IFITM3;CD74;SAMD9L;CSF1;TAP1;IFI35;TMEM140;IFIT2;OASL;PLSCR1;IFI27;OAS1;EPSTI1;IRF7;CMPK2;PSME2;LAP3
MSigDB_Hallmark_2020,Cholesterol Homeostasis,1.0705309428838085e-06,3.568436476279362e-06,0,0,6.924768835148,95.19726117751534,LGALS3;IDI1;PLSCR1;NFIL3;FABP5;ANXA5;PLAUR;LPL;CD9;ATF3;CXCL16;LGMN
MSigDB_Hallmark_2020,Xenobiotic Metabolism,3.0180728730693493e-06,9.431477728341717e-06,0,0,4.5056212938367,57.27046589208706,ALAS1;GCH1;TMEM176B;SERPINE1;MT2A;SERTAD1;DDAH2;KYNU;PDK4;HMOX1;FAS;IRF8;APOE;CD36;BCAT1;FBP1
MSigDB_Hallmark_2020,Estrogen Response Late,7.982309477982154e-06,2.347738081759457e-05,0,0,4.387991083867372,51.507480179012944,TOP2A;BTG3;ST14;DUSP2;IDH2;FOS;KLF4;AREG;ZFP36;RAB31;FABP5;RBBP8;CD9;SGK1;SLC27A2
MSigDB_Hallmark_2020,UV Response Up,1.2320858750823909e-05,3.4224607641177524e-05,0,0,4.2126036928017125,47.62018585079978,BTG3;BTG2;ALAS1;GCH1;TAP1;FOS;CXCL2;ICAM1;RHOB;DNAJA1;NR4A1;HMOX1;FOSB;JUNB;ATF3
