Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.015541364324964307,0.2175791005495003,0,0,11.631336405529954,48.43579429579104,LEF1;TCF7
MSigDB_Hallmark_2020,Myc Targets V1,0.06843942198797846,0.4402438457328901,0,0,2.7300184162062613,7.321380520875458,RPS5;RPS3;RACK1;RPL18
MSigDB_Hallmark_2020,p53 Pathway,0.10818610139856664,0.4402438457328901,0,0,2.7169398907103823,6.042209072147901,RPL36;RACK1;RPL18
MSigDB_Hallmark_2020,Apical Surface,0.12578395592368288,0.4402438457328901,0,0,8.019047619047619,16.62500515722962,MAL
MSigDB_Hallmark_2020,Estrogen Response Early,0.18223146165290094,0.5102480926281227,0,0,2.659340659340659,4.527467989972002,ABLIM1;BCL11B
MSigDB_Hallmark_2020,Inflammatory Response,0.26532476550815787,0.5836135720126855,0,0,2.0434663750683435,2.7112725619502545,CCR7;CD48
MSigDB_Hallmark_2020,TGF-beta Signaling,0.29180678600634274,0.5836135720126855,0,0,2.9972222222222222,3.6915688752752334,SPTBN1
MSigDB_Hallmark_2020,Myogenesis,0.40695699319888856,0.6919150733596978,0,0,1.9599271402550091,1.7620681188089704,ABLIM1
MSigDB_Hallmark_2020,Unfolded Protein Response,0.5517195088809254,0.6919150733596978,0,0,1.2662951705504897,0.7530853628868901,RPS14
MSigDB_Hallmark_2020,KRAS Signaling Up,0.5776223275815614,0.6919150733596978,0,0,1.1774320289171774,0.6462159504085274,KIF5C
MSigDB_Hallmark_2020,E2F Targets,0.6186422427882147,0.6919150733596978,0,0,1.0507093692934402,0.5045801990935896,TIPIN
MSigDB_Hallmark_2020,Apoptosis,0.6468088755990725,0.6919150733596978,0,0,0.9720270621909967,0.4235164961525674,LEF1
MSigDB_Hallmark_2020,Mitotic Spindle,0.6644383119368906,0.6919150733596978,0,0,0.925719246031746,0.3784462833218232,SPTBN1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.6919150733596978,0.6919150733596978,0,0,0.857487922705314,0.31580599112426916,CD48
KEGG_2021_Human,Ribosome,6.086346174527765e-14,3.712671166461936e-12,0,0,20.63430777716492,627.9049440326755,RPL30;RPS5;RPL35A;RPS14;RPS17;RPL36;RPS3;RPL35;RPLP2;RPL13;RPS27A;RPL18;RPL29;RPS21;RPS13
KEGG_2021_Human,Coronavirus disease,3.095547494511594e-12,9.441419858260362e-11,0,0,15.293795370497191,405.301732597542,RPL30;RPS5;RPL35A;RPS14;RPS17;RPL36;RPS3;RPL35;RPLP2;RPL13;RPS27A;RPL18;RPL29;RPS21;RPS13
KEGG_2021_Human,Basal cell carcinoma,0.0118603217930529,0.20573851206513064,0,0,13.575268817204302,60.20030000909871,LEF1;TCF7
KEGG_2021_Human,Cushing syndrome,0.01615563790816809,0.20573851206513064,0,0,6.072561139478635,25.0522671416369,KMT2A;TCF7;LEF1
