Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1.6483879972340355e-20,7.088068388106353e-19,0,0,11.97408808998213,545.44251141254,CD83;SERPINE1;SLC2A3;CXCL3;PTGS2;CXCL2;TNF;IFIT2;SOCS3;NFIL3;PLAU;NAMPT;CCL2;OLR1;IER5;IER3;EGR2;GADD45B;RIPK2;PLAUR;KLF4;RHOB;VEGFA;FOSL2;NR4A2;NR4A1;CXCL10;NR4A3;IL1B;ATF3;HBEGF
MSigDB_Hallmark_2020,Inflammatory Response,4.4235856365388744e-14,9.51070911855858e-13,0,0,10.350382653061224,318.2664075848351,MSR1;CXCL8;RIPK2;SLC31A1;AQP9;SERPINE1;C5AR1;PLAUR;FPR1;ADM;EREG;MARCO;CXCL10;MMP14;IL1B;CLEC5A;NAMPT;STAB1;CCL2;OLR1;CD14;HBEGF
MSigDB_Hallmark_2020,Cholesterol Homeostasis,1.343176813693918e-08,1.2974224214982176e-07,0,0,12.589566020313942,228.19398146658884,LGALS3;PLSCR1;NFIL3;FABP5;PLAUR;CD9;CTNNB1;ATF5;ATF3;CXCL16;LGMN
MSigDB_Hallmark_2020,KRAS Signaling Up,1.4057333173464695e-08,1.2974224214982176e-07,0,0,7.627503613462729,137.90619316590616,PLAUR;EMP1;RETN;KLF4;PTGS2;MMP9;EREG;CXCL10;GPNMB;PLAU;IL1B;SPP1;IRF8;HBEGF;ENG
MSigDB_Hallmark_2020,Interferon Gamma Response,1.508630722672346e-08,1.2974224214982176e-07,0,0,5.692229038854806,102.51407541479365,RIPK2;FPR1;IFIT1;PTGS2;IFIT3;IFI44L;IFIT2;SOCS3;CXCL10;PLSCR1;IFI27;MTHFD2;NAMPT;EPSTI1;CCL2;IRF8;CMPK2;LAP3;FCGR1A
MSigDB_Hallmark_2020,Coagulation,1.0491993597791127e-07,7.519262078416974e-07,0,0,9.95333820662768,159.95082471534295,THBD;MMP14;GSN;PLAU;SERPINE1;FN1;ADAM9;OLR1;CD9;MMP9;LGMN
MSigDB_Hallmark_2020,Apoptosis,1.8273588475184275e-07,1.122520434904177e-06,0,0,6.126912840984697,95.06042502964661,GSN;GADD45B;EMP1;TNF;EREG;RHOB;DNAJA1;LGALS3;IL1B;LMNA;TIMP2;CTNNB1;CD14;ATF3;IER3
MSigDB_Hallmark_2020,Hypoxia,2.5196052641443463e-07,1.354287829477586e-06,0,0,5.958893024761288,90.53938130691152,ANXA2;SDC2;SERPINE1;PLAUR;SLC2A3;ADM;VEGFA;FOSL2;LDHA;NFIL3;PLIN2;TGFBI;FBP1;ATF3;IER3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,2.8909833594866156e-07,1.3812476050880497e-06,0,0,7.804741000877963,117.51207463722652,MMP14;CXCL8;TPM4;GADD45B;ANPEP;SERPINE1;SPP1;PLAUR;FN1;TGFBI;RHOB;VEGFA
MSigDB_Hallmark_2020,Complement,2.1921367290655246e-06,9.426187934981756e-06,0,0,5.286637931034483,68.88824298876148,SERPINE1;PLAUR;FN1;PLA2G7;LGALS3;PLSCR1;MMP14;CTSL;TIMP2;ADAM9;OLR1;CD36;LAP3;LGMN
MSigDB_Hallmark_2020,Interferon Alpha Response,4.154227711473083e-06,1.623925378121296e-05,0,0,6.522630777857887,80.82442276702498,CXCL10;PLSCR1;IFI27;RIPK2;EPSTI1;CMPK2;LAP3;TMEM140;IFIT3;IFI44L;IFIT2
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,1.1876757031517322e-05,4.2558379362937075e-05,0,0,7.426300578034682,84.22113465480095,CCR1;SOCS3;CXCL10;IL1B;CD9;CD36;CD14;CXCL3;TNF
MSigDB_Hallmark_2020,Xenobiotic Metabolism,9.435928854182858e-05,0.0003121114928691253,0,0,4.9371825715049455,45.75978710916987,CYP27A1;IDH1;CYP2S1;AQP9;SERPINE1;IRF8;BLVRB;CD36;BCAT1;FBP1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.00010871459595424617,0.0003339091161451847,0,0,4.084113015284854,37.274819345541,CXCL10;PLSCR1;CD83;GADD45B;NFIL3;SPP1;EMP1;IRF8;PLIN2;SLC2A3;TLR7;RHOB
MSigDB_Hallmark_2020,Allograft Rejection,0.0002241507295955454,0.0006425654248405636,0,0,3.7529411764705882,31.536684641688375,CCR1;RIPK2;IL1B;STAB1;CCL2;IRF8;CD1D;BCAT1;FCGR2B;MMP9;TNF;EREG
MSigDB_Hallmark_2020,Angiogenesis,0.00025649903994274885,0.0006893411698461376,0,0,16.775280898876403,138.70449162872646,THBD;SPP1;OLR1;VEGFA
MSigDB_Hallmark_2020,UV Response Up,0.0005068092238621648,0.0012819292132984167,0,0,4.317334545690719,32.75724012514526,DNAJA1;NR4A1;MMP14;CREG1;RPN1;PPIF;CXCL2;ATF3;RHOB
MSigDB_Hallmark_2020,mTORC1 Signaling,0.0010630014907466075,0.0025393924501168957,0,0,3.2982456140350878,22.581962282785867,LDHA;NFIL3;MTHFD2;IDH1;NAMPT;RPN1;CD9;SLC2A3;NUPR1;BCAT1;LGMN
