Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,3.5135274176137475e-08,1.2297345961648116e-06,0,0,14.444444444444445,247.92531470529335,MMP14;TPM4;ANPEP;PLAUR;FN1;SPP1;TGFBI;SAT1;COLGALT1;RHOB
MSigDB_Hallmark_2020,Cholesterol Homeostasis,3.7833188697424845e-06,6.620808022049348e-05,0,0,20.32758620689655,253.78806247217167,LGALS3;FABP5;PLAUR;CD9;S100A11;ATF3
MSigDB_Hallmark_2020,Complement,0.00023976875382480923,0.002723687521844104,0,0,5.0771498771498775,42.32228681860584,LGALS3;MMP14;CTSL;TIMP2;PLAUR;FN1;ADAM9;LAP3;HSPA1A
MSigDB_Hallmark_2020,Apoptosis,0.0003112785739250405,0.002723687521844104,0,0,5.5,44.41152270843109,IFITM3;LGALS3;LMNA;TIMP2;HMOX1;SAT1;ATF3;RHOB
MSigDB_Hallmark_2020,Hypoxia,0.0007230100541372183,0.005061070378960528,0,0,5.4743589743589745,39.59104272448258,NAGK;ANXA2;PLAUR;HMOX1;TGFBI;FBP1;ATF3
MSigDB_Hallmark_2020,KRAS Signaling Up,0.001673987829423828,0.00947445381187698,0,0,5.468652037617555,34.95861286550266,MAFB;GPNMB;PLAUR;SPP1;MMP9;ENG
MSigDB_Hallmark_2020,Coagulation,0.0018948907623753959,0.00947445381187698,0,0,6.610169491525424,41.43646939058602,MMP14;FN1;CD9;ADAM9;MMP9
MSigDB_Hallmark_2020,Interferon Alpha Response,0.005824945386528607,0.025484136066062653,0,0,4.936440677966102,25.40097706948461,IFITM3;IFI27;MX1;LAP3;IFIT3
MSigDB_Hallmark_2020,UV Response Up,0.009922690912306001,0.03858824243674556,0,0,4.281503316138541,19.750279943695674,MMP14;CREG1;HMOX1;ATF3;RHOB
MSigDB_Hallmark_2020,Interferon Gamma Response,0.03179455497972006,0.1112809424290202,0,0,2.747393744987971,9.474278068241523,IFITM3;IFI27;MX1;CCL2;LAP3;IFIT3
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.05937552232606448,0.18892211649202334,0,0,2.557983942908118,7.2234223525334516,PLAUR;CCL2;SAT1;ATF3;RHOB
MSigDB_Hallmark_2020,Inflammatory Response,0.07077354336832417,0.19926301668097465,0,0,2.7547619047619047,7.295353390395504,MARCO;MMP14;PLAUR;CCL2
MSigDB_Hallmark_2020,p53 Pathway,0.07429782722339179,0.19926301668097465,0,0,2.705263157894737,7.032801134119937,GM2A;HMOX1;SAT1;ATF3
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.08105471402298559,0.19926301668097465,0,0,3.1885245901639343,8.011585316847968,HMOX1;BCAT1;FBP1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.0853984357204177,0.19926301668097465,0,0,2.566666666666667,6.315097238312685,IFITM3;CTSZ;SPP1;RHOB
MSigDB_Hallmark_2020,Apical Junction,0.1017618030936432,0.2226039442673445,0,0,2.8647540983606556,6.546308204369747,ADAM9;TGFBI;MMP9
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.14789241061448946,0.2875685761948406,0,0,7.507936507936508,14.349695497951078,MX1
MSigDB_Hallmark_2020,Pancreas Beta Cells,0.14789241061448946,0.2875685761948406,0,0,7.507936507936508,14.349695497951078,MAFB
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.16661483231330984,0.2915759565482922,0,0,2.9081885856079404,5.211679041688777,HMOX1;CD9
MSigDB_Hallmark_2020,UV Response Dn,0.16661483231330984,0.2915759565482922,0,0,2.9081885856079404,5.211679041688777,ANXA2;MGLL
MSigDB_Hallmark_2020,Angiogenesis,0.21354058753706845,0.34148345369984534,0,0,4.686507936507937,7.235632507015182,SPP1
MSigDB_Hallmark_2020,Estrogen Response Late,0.2146467423256171,0.34148345369984534,0,0,2.433922996878252,3.745227393682497,FABP5;CD9
MSigDB_Hallmark_2020,Apical Surface,0.23429660078777725,0.3565383055466176,0,0,4.164021164021164,6.0426919390346185,PLAUR
MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.28358169968990793,0.4135566453811157,0,0,1.9796264855687606,2.494834206271119,GLUL;MGLL
MSigDB_Hallmark_2020,Glycolysis,0.30330212561112707,0.421525677482721,0,0,1.8790322580645162,2.241734068190681,TGFBI;SLC16A3
MSigDB_Hallmark_2020,Unfolded Protein Response,0.3131333604157356,0.421525677482721,0,0,1.832415420928403,2.1276653851519187,CCL2;ATF3
MSigDB_Hallmark_2020,TGF-beta Signaling,0.3820412414717288,0.495238646352241,0,0,2.197012138188609,2.114023770863987,ENG
MSigDB_Hallmark_2020,Allograft Rejection,0.44576831280859086,0.5572103910107385,0,0,1.2459016393442623,1.0066336300956136,CCL2;BCAT1;MMP9
MSigDB_Hallmark_2020,Adipogenesis,0.5070240538139106,0.6119255821892025,0,0,1.2008324661810614,0.8156016081095352,APLP2;MGLL
MSigDB_Hallmark_2020,mTORC1 Signaling,0.5790913068959759,0.6460031501418791,0,0,1.044525215810995,0.5706190242152906,CD9;BCAT1
MSigDB_Hallmark_2020,Protein Secretion,0.5873802412268575,0.6460031501418791,0,0,1.1597222222222223,0.6170683614122117,CD63
MSigDB_Hallmark_2020,Myogenesis,0.5983788193023502,0.6460031501418791,0,0,1.124098124098124,0.5772595131037096,ATP6AP1
MSigDB_Hallmark_2020,Androgen Response,0.609088684419486,0.6460031501418791,0,0,1.0905695611577964,0.5406950082737335,SAT1
MSigDB_Hallmark_2020,heme Metabolism,0.6676897245078708,0.6873276575816316,0,0,0.9246031746031746,0.37347652994357694,ACP5
