Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,3.196625264907544e-05,0.000575392547683358,0,0,4.354800238521169,45.075796153210426,RPS5;RPL34;RPL22;RPLP0;RPS6;RPL6;EEF1B2;FBL;RACK1;RPS3;RPL14;RPS2;RPL18
MSigDB_Hallmark_2020,Allograft Rejection,0.0627883585341613,0.4378941201322364,0,0,2.2293103448275864,6.1706989242805035,RPS9;RPS19;CD7;KLRD1;LTB;ETS1
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.07298235335537273,0.4378941201322364,0,0,4.837662337662338,12.662763074195484,LEF1;TCF7
MSigDB_Hallmark_2020,p53 Pathway,0.11776342396727876,0.5299354078527544,0,0,1.9985837237171806,4.2751255724311275,LDHB;RPL36;RACK1;RPL18;RPS12
MSigDB_Hallmark_2020,KRAS Signaling Up,0.2111785751887394,0.7386519205127886,0,0,1.945078083874364,3.0246959608281796,SATB1;IL7R;ETS1
MSigDB_Hallmark_2020,Apical Surface,0.2462173068375962,0.7386519205127886,0,0,3.778115501519757,5.295182916157938,MAL
MSigDB_Hallmark_2020,Inflammatory Response,0.36305021444939667,0.876340095854052,0,0,1.4182939362795477,1.4370354460487844,CD48;CCR7;IL7R
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.4435606591805219,0.876340095854052,0,0,1.2383093525179856,1.0066473214968639,CD48;ITGA6;LTB
MSigDB_Hallmark_2020,Estrogen Response Early,0.4669559704300827,0.876340095854052,0,0,1.2874564459930313,0.9804242286356086,ABLIM1;BCL11B
MSigDB_Hallmark_2020,Unfolded Protein Response,0.5208493519270342,0.876340095854052,0,0,1.158712715855573,0.7558218514644852,RPS14;EEF2
MSigDB_Hallmark_2020,Apoptosis,0.6222110128205035,0.876340095854052,0,0,0.9561038961038961,0.45364834730039294,SATB1;LEF1
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.646244651091902,0.876340095854052,0,0,0.9742579458891516,0.42533873792923754,LTB
MSigDB_Hallmark_2020,Myogenesis,0.6594116055717777,0.876340095854052,0,0,0.939209726443769,0.39109383168558925,ABLIM1
MSigDB_Hallmark_2020,Mitotic Spindle,0.6815978523309293,0.876340095854052,0,0,0.8535423925667828,0.32717599005207004,UXT;SUN2
MSigDB_Hallmark_2020,Apical Junction,0.775749094507902,0.9308989134094823,0,0,0.6723040552827787,0.17071557561508374,LDLRAP1
MSigDB_Hallmark_2020,Hypoxia,0.8849498190746646,0.9629153460096517,0,0,0.46187158727170025,0.05645194862226362,ETS1
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.9400188268306283,0.9629153460096517,0,0,0.3534037728566604,0.021859923029143503,IL7R
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.9629153460096517,0.9629153460096517,0,0,0.30100610258947713,0.011374953667094264,LDHB
KEGG_2021_Human,Ribosome,8.418684454676998e-95,7.324255475568988e-93,0,0,131.10858585858585,28400.103403820907,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL23;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL28;RPL10;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS23
KEGG_2021_Human,Coronavirus disease,7.359224872376515e-85,3.2012628194837838e-83,0,0,80.65074906367042,15623.96783081942,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL23;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL28;RPL10;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS23
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.004220207597321127,0.12238602032231267,0,0,10.729496402877698,58.66750178026246,LEF1;TCF7;ITGA6
KEGG_2021_Human,Basal cell carcinoma,0.05755962592788114,0.8930299641635902,0,0,5.603759398496241,15.998362650701504,LEF1;TCF7
KEGG_2021_Human,Hematopoietic cell lineage,0.07579395532979717,0.8930299641635902,0,0,3.2037410071942447,8.264808364092938,CD7;ITGA6;IL7R
KEGG_2021_Human,Mitophagy,0.08267769148678114,0.8930299641635902,0,0,3.0796900940785834,7.677068298929027,TOMM7;RPS27A;UBA52
KEGG_2021_Human,Thyroid cancer,0.08955727568992829,0.8930299641635902,0,0,4.255428571428571,10.267825327432265,LEF1;TCF7
