Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,9.73014623992391e-30,4.865073119961955e-28,0,0,11.741119807344973,784.3340878955737,BTG3;CDKN1A;CD83;SERPINE1;TNFAIP2;TNFAIP3;SLC2A3;AREG;SAT1;CXCL2;ETS2;ZFP36;NAMPT;CCRL2;OLR1;IER5;PHLDA1;IER3;DUSP4;DUSP2;PLAUR;FOS;RHOB;IL1B;SGK1;ATF3;HBEGF;CEBPB;PFKFB3;SDC4;BCL2A1;CEBPD;SOCS3;CCL4;CCL2;JUN;EGR2;GADD45B;TNFRSF9;KLF4;FOSL2;VEGFA;NR4A2;NR4A1;MARCKS;NR4A3;BCL6;TNFSF9;FOSB
MSigDB_Hallmark_2020,Inflammatory Response,4.449286663169015e-19,1.1123216657922536e-17,0,0,9.509989484752891,401.8576627413476,CDKN1A;CXCL8;RGS16;AQP9;SERPINE1;PTAFR;C5AR1;FPR1;ADM;AHR;HIF1A;GNA15;NAMPT;STAB1;CCRL2;CLEC5A;C3AR1;OLR1;NLRP3;CCL2;CD14;TIMP1;LYN;MSR1;CCL22;TNFRSF9;PLAUR;CYBB;EREG;MARCO;MMP14;IL1B;TNFSF9;HBEGF
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,7.501181637278797e-15,1.2501969395464663e-13,0,0,11.504781042128602,374.1782293597103,JUN;CXCL8;SDC4;GADD45B;TPM4;LRP1;SERPINE1;FN1;PLAUR;TNFAIP3;CAPG;AREG;SAT1;RHOB;VEGFA;MMP14;DAB2;VCAN;BASP1;ANPEP;SPP1;TIMP1;TGFBI
MSigDB_Hallmark_2020,Interferon Gamma Response,4.053550643910596e-13,5.066938304888245e-12,0,0,5.606132075471698,159.96544557551007,CDKN1A;CIITA;FGL2;FPR1;TNFAIP2;SECTM1;TNFAIP3;IFI35;IFIT1;HIF1A;OASL;SOCS3;MT2A;HLA-DMA;NAMPT;EPSTI1;CCL2;FCGR1A;HLA-DQA1;CD74;RSAD2;STAT1;MX1;IFI44;PLSCR1;IFI27;OAS3;PELI1;CMPK2;IRF5;LAP3;HLA-DRB1;MYD88
MSigDB_Hallmark_2020,Hypoxia,8.81186201894699e-13,8.81186201894699e-12,0,0,6.873563218390805,190.79298216291886,CDKN1A;PFKFB3;SDC4;SDC2;SERPINE1;TNFAIP3;ADM;SLC2A3;RBPJ;SLC2A5;MT2A;LDHA;ZFP36;HMOX1;GPC4;IER3;JUN;ANXA2;PLAUR;FOS;FOSL2;VEGFA;SLC6A6;PLIN2;TGFBI;FBP1;ATF3
MSigDB_Hallmark_2020,Complement,1.1172441370486625e-11,9.310367808738854e-11,0,0,6.03030303030303,152.0695945877019,CEBPB;LRP1;SERPINE1;TNFAIP3;CTSS;LGALS3;CTSL;TIMP2;OLR1;CTSH;TIMP1;CD36;CTSD;CTSB;LYN;ANXA5;FN1;PLAUR;GZMK;MMP14;PLSCR1;APOC1;GNB4;ADAM9;LAP3;C1QC;HSPA1A
MSigDB_Hallmark_2020,Apoptosis,1.627420672293422e-10,1.1624433373524442e-09,0,0,5.984153461217681,134.87596463536053,BTG3;JUN;CDKN1A;GPX1;GADD45B;EMP1;SAT1;EREG;RHOB;DNAJA1;LGALS3;GNA15;IL1B;PEA15;LMNA;PPT1;TIMP2;PMAIP1;HMOX1;CTNNB1;CD14;TIMP1;ATF3;IER3
MSigDB_Hallmark_2020,Allograft Rejection,4.1947443903931245e-09,2.6217152439957027e-08,0,0,4.56832,88.12030453082951,SPI1;IGSF6;NCF4;CAPG;HIF1A;CTSS;HLA-DMA;HLA-DMB;STAB1;CCL4;NLRP3;CCL2;TIMP1;HLA-DQA1;LYN;CCR1;CD74;CCL22;STAT1;EREG;FGR;IFNG;IL1B;HLA-DRA;BCAT1;FCGR2B
MSigDB_Hallmark_2020,Cholesterol Homeostasis,4.9347105919598255e-09,2.741505884422125e-08,0,0,10.016023738872404,191.57620369930305,ANXA5;PLAUR;LPL;CXCL16;LGALS3;PLSCR1;ALCAM;FABP5;SCD;CD9;CTNNB1;ATF5;ATF3;S100A11
MSigDB_Hallmark_2020,KRAS Signaling Up,4.075652409806716e-08,2.037826204903358e-07,0,0,5.805566760790642,98.78549152789111,RGS16;PLAUR;EMP1;F13A1;TNFAIP3;RETN;KLF4;CSF2RA;CTSS;EREG;GADD45G;LAT2;MAFB;GPNMB;IL1B;C3AR1;SPP1;HBEGF
