Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Myc Targets V1,0.002045024085946018,0.03476540946108231,0,0,4.988553590010405,30.890848430127953,RPS5;RPL34;RPS6;RPS3;RACK1;RPL18
MSigDB_Hallmark_2020,Estrogen Response Early,0.009128521584220449,0.07759243346587381,0,0,5.2494565217391305,24.65329315140336,ABLIM1;CXCL12;BCL11B;TFF3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.02933328843352296,0.16622196778996345,0,0,4.752864157119476,16.77301105122133,CXCL12;CALD1;DCN
MSigDB_Hallmark_2020,p53 Pathway,0.09995076691438763,0.4247907593861474,0,0,2.8089581304771176,6.469248395385225,RPL36;RACK1;RPL18
MSigDB_Hallmark_2020,Unfolded Protein Response,0.15171438350186642,0.43256368977209336,0,0,2.991960420531849,5.642106063198132,RPS14;EEF2
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.1766675699578083,0.43256368977209336,0,0,5.388059701492537,9.340123086292255,TCF7
MSigDB_Hallmark_2020,Estrogen Response Late,0.18106561212428768,0.43256368977209336,0,0,2.662258953168044,4.549523184789226,CXCL12;TFF3
MSigDB_Hallmark_2020,Glycolysis,0.2213552920033618,0.43256368977209336,0,0,2.3203463203463204,3.499050258695536,TFF3;DCN
MSigDB_Hallmark_2020,Hypoxia,0.2290043063499318,0.43256368977209336,0,0,2.2656800563777306,3.3396451888124754,CDKN1C;DCN
MSigDB_Hallmark_2020,TGF-beta Signaling,0.26341332824496494,0.44780265801644037,0,0,3.3776466504685874,4.505884967821155,CDKN1C
MSigDB_Hallmark_2020,Myogenesis,0.4543854202767218,0.6754899324694809,0,0,1.6813606386671294,1.3262732409212399,ABLIM1
MSigDB_Hallmark_2020,Apical Junction,0.5156068700934392,0.6754899324694809,0,0,1.4013911027387336,0.9282964382752074,ADAM23
MSigDB_Hallmark_2020,UV Response Up,0.5388009894086326,0.6754899324694809,0,0,1.3112618724559022,0.8108961408298135,CDKN1C
MSigDB_Hallmark_2020,Apoptosis,0.6157591534119664,0.6754899324694809,0,0,1.0577260755048288,0.512890714651142,DCN
MSigDB_Hallmark_2020,E2F Targets,0.6418601800901843,0.6754899324694809,0,0,0.9842567982007769,0.4364044908559854,TIPIN
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.661476278559747,0.6754899324694809,0,0,0.9323512308586935,0.3853231946235043,CDKN1C
MSigDB_Hallmark_2020,Allograft Rejection,0.6754899324694809,0.6754899324694809,0,0,0.8968283582089552,0.35184103388834154,IL2
KEGG_2021_Human,Ribosome,3.8407747866981266e-38,2.573319107087745e-36,0,0,74.1826592651335,6391.02596028468,RPL4;RPL30;RPL3;RPL32;RPL31;RPL34;RPS4X;RPS14;RPS17;RPL36;RPS3;RPL35;RPL13;RPLP2;RPL37;RPS27A;RPL18;RPS11;RPS13;RPL19;RPL21;RPS8;RPS5;RPS6;RPL35A;RPS20;FAU;RPL29;RPS21
KEGG_2021_Human,Coronavirus disease,7.885249615299333e-36,2.6415586211252764e-34,0,0,54.7235895494131,4423.202097796442,RPL4;RPL30;RPL3;RPL32;RPL31;RPL34;RPS4X;RPS14;RPS17;RPL36;RPS3;RPL35;RPL13;RPLP2;RPL37;RPS27A;RPL18;RPS11;RPS13;RPL19;RPL21;RPS8;RPS5;RPS6;RPL35A;IL2;RPS20;FAU;RPL29;RPS21
KEGG_2021_Human,Intestinal immune network for IgA production,0.018063912692661038,0.4034273834694298,0,0,10.547619047619047,42.33644579596622,CXCL12;IL2
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,0.05172263016544156,0.6167189586865351,0,0,5.777183600713013,17.11120828265863,CXCL12;IL2
KEGG_2021_Human,Mitophagy,0.0644394621703732,0.6167189586865351,0,0,5.0762800417972835,13.919307426413383,TOMM7;RPS27A
KEGG_2021_Human,Axon guidance,0.1327509476107582,0.6167189586865351,0,0,3.2606060606060607,6.584078173025615,ABLIM1;CXCL12
KEGG_2021_Human,Basal cell carcinoma,0.1475502192294959,0.6167189586865351,0,0,6.616010854816825,12.660310324557242,TCF7
KEGG_2021_Human,Measles,0.1711791157253421,0.6167189586865351,0,0,2.763865065751858,4.878345690678114,RACK1;IL2
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.1766675699578083,0.6167189586865351,0,0,5.388059701492537,9.340123086292255,TCF7
KEGG_2021_Human,Autoimmune thyroid disease,0.18237233101032063,0.6167189586865351,0,0,5.1950959488272925,8.840520267784916,IL2
KEGG_2021_Human,Allograft rejection,0.188038141879246,0.6167189586865351,0,0,5.015440041173443,8.381354286189264,IL2
KEGG_2021_Human,Thyroid cancer,0.188038141879246,0.6167189586865351,0,0,5.015440041173443,8.381354286189264,TCF7
KEGG_2021_Human,Cytokine-cytokine receptor interaction,0.19605278271484963,0.6167189586865351,0,0,2.5229885057471266,4.11088520389344,CXCL12;IL2
KEGG_2021_Human,Type I diabetes mellitus,0.1992539592063251,0.6167189586865351,0,0,4.690900337024555,7.567243577878214,IL2
KEGG_2021_Human,Graft-versus-host disease,0.21031709715618074,0.6167189586865351,0,0,4.4056987788331075,6.869096350800665,IL2
KEGG_2021_Human,Proteoglycans in cancer,0.23155848546250804,0.6167189586865351,0,0,2.248018648018648,3.2886777358571853,RPS6;DCN
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.26232420854323785,0.6167189586865351,0,0,2.0554844216816046,2.7505960222707464,TCF7;RPS27A
KEGG_2021_Human,Endometrial cancer,0.27360245830905905,0.6167189586865351,0,0,3.226865671641791,4.1822731820678,TCF7
KEGG_2021_Human,TGF-beta signaling pathway,0.27864481830769183,0.6167189586865351,0,0,3.156391953277093,4.03329243551725,DCN
KEGG_2021_Human,Inflammatory bowel disease,0.2836526874351749,0.6167189586865351,0,0,3.088917116544935,3.8920501489393295,IL2
KEGG_2021_Human,Melanogenesis,0.2836526874351749,0.6167189586865351,0,0,3.088917116544935,3.8920501489393295,TCF7
KEGG_2021_Human,Neuroactive ligand-receptor interaction,0.2836526874351749,0.6167189586865351,0,0,3.088917116544935,3.8920501489393295,THRA
KEGG_2021_Human,Adherens junction,0.2935658812421105,0.6167189586865351,0,0,2.962229667986598,3.630666263698538,TCF7
KEGG_2021_Human,Acute myeloid leukemia,0.3225015389393094,0.6167189586865351,0,0,2.637449118046133,2.984662360195101,TCF7
KEGG_2021_Human,Vascular smooth muscle contraction,0.3225015389393094,0.6167189586865351,0,0,2.637449118046133,2.984662360195101,CALD1
KEGG_2021_Human,Rheumatoid arthritis,0.345719995362916,0.6167189586865351,0,0,2.416417910447761,2.5665405155127607,CXCL12
KEGG_2021_Human,Pathways in cancer,0.3471383251500623,0.6167189586865351,0,0,1.4625675328016465,1.5474431742194594,CXCL12;TCF7;IL2
KEGG_2021_Human,PI3K-Akt signaling pathway,0.3591892493297362,0.6167189586865351,0,0,1.6151515151515152,1.6537631213165294,RPS6;IL2
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,0.35927286003411396,0.6167189586865351,0,0,2.300639658848614,2.355102985356194,TCF7
KEGG_2021_Human,Prostate cancer,0.37691390063346,0.6167189586865351,0,0,2.1623969703720203,2.109933971733168,TCF7
KEGG_2021_Human,Gastric cancer,0.37691390063346,0.6167189586865351,0,0,2.1623969703720203,2.109933971733168,TCF7
KEGG_2021_Human,Breast cancer,0.3812488483973014,0.6167189586865351,0,0,2.1303775241439857,2.0543293772946614,TCF7
KEGG_2021_Human,Leukocyte transendothelial migration,0.3855540774280428,0.6167189586865351,0,0,2.099286177806619,2.000774690761723,CXCL12
KEGG_2021_Human,Colorectal cancer,0.38982978840008375,0.6167189586865351,0,0,2.0690831556503197,1.9491695968063127,TCF7
KEGG_2021_Human,HIF-1 signaling pathway,0.39829345235509084,0.6167189586865351,0,0,2.0111940298507465,1.8514373016499648,RPS6
KEGG_2021_Human,Th1 and Th2 cell differentiation,0.4024818001534226,0.6167189586865351,0,0,1.9834389695358823,1.805138517054397,IL2
KEGG_2021_Human,Salmonella infection,0.41337422672694096,0.6167189586865351,0,0,1.4359435943594359,1.2685154120062723,TCF7;RPS3
KEGG_2021_Human,Chagas disease,0.41894984178398875,0.6167189586865351,0,0,1.8796278348517155,1.6352838768792357,IL2
KEGG_2021_Human,Cushing syndrome,0.41894984178398875,0.6167189586865351,0,0,1.8796278348517155,1.6352838768792357,TCF7
KEGG_2021_Human,C-type lectin receptor signaling pathway,0.42701533918717954,0.6167189586865351,0,0,1.8316644624976384,1.5586280281028,IL2
KEGG_2021_Human,Hippo signaling pathway,0.4310066196871195,0.6167189586865351,0,0,1.8085820895522389,1.522160253904189,TCF7
KEGG_2021_Human,Wnt signaling pathway,0.4310066196871195,0.6167189586865351,0,0,1.8085820895522389,1.522160253904189,TCF7
KEGG_2021_Human,Apelin signaling pathway,0.434970503838747,0.6167189586865351,0,0,1.7860696517412935,1.486862008099695,RPS6
KEGG_2021_Human,Oxytocin signaling pathway,0.4389071768968213,0.6167189586865351,0,0,1.7641062977793958,1.452683903596241,EEF2
KEGG_2021_Human,AMPK signaling pathway,0.44281682287281404,0.6167189586865351,0,0,1.742672181262363,1.419579167509036,EEF2
KEGG_2021_Human,Thyroid hormone signaling pathway,0.44281682287281404,0.6167189586865351,0,0,1.742672181262363,1.419579167509036,THRA
KEGG_2021_Human,NF-kappa B signaling pathway,0.4543854202767218,0.6167189586865351,0,0,1.6813606386671294,1.3262732409212399,CXCL12
KEGG_2021_Human,JAK-STAT signaling pathway,0.4581887738320689,0.6167189586865351,0,0,1.6618630983015954,1.2970409561492575,IL2
KEGG_2021_Human,Cell cycle,0.4581887738320689,0.6167189586865351,0,0,1.6618630983015954,1.2970409561492575,CDKN1C
KEGG_2021_Human,T cell receptor signaling pathway,0.4657172822218474,0.6167189586865351,0,0,1.6241824584940465,1.241162098130348,IL2
KEGG_2021_Human,Th17 cell differentiation,0.4694427894479596,0.6167189586865351,0,0,1.6059701492537313,1.214448826804903,IL2
KEGG_2021_Human,Insulin signaling pathway,0.5018409836726312,0.6355085862239302,0,0,1.4586160108548167,1.0056748618634506,RPS6
KEGG_2021_Human,Hepatocellular carcinoma,0.5087714364986108,0.6355085862239302,0,0,1.4294369735481012,0.9659511939771105,TCF7
KEGG_2021_Human,mTOR signaling pathway,0.5122009500909289,0.6355085862239302,0,0,1.415276558384548,0.946874152307485,RPS6
KEGG_2021_Human,Yersinia infection,0.5546947650149515,0.6629129086148523,0,0,1.2536015574302402,0.7387941439342286,IL2
KEGG_2021_Human,Transcriptional misregulation in cancer,0.5639706834484564,0.6629129086148523,0,0,1.2213508727548696,0.699532386848895,BCL11B
KEGG_2021_Human,Ubiquitin mediated proteolysis,0.5639706834484564,0.6629129086148523,0,0,1.2213508727548696,0.699532386848895,RPS27A
KEGG_2021_Human,Chemokine signaling pathway,0.5877858581516389,0.677247499106766,0,0,1.1428571428571428,0.6073058105515142,CXCL12
KEGG_2021_Human,Regulation of actin cytoskeleton,0.5963821260790924,0.677247499106766,0,0,1.1159319680666435,0.5767958475944627,CXCL12
KEGG_2021_Human,Pathogenic Escherichia coli infection,0.6103183774622519,0.6815221881661814,0,0,1.073735798618846,0.5301833868451407,RPS3
KEGG_2021_Human,Thermogenesis,0.6662125037912506,0.7317416025248163,0,0,0.9202066590126292,0.3737387916598963,RPS6
KEGG_2021_Human,Human cytomegalovirus infection,0.6800328982294007,0.7348742609898362,0,0,0.8855721393034826,0.34148910546018324,CXCL12
KEGG_2021_Human,Parkinson disease,0.7039214358526378,0.7390978311472671,0,0,0.8283150720386506,0.2908119175828039,RPS27A
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,0.7060038984093298,0.7390978311472671,0,0,0.8234688625836336,0.28667793694525506,IL2
KEGG_2021_Human,Shigellosis,0.7201824807672679,0.742341941713953,0,0,0.7910447761194029,0.2596609647673576,RPS27A
KEGG_2021_Human,Human papillomavirus infection,0.7447493817845262,0.756033463326716,0,0,0.7370364671487921,0.21721018753086405,TCF7
KEGG_2021_Human,Pathways of neurodegeneration,0.8841221640940787,0.8841221640940787,0,0,0.4633716662588696,0.05706886888102388,RPS27A
