Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,5.037755397056161e-60,2.468500144557519e-58,0,0,26.18547423450336,3575.3160767326203,BTG3;BTG2;CDKN1A;CD83;CSF1;SERPINE1;TNFAIP2;TNFAIP3;SLC2A3;CXCL3;AREG;TNF;SAT1;CXCL2;IFIT2;ZFP36;KYNU;NAMPT;OLR1;MAP3K8;JUNB;IER5;PHLDA1;IER2;IER3;DUSP4;DUSP5;DUSP2;PLAUR;TAP1;FOS;GEM;RHOB;IL1B;SIK1;TRIB1;SGK1;ATF3;HBEGF;PTGER4;PPP1R15A;CEBPB;PFKFB3;CEBPD;SOCS3;NFIL3;DNAJB4;CCL4;CCL2;EGR1;JUN;EGR2;GADD45B;GADD45A;TNFRSF9;KLF4;FOSL2;VEGFA;NR4A2;NR4A1;MARCKS;NR4A3;BCL6;MAFF;BHLHE40;BCL3;TNFSF9;FOSB;CD69
MSigDB_Hallmark_2020,Inflammatory Response,9.287588635479282e-20,2.275459215692424e-18,0,0,10.527842527842528,461.3618842521789,PTGER4;CDKN1A;BTG2;CXCL8;CSF1;CD82;RGS16;SERPINE1;EBI3;C5AR1;FPR1;GNA15;NAMPT;CLEC5A;OLR1;CCL2;CD14;MSR1;CCL22;TNFRSF9;OSM;PLAUR;CYBB;TNFRSF1B;EREG;MARCO;IL1B;IL2RB;IRF7;TNFSF9;CD69;HBEGF
MSigDB_Hallmark_2020,Complement,4.703843578264275e-19,7.682944511164983e-18,0,0,9.857129857129857,415.97814280039825,C1QA;CPM;DOCK4;CEBPB;LRP1;SERPINE1;TNFAIP3;PLA2G7;CTSL;KYNU;TIMP2;OLR1;CD36;CTSD;CTSC;CTSB;DUSP5;FCER1G;APOBEC3G;GZMA;ANXA5;FN1;PLAUR;GZMK;PLSCR1;MAFF;APOC1;IRF7;ADAM9;LAP3;LGMN;C1QC
MSigDB_Hallmark_2020,Interferon Gamma Response,8.221422108142704e-19,1.0071242082474812e-17,0,0,8.427405927405927,350.9371858291623,CDKN1A;SAMD9L;FPR1;TNFAIP2;TNFAIP3;IFI35;IFIT2;OASL;SOCS3;MT2A;HLA-DMA;NAMPT;EPSTI1;CCL2;HLA-DQA1;CD74;STAT1;GZMA;MX1;TAP1;BPGM;PLSCR1;IFI27;MTHFD2;OAS2;IRF4;IL2RB;IRF7;PSME2;CMPK2;IRF8;LAP3;CD69;HLA-DRB1;MYD88
MSigDB_Hallmark_2020,Allograft Rejection,1.6745003727657658e-16,1.6410103653104506e-15,0,0,8.110893133711926,294.6350601862992,CSF1;CXCL13;TNF;HLA-DMA;HLA-DMB;CCND2;CXCR3;CCL4;CCL2;CCR5;HLA-DQA1;CCR1;SRGN;CD74;CCL22;STAT1;CDKN2A;GZMA;TAP2;TAP1;MMP9;EREG;IFNG;IRF4;IL1B;BCL3;IL2RB;IRF7;HLA-DRA;IRF8;BCAT1
MSigDB_Hallmark_2020,Hypoxia,2.3740171484506455e-14,1.6618120039154518e-13,0,0,8.303818953323903,260.50415129901876,PPP1R15A;CDKN1A;PFKFB3;SERPINE1;TNFAIP3;SLC2A3;MT2A;LDHA;ZFP36;NFIL3;HMOX1;IER3;TGM2;JUN;ANXA2;PLAUR;FOS;JMJD6;FOSL2;VEGFA;DDIT3;BHLHE40;MAFF;TGFBI;FBP1;ATF3
MSigDB_Hallmark_2020,Apoptosis,2.3740171484506455e-14,1.6618120039154518e-13,0,0,8.303818953323903,260.50415129901876,BTG3;CDKN1A;BTG2;TNF;SAT1;GNA15;CCND2;BCL2L11;LMNA;TIMP2;PMAIP1;HMOX1;CD14;IER3;JUN;GSN;GADD45B;GADD45A;TAP1;EREG;RHOB;DNAJA1;DDIT3;IL1B;CD69;ATF3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,4.2842435297541036e-14,2.6240991619743886e-13,0,0,10.437971149371801,321.29377130708286,JUN;CXCL8;GADD45B;TPM4;ITGB5;LRP1;GADD45A;SERPINE1;FN1;PLAUR;TNFAIP3;AREG;SAT1;GEM;RHOB;VEGFA;ACTA2;DAB2;BASP1;SPP1;TGFBI;TGM2
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,9.071988837440561e-14,4.939193922606529e-13,0,0,7.033668864977439,211.2281081745212,CYFIP1;CD83;CSF1;RGS16;CTSZ;SLC2A3;CST7;CCND2;NFIL3;SPP1;CTLA4;MAP3K8;ICOS;TNFRSF4;PHLDA1;TGM2;GADD45B;TNFRSF9;TNFRSF18;TNFRSF1B;RHOB;BATF;PLSCR1;IRF4;BHLHE40;MAFF;IL2RB;IRF8
MSigDB_Hallmark_2020,KRAS Signaling Up,8.002949484953918e-13,3.92144524762742e-12,0,0,8.22190596668775,229.01129193487446,PPP1R15A;FCER1G;TMEM176B;RGS16;PLAUR;F13A1;TNFAIP3;BPGM;TNFRSF1B;KLF4;MMP9;EREG;GADD45G;CCND2;MAFB;GPNMB;IL1B;EPB41L3;SPP1;TLR8;IRF8;TRIB1;HBEGF
