Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1.3590767877761266e-40,5.8440301874373444e-39,0,0,30.728237986270024,2820.7477122257096,PPP1R15A;BTG3;BTG2;CDKN1A;CEBPB;CD83;TNFAIP3;SLC2A3;TNF;AREG;SOCS3;ZFP36;NFIL3;DNAJB4;CCL4;PDE4B;OLR1;IER5;JUNB;PHLDA1;DUSP4;DUSP5;JUN;DUSP2;TNFRSF9;PLAUR;TAP1;FOS;KLF4;GEM;RHOB;FOSL2;NR4A2;NR4A1;MARCKS;BHLHE40;FOSB;TNFSF9;CD69;SGK1;ATF3;HBEGF
MSigDB_Hallmark_2020,Inflammatory Response,9.820155031031811e-13,2.1113333316718393e-11,0,0,12.973428571428572,358.7045229651889,BTG2;CDKN1A;CD82;TNFRSF9;C5AR1;PLAUR;CYBB;AHR;HIF1A;IL2RB;PDE4B;IRF7;TNFSF9;OLR1;CD69;CD14;HBEGF
MSigDB_Hallmark_2020,Interferon Gamma Response,1.3603826694315826e-11,1.5899538846757043e-10,0,0,8.410028562361155,210.42454925003074,IFITM3;CD74;CDKN1A;RSAD2;STAT1;GZMA;TAP1;TNFAIP3;HIF1A;IFI44L;OASL;SOCS3;PLSCR1;IFI27;MTHFD2;IL2RB;PDE4B;IRF7;CD69;HLA-DQA1
MSigDB_Hallmark_2020,Hypoxia,1.4790268694657714e-11,1.5899538846757043e-10,0,0,10.671036106750392,266.1041787883587,PPP1R15A;JUN;CDKN1A;ANXA2;PLAUR;TNFAIP3;SLC2A3;FOS;FOSL2;ZFP36;XPNPEP1;NFIL3;BHLHE40;HMOX1;TGFBI;FBP1;ATF3
MSigDB_Hallmark_2020,Complement,1.2527624614224058e-10,1.077375716823269e-09,0,0,9.143800539083559,208.4832228004039,C1QA;DUSP5;CEBPB;APOBEC3G;GZMA;PLAUR;FN1;TNFAIP3;GZMK;PLSCR1;XPNPEP1;TIMP2;IRF7;OLR1;CTSD;CTSC;CTSB
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,9.480995786099998e-10,6.794713646704998e-09,0,0,13.862068965517242,288.00612946695696,JUN;TPM4;BASP1;IGFBP2;PLAUR;FN1;SPP1;TNFAIP3;TGFBI;AREG;GEM;RHOB
MSigDB_Hallmark_2020,Apoptosis,2.906079914000446e-09,1.785163375743131e-08,0,0,8.612388617418798,169.2890790159937,IFITM3;BTG3;BTG2;JUN;CDKN1A;TAP1;TNF;RHOB;SMAD7;TIMP2;HMOX1;PMAIP1;CD69;CD14;ATF3
MSigDB_Hallmark_2020,Allograft Rejection,1.0587634246240004e-08,5.690853407354002e-08,0,0,7.113195956888368,130.62373658931625,CCR1;CD74;STAT1;GZMA;TAP1;CXCL13;TNF;HIF1A;MMP9;HLA-DMB;CCL4;IL2RB;IRF7;HLA-DRA;CCR5;HLA-DQA1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,1.3352876792135553e-08,6.379707800686986e-08,0,0,7.591358964598402,137.64298306097865,IFITM3;CD83;TNFRSF9;SLC2A3;AHR;CST7;RHOB;PLSCR1;NFIL3;BHLHE40;IL2RB;SPP1;CTLA4;PHLDA1;TNFRSF4
MSigDB_Hallmark_2020,p53 Pathway,6.830769008344337e-08,2.9372306735880646e-07,0,0,6.6216590883886,109.25236556721919,PPP1R15A;BTG2;JUN;CDKN1A;CD82;VDR;TAP1;FOS;KLF4;HMOX1;TNFSF9;IER5;CTSD;ATF3;HBEGF
