,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.07319270960960429,-1.4390390164858098,2.824680767027251,-0.5094519116226655,0.6104354972617425,0.9684612532361087
FO538757.3,0.020045511010862962,-2.0508442046751907,3.667776044854622,-0.5591519710022205,0.5760580084350335,0.9684612532361087
FO538757.2,2.462869942883102,-0.21817704667211682,0.9115236258575417,-0.23935424215347198,0.810830908305907,0.977248177059128
AP006222.2,0.64041094473298,0.2185527684815754,1.3229982206757447,0.1651950585163642,0.8687904545650157,0.9831395078302184
RP4-669L17.10,0.03375707843234718,-1.393104228447489,2.849099444428488,-0.4889630058970923,0.624867887850798,0.9684612532361087
RP5-857K21.4,0.0,,,,,
RP11-206L10.9,0.7968698893742575,-0.3650311941035285,1.0920397380933677,-0.33426548629159775,0.7381792319737963,0.9684612532361087
LINC00115,0.13764920552035767,-2.3552612654511087,2.1334357337022065,-1.1039757271544162,0.269603667099824,0.9684612532361087
FAM41C,0.038545117211987966,-2.0401718867493925,2.9527706431860903,-0.6909347637471808,0.4896065383396553,0.9684612532361087
RP11-54O7.3,0.0,,,,,
SAMD11,0.021721532186550402,-2.244456249962244,4.125479346070023,-0.5440473849663889,0.5864088656591655,0.9684612532361087
NOC2L,5.5241847323126425,0.462887398009394,0.862137366155872,0.5369067809615218,0.5913320068102978,0.9684612532361087
KLHL17,0.19722598272837513,-1.6716671642799197,1.9788511554616057,-0.8447664998280129,0.3982412222172793,0.9684612532361087
PLEKHN1,0.013368453687039681,-2.0387889896647953,2.892196964613617,-0.7049274356517303,0.4808553954277853,0.9684612532361087
PERM1,0.0,,,,,
RP11-54O7.17,0.0,,,,,
HES4,0.5475572275437008,-0.2794958027036375,1.7455829205977507,-0.16011602737722025,0.8727896760397916,0.9834188122203833
ISG15,19.549566225442682,0.39830018206068823,0.7878707294157422,0.5055400171498361,0.613179599240878,0.9684612532361087
AGRN,0.15147799014201058,-1.9604974656072078,2.15923389166672,-0.9079597505270228,0.363899487278064,0.9684612532361087
RP11-54O7.18,0.0,,,,,
RNF223,0.005757435498585296,-2.054645791232878,4.1388724012142015,-0.4964264640364646,0.6195935576073708,0.9684612532361087
C1orf159,0.270523596248523,-1.3985637988702508,1.473494783103976,-0.9491474383941285,0.3425456300385731,0.9684612532361087
RP11-465B22.8,0.004767471517223594,-2.054645385102243,4.138872431151526,-0.4964263623197961,0.6195936293568248,0.9684612532361087
TTLL10,0.021721532186550402,-2.244456249962244,4.125479346070023,-0.5440473849663889,0.5864088656591655,0.9684612532361087
TNFRSF18,0.9136811967837537,0.6368111955287248,1.4530333808016507,0.43826329383939594,0.6611954311645714,0.9684612532361087
TNFRSF4,0.5238910562043293,-0.03284485537415131,1.6548269177326782,-0.019847909785727265,0.9841646989164112,0.9980865535587922
SDF4,9.266208163368685,0.2746213722658174,0.7761938456156385,0.3538051400652389,0.7234849211316398,0.9684612532361087
B3GALT6,0.3811657442880566,-2.2569765930672316,1.696654159198069,-1.3302514132485324,0.1834354496551327,0.9684612532361087
FAM132A,0.0,,,,,
RP5-902P8.12,0.01705505180436066,-1.399639707139845,3.495443955617776,-0.40041829447455013,0.6888484518317661,0.9684612532361087
UBE2J2,4.079343785760046,-0.18102185891686154,0.6979249880111223,-0.2593715113034135,0.7953486084521997,0.9756191446935485
SCNN1D,0.0,,,,,
ACAP3,1.1686693372967258,0.3710936581221158,1.1975442144426507,0.30987887849704704,0.7566530652600623,0.9684612532361087
PUSL1,0.8569510376987175,0.7143274784309984,0.8448946948724609,0.8454633255080718,0.3978522008336407,0.9684612532361087
CPSF3L,4.718945792209878,-0.5791991667862364,0.6607411085498144,-0.8765901792571298,0.3807092753049274,0.9684612532361087
CPTP,1.4010678920653044,-0.9775584955661425,1.0697111563658273,-0.9138527627282502,0.36079421757302654,0.9684612532361087
TAS1R3,0.12201684531519479,-1.18393594461681,3.0667571422733477,-0.3860546791583156,0.6994561736348991,0.9684612532361087
DVL1,0.3973368772563331,-2.668225270876977,2.1441078090020596,-1.2444454796882902,0.21333565330681237,0.9684612532361087
MXRA8,0.296243946235653,-3.400857076353489,2.043309833764492,-1.6643863892574333,0.09603523826881054,0.9684612532361087
AURKAIP1,15.010843565364363,-0.017565777350268215,0.615043533970664,-0.02856021790338187,0.9772153406452795,0.9973396709457396
CCNL2,8.849535823189795,0.3262234976455563,0.7980059156127767,0.40879834505368823,0.6826876545114566,0.9684612532361087
MRPL20,13.687855517929501,-0.06339680063197323,0.4078060920714251,-0.15545819904247438,0.8764601055804502,0.9834849758379826
RP4-758J18.13,0.2650073189947113,-2.377229407080958,3.5913031266610815,-0.6619406168844132,0.5080092798777521,0.9684612532361087
