,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.02777833895449464,-2.5514266285610083,2.4712697396106837,-1.0324355078142753,0.3018681451130759,0.9404469352291719
FO538757.3,0.022592788201067363,-1.395300860881455,2.4796990454985104,-0.5626895987294895,0.5736462681533531,0.9404469352291719
FO538757.2,2.160396189324018,0.08659715962577774,0.9499091137832177,0.0911636264662057,0.927362576440511,0.9868633790505565
AP006222.2,0.426920513020037,0.19173219369324976,1.0660726905778337,0.1798490810127843,0.8572710507148207,0.971474909304115
RP4-669L17.10,0.02191759866072185,-1.4919414995477376,2.49791023440873,-0.5972758664407686,0.5503232144042467,0.9404469352291719
RP5-857K21.4,0.0,,,,,
RP11-206L10.9,0.6351957018950415,-0.544162671869324,0.9723173306299701,-0.5596554280450374,0.5757144899987945,0.9404469352291719
LINC00115,0.15373949338195642,-0.24738204084985227,1.351368958066086,-0.18306032514160692,0.8547506856240418,0.970706254891073
FAM41C,0.04315687528644735,-0.876224925212899,1.910114654981221,-0.45872896840400057,0.6464288088113915,0.9417762198892455
RP11-54O7.3,0.0,,,,,
SAMD11,0.02461233331863559,-2.8210166246312802,3.329806215609566,-0.8472014411549939,0.3968828503875833,0.9404469352291719
NOC2L,4.566454207573757,0.9980999597661586,0.8716614040381501,1.1450546681799334,0.2521865122038257,0.9404469352291719
KLHL17,0.16704605001231343,-1.1564682751363422,1.4272640464346313,-0.8102693247442554,0.4177854015185425,0.9404469352291719
PLEKHN1,0.015077054032792286,-1.7175040856892843,1.8796079402144117,-0.9137565600480301,0.3608447768467913,0.9404469352291719
PERM1,0.0,,,,,
RP11-54O7.17,0.0,,,,,
HES4,0.3725366172796394,-1.1559531061094308,1.5687227292619579,-0.7368753474065336,0.46119815712827394,0.9404469352291719
ISG15,16.78566843558248,1.1406587049163834,0.8352102501169237,1.365714447058928,0.17202860800378283,0.9404469352291719
AGRN,0.15445888460798052,-1.5829474788559688,1.7176591145989657,-0.9215725433538953,0.3567515856498389,0.9404469352291719
RP11-54O7.18,0.0,,,,,
RNF223,0.00654738564674511,-2.1152251949834104,3.2841296311570782,-0.6440748181545336,0.5195269187949415,0.9404469352291719
C1orf159,0.2331249341027269,-1.7868854116978246,1.325221515660535,-1.3483673412947728,0.17754026268062706,0.9404469352291719
RP11-465B22.8,0.0053636627501881294,-2.183594959671641,3.291583645772002,-0.6633873523088017,0.5070825040731088,0.9404469352291719
TTLL10,0.02461233331863559,-2.8210166246312802,3.329806215609566,-0.8472014411549939,0.3968828503875833,0.9404469352291719
TNFRSF18,0.52154707277928,-0.729238313377682,1.4888880798863797,-0.4897871930261754,0.6242844941649381,0.9404469352291719
TNFRSF4,0.39231187576117277,0.49796982365112263,1.6500872797120696,0.3017839297191694,0.7628167822807106,0.9524358295204068
SDF4,8.155095202256657,1.0870465207034241,0.8111959040690497,1.340054252309062,0.18022770759583018,0.9404469352291719
B3GALT6,0.36576524748917255,-1.3850758350866006,1.4467450777899022,-0.9573738016116082,0.33837861688621385,0.9404469352291719
FAM132A,0.0,,,,,
RP5-902P8.12,0.003166005635859048,-2.3316467922663633,3.308358322966972,-0.7047745632871222,0.4809505406649227,0.9404469352291719
UBE2J2,3.423858011685428,0.23919720199644262,0.7335445711893593,0.3260840736761387,0.7443607464160706,0.9497948860241746
SCNN1D,0.0,,,,,
ACAP3,0.8499243778840081,-0.44753354614143864,1.0936959623635578,-0.40919374446101603,0.6823974847397304,0.9432578953333363
PUSL1,0.6338859024251653,0.7549558599301155,0.7937351253817033,0.9511433169434966,0.34153162807574655,0.9404469352291719
CPSF3L,4.404905174532697,0.547704381262463,0.6243580084469129,0.8772280868549674,0.3803627633668024,0.9404469352291719
CPTP,1.3599235934502591,0.7120763847664121,0.9833566492537903,0.724128306150941,0.46898696812890517,0.9404469352291719
TAS1R3,0.08966702813520201,-2.139958932712687,2.74315047224988,-0.7801099335821463,0.43532616993347817,0.9404469352291719
DVL1,0.4331472347986155,-1.282565999958748,1.7139180302085173,-0.7483240022877345,0.45426475025549684,0.9404469352291719
MXRA8,0.33669644133805254,-2.3986711102337783,1.3506149416771551,-1.7759844321396128,0.07573548313239492,0.9404469352291719
AURKAIP1,14.187206498893929,0.860846515403378,0.5454457023847844,1.578244198532697,0.11450951991695564,0.9404469352291719
CCNL2,7.899135830489154,-0.24904745316831842,0.7907736750210835,-0.3149415073303728,0.7528060657361726,0.9508634885392974
MRPL20,12.213513246595003,0.7118455156261885,0.3882980995992221,1.8332449125064285,0.06676615754387019,0.9404469352291719
