,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.017341994190495976,-2.903679912174883,3.084329460495985,-0.9414298794487239,0.3464846075475341,0.9318833686895616
FO538757.3,0.0511991891490978,-1.3536907508856457,2.4860608483178264,-0.544512316261933,0.5860889753969902,0.9394192385811901
FO538757.2,14.283662696782603,-0.42990549091120384,0.5260563908453791,-0.8172232072313396,0.4138008824925976,0.9318833686895616
AP006222.2,3.4408741397641607,-0.2667941348259552,0.8085312870524606,-0.3299737921071255,0.7414197649236407,0.9597226754658185
RP4-669L17.10,0.03007018824648589,-3.0126312656483987,3.122454974875054,-0.964827768499352,0.33463108496086547,0.9318833686895616
RP5-857K21.4,0.041665103749161415,-2.782727599463627,3.235478227985894,-0.8600668597902738,0.38975218800680966,0.9318833686895616
RP11-206L10.9,2.630252806891377,0.08198127112870449,0.7480966845096861,0.1095864649934069,0.9127373453721279,0.9880485411531206
LINC00115,2.3296457006846008,0.06187866340166942,0.8366579340031363,0.07395933378125051,0.9410427435407263,0.9907998044558235
FAM41C,1.0008464447395649,0.32434034214880086,1.4137800069970405,0.22941358665675332,0.8185474771142875,0.9754242358847706
RP11-54O7.3,0.0,,,,,
SAMD11,0.2676791413243898,-2.4353202507183362,1.8683245612997261,-1.3034781542582579,0.19241156979659324,0.9318833686895616
NOC2L,21.549250098266057,-0.08177741532482893,0.41893792010675296,-0.19520175042638913,0.845235008777979,0.9799384305332898
KLHL17,0.9479694908700661,-0.5366776073179165,0.7653753289099557,-0.7011953312922307,0.4831811230489508,0.9318833686895616
PLEKHN1,2.514552336425714,0.17067404192268099,0.8067485033259292,0.21155792817594862,0.8324519347782441,0.9782962552251673
PERM1,0.012183068696631653,-2.9135836639077373,3.716016956883411,-0.7840609172976791,0.433004366610246,0.9318833686895616
RP11-54O7.17,0.6032668994838689,-1.6128737911084314,1.7062265673764196,-0.9452869987767614,0.34451237411318714,0.9318833686895616
HES4,5.216312446704941,0.19658660981914758,1.1361348470515802,0.17303105377791708,0.8626270183780683,0.9817554370333711
ISG15,140.2273910732007,0.03817092300371331,0.41626211579746153,0.09169924803410631,0.9269369948578277,0.9893516092639961
AGRN,0.7810139985577053,0.09429920412048547,1.0103277776525812,0.09333525832535497,0.9256372222340612,0.9891533107826361
RP11-54O7.18,0.06551981104316221,-0.6484584734461336,2.120784959680033,-0.30576342522910377,0.7597847779994723,0.9625050152321288
RNF223,0.03088937458450973,-2.370686093012686,2.7126854230496082,-0.8739259159462561,0.38215860017540293,0.9318833686895616
C1orf159,2.5109256291949635,-0.16959384272680883,0.962855894705611,-0.17613626676571514,0.860186889544006,0.9811290362668428
RP11-465B22.8,0.012183068696631653,-2.9135836639077373,3.716016956883411,-0.7840609172976791,0.433004366610246,0.9318833686895616
TTLL10,0.3562374168448639,0.23027487126418908,1.311384657308221,0.17559674042310108,0.8606107633287362,0.9811290362668428
TNFRSF18,39.89435525859989,0.9119976713357535,0.6949164994667765,1.3123845412154522,0.18939042012148755,0.9318833686895616
TNFRSF4,11.770999208991764,0.18839522097878497,0.6202408201049701,0.303745279046453,0.7613219590379333,0.9629402862182563
SDF4,47.32220388122587,0.46010548743227,0.4737210397970275,0.9712582908063545,0.33141967317217047,0.9318833686895616
B3GALT6,1.3752076281292591,0.8753103931731315,1.2616992821040907,0.6937551646327387,0.487835764350681,0.9318833686895616
FAM132A,0.030991089450930362,-2.895338841354751,2.7784448144759972,-1.0420717468526721,0.29737841636025586,0.9318833686895616
RP5-902P8.12,0.15663380253806353,-2.8391927550231024,2.5452733193945773,-1.1154765711756398,0.2646462528416357,0.9318833686895616
UBE2J2,20.31452847581442,0.37150714994431994,0.47567012962329214,0.7810184554546986,0.43479164019543715,0.9318833686895616
SCNN1D,0.13059726092935864,-0.8167776666129979,1.5358890522964013,-0.5317947057385323,0.5948681899730981,0.939778975895159
ACAP3,3.311973454040768,0.458511742882025,0.6608967465183555,0.6937721290012289,0.48782512382571297,0.9318833686895616
PUSL1,5.390280118160797,0.6469370492448399,0.5502891714523682,1.1756310732726043,0.23974233291145508,0.9318833686895616
CPSF3L,22.690079232784846,0.07420384357964477,0.4354210852071145,0.1704185812323457,0.8646809601721263,0.9822531281639006
CPTP,4.460910016111453,1.4324300692204293,0.912235238972292,1.5702419814807633,0.11635882617490367,0.9318833686895616
TAS1R3,0.05819162961435506,-1.3421521514079862,2.9881230059282364,-0.4491622830603847,0.6533145934598623,0.9509331465105756
DVL1,1.1465710532410853,-0.742429327678939,1.0033747779449937,-0.7399322207395967,0.4593411223634979,0.9318833686895616
MXRA8,0.8174081284436414,-0.23988578961925217,1.931364420905622,-0.12420534779592196,0.901152688100427,0.9879680989979571
AURKAIP1,69.2683885907266,0.20038373398966164,0.339314355216509,0.5905548377456686,0.554818732531796,0.9318833686895616
CCNL2,26.6333324319299,0.1570544637159252,0.44729703689394607,0.3511189450449294,0.7254991155841108,0.9578247547468393
MRPL20,60.12736974585076,-0.12352347846647302,0.26474884372088564,-0.4665685286115886,0.6408086077502666,0.9507548615563255
RP4-758J18.13,1.9961839782391544,-3.2793375346383824,4.316807872839631,-0.7596672428419214,0.4474535138893363,0.9318833686895616
ANKRD65,0.16222497347101328,-2.426794602187506,2.315443626241972,-1.0480905579749569,0.2945968860967024,0.9318833686895616
RP4-758J18.7,0.0,,,,,
RP4-758J18.10,0.0,,,,,
VWA1,0.4322430922264077,-4.179915941142673,2.205910854741563,-1.8948707433747942,0.05810952802361901,0.9318833686895616
ATAD3C,0.41196668085863636,-2.4038816737271085,1.234008128081604,-1.9480274230155976,0.05141168194068332,0.9318833686895616
ATAD3B,5.384955763243965,0.48995715867310885,0.7582696661130617,0.6461516009003239,0.518181180264933,0.9318833686895616
ATAD3A,2.3840632172997887,0.06703485723849016,0.8838692772385002,0.07584250178706202,0.9395444019432602,0.9907998044558235
TMEM240,0.0225009196843603,-2.904666740327373,3.130219005445414,-0.9279436152148893,0.3534368185249115,0.9318833686895616
SSU72,54.32065689624612,0.47552325642585835,0.3644315233072105,1.3048356852077232,0.19194880500478906,0.9318833686895616
RP5-832C2.5,5.31979783480632,-0.9609146582777609,0.6896317852483456,-1.3933735057349812,0.16350687319391954,0.9318833686895616
C1orf233,0.2840353973691909,-2.9361838766257864,1.8064686442113764,-1.6253721790491378,0.10408328018553048,0.9318833686895616
RP11-345P4.9,1.8392575983421546,0.6412798756771222,0.6355042933761172,1.009088187697871,0.3129323424743077,0.9318833686895616
MIB2,17.59642388446121,0.5160204341773686,0.5040487450157976,1.0237510543969233,0.30595287414101124,0.9318833686895616
MMP23B,3.1182230630444554,0.11323551471281293,0.7830780352291122,0.14460310418447964,0.8850242462124572,0.9847653765261525
CDK11B,16.099458474563654,0.40975488702330953,0.4978278790623912,0.8230854563529904,0.4104593987129258,0.9318833686895616
RP11-345P4.10,0.07934910151010353,-1.9248460402750451,2.06746150318921,-0.9310190479028653,0.35184371116449475,0.9318833686895616
SLC35E2B,8.177243420879188,0.38960955956122917,0.5671941199284761,0.6869069087147085,0.4921413930379187,0.9318833686895616
RP11-345P4.7,0.1972735246174041,-3.4969473596383627,2.1146351146209366,-1.6536883055898821,0.0981908599667033,0.9318833686895616
CDK11A,19.715897606726898,-0.1271809921917591,0.44453737441600105,-0.28609741162672697,0.7748035139608328,0.9663209298486416
