,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.017341994190495976,-1.263601634482154,2.515952219120983,-0.5022359426697013,0.615501562726255,0.9625436981408612
FO538757.3,0.0511991891490978,-0.8589832776195918,2.187202013802254,-0.3927315685515151,0.6945177519240759,0.9625436981408612
FO538757.2,14.283662696782603,-0.2805662630805235,0.4629490763515977,-0.6060413065117356,0.5444873242850274,0.9625436981408612
AP006222.2,3.4408741397641607,-0.6246307305441265,0.7288633783857308,-0.8569928865510348,0.3914488159389149,0.9625436981408612
RP4-669L17.10,0.03007018824648589,-1.352219169344028,2.546499136873121,-0.5310110456210227,0.5954111249275955,0.9625436981408612
RP5-857K21.4,0.041665103749161415,-0.3860043279254675,2.5935513549211926,-0.14883234418822472,0.8816859278977367,0.9742670855862756
RP11-206L10.9,2.630252806891377,-0.10267394045622535,0.6809859005847013,-0.15077249083728236,0.8801551872918774,0.9742418582483161
LINC00115,2.3296457006846008,-0.3451407780567419,0.770058048285747,-0.4482009879970371,0.6540081497545716,0.9625436981408612
FAM41C,1.0008464447395649,0.062485864617046534,1.2697506883737522,0.04921112875872981,0.9607510425463284,0.9911180217383466
RP11-54O7.3,0.0,,,,,
SAMD11,0.2676791413243898,-1.1644162205609168,1.5290569180010267,-0.7615257528040136,0.4463431029732724,0.9625436981408612
NOC2L,21.549250098266057,0.3399027071739205,0.36849955476211954,0.9223965206507254,0.356321783974725,0.9625436981408612
KLHL17,0.9479694908700661,-0.8408207275892958,0.7118691639545488,-1.1811450336160092,0.23754511261913147,0.9625436981408612
PLEKHN1,2.514552336425714,0.3567324598687485,0.7261959251563648,0.49123445548381006,0.6232606319534587,0.9625436981408612
PERM1,0.012183068696631653,-1.432085722925438,3.101204938077097,-0.4617836458797216,0.6442364798723804,0.9625436981408612
RP11-54O7.17,0.6032668994838689,-1.6128126463811807,1.5227716558793212,-1.0591296732863507,0.2895407277684867,0.9625436981408612
HES4,5.216312446704941,-0.4601139786159293,0.9929314215653563,-0.463389483526022,0.6430852153575145,0.9625436981408612
ISG15,140.2273910732007,0.6753900012742821,0.3526426311969005,1.9152250508735946,0.05546380906254718,0.9625436981408612
AGRN,0.7810139985577053,-0.33313010881993915,0.9387328635131723,-0.3548721066110462,0.7226854059082867,0.9625436981408612
RP11-54O7.18,0.06551981104316221,-0.956099906700813,1.944500997274469,-0.49169422285765907,0.6229355228935848,0.9625436981408612
RNF223,0.03088937458450973,-1.0295123447196004,2.2638195804510235,-0.4547678417528703,0.649276267960099,0.9625436981408612
C1orf159,2.5109256291949635,-0.870171131854027,0.8716438832445638,-0.9983103748918024,0.3181288782717888,0.9625436981408612
RP11-465B22.8,0.012183068696631653,-1.432085722925438,3.101204938077097,-0.4617836458797216,0.6442364798723804,0.9625436981408612
TTLL10,0.3562374168448639,-0.7216420548869408,1.2541351616345402,-0.5754101128513212,0.5650139663148597,0.9625436981408612
TNFRSF18,39.89435525859989,1.1827395474709725,0.5919624753055711,1.9979975028998962,0.04571693084477169,0.9625436981408612
TNFRSF4,11.770999208991764,-0.03156884541427226,0.5453830865293086,-0.05788379983539473,0.953841187342916,0.9908567190886424
SDF4,47.32220388122587,0.6848033326092056,0.4075004132802256,1.6804972713936541,0.09286060475469898,0.9625436981408612
B3GALT6,1.3752076281292591,-0.06892264428269175,1.1445166230285737,-0.06021987177461122,0.9519805190480707,0.9908567190886424
FAM132A,0.030991089450930362,-0.8941404018016139,2.1980188528819977,-0.4067937818773643,0.6841594541014465,0.9625436981408612
RP5-902P8.12,0.15663380253806353,-1.684876040015477,2.1286908435269223,-0.791508097636146,0.4286475526890312,0.9625436981408612
UBE2J2,20.31452847581442,0.3160345795899771,0.41784372858556956,0.7563463514452554,0.44944156444727723,0.9625436981408612
SCNN1D,0.13059726092935864,-1.1154713405441976,1.4213814405455252,-0.7847797281749228,0.432582727691488,0.9625436981408612
ACAP3,3.311973454040768,0.3787031547920626,0.600995485671677,0.6301264548914558,0.5286118523969,0.9625436981408612
PUSL1,5.390280118160797,0.8551175067935586,0.5008335898755006,1.707388490069381,0.0877498682686575,0.9625436981408612
CPSF3L,22.690079232784846,0.23886941459553737,0.3813641325102793,0.6263552186284821,0.5310819752390898,0.9625436981408612
CPTP,4.460910016111453,1.7618066131463324,0.8108973649746145,2.172662890822794,0.02980569870104357,0.9418204783182822
TAS1R3,0.05819162961435506,-0.924241447712526,2.626634628647179,-0.35187286333331674,0.7249336112653666,0.9625436981408612
