,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.0,,,,,
FO538757.3,0.05030096105848202,-2.4528605578484433,4.296177352119262,-0.5709402468309348,0.5680401479248338,0.9922862305998502
FO538757.2,3.9450293775781873,-0.057756315794911646,0.6836976940008324,-0.08447639402867627,0.9326776705785976,0.9969523506084302
AP006222.2,0.6812001933896686,0.21406389545405194,1.6440343184065376,0.13020646409713094,0.8964030805106781,0.9935887692949886
RP4-669L17.10,0.05674426996738232,-2.4528605578484433,4.296177352119262,-0.5709402468309348,0.5680401479248338,0.9922862305998502
RP5-857K21.4,0.05030096105848202,-2.4528605578484433,4.296177352119262,-0.5709402468309348,0.5680401479248338,0.9922862305998502
RP11-206L10.9,1.0861874127512432,-0.14929044765020424,1.1158417562424723,-0.13379177362292888,0.8935672324079168,0.9935608030143906
LINC00115,0.6487118621858832,-0.7772957960200485,1.099908748715039,-0.706691165906371,0.47975842060857665,0.9922862305998502
FAM41C,0.15583163350453225,-1.6138581977926287,2.6366568235366628,-0.6120850401865686,0.5404814947077428,0.9922862305998502
RP11-54O7.3,0.0,,,,,
SAMD11,0.0,,,,,
NOC2L,10.33231169937532,0.23250031547617722,0.5748133564545839,0.4044796678181349,0.6858600263363024,0.9922862305998502
KLHL17,0.2771068975124531,-1.789767123778952,1.9959335843658854,-0.8967067530694249,0.36987541619039044,0.9922862305998502
PLEKHN1,0.5932895759752892,0.6685558562518776,1.6605868251487772,0.4026021681774933,0.6872409143789934,0.9922862305998502
PERM1,0.0,,,,,
RP11-54O7.17,0.017906939411452574,-2.3159302019200685,4.306979462310662,-0.537715636256503,0.5907733826005699,0.9922862305998502
HES4,2.71352615221414,0.9013855340544752,1.0836265727580683,0.8318230253068182,0.40550884523915287,0.9922862305998502
ISG15,45.358240839832376,0.19280961508926542,0.489136424601631,0.39418371928914514,0.6934454047795002,0.9922862305998502
AGRN,0.057540606301173386,-2.310753347929398,3.1081246065742,-0.7434558263982629,0.4572057560603985,0.9922862305998502
RP11-54O7.18,0.01010042628439959,-1.5195386642134496,4.234740403104288,-0.35882687474763447,0.7197246065857481,0.9922862305998502
RNF223,0.0,,,,,
C1orf159,1.1162224262193872,0.1023660637774329,1.2282643152505561,0.0833420482109757,0.9335795669330637,0.9969523506084302
RP11-465B22.8,0.03324261021734071,-1.5161078771057477,3.6627691949315238,-0.41392394563209484,0.6789298065375842,0.9922862305998502
TTLL10,1.7212163165355205,-0.2774944834755493,1.212083621777628,-0.22894004876378002,0.8189155126759444,0.9922862305998502
TNFRSF18,33.91936063844705,0.5112803622646962,0.5998370394075547,0.8523654404030736,0.39401129532158363,0.9922862305998502
TNFRSF4,6.50013981865357,0.7054240217548272,0.7118350578378837,0.9909936494241669,0.3216886812435177,0.9922862305998502
SDF4,20.77731539351098,-0.03610878739107448,0.5502190182835367,-0.0656262073668763,0.9476754236238515,0.9969523506084302
B3GALT6,1.1824461049820776,0.5103415558166522,1.3000482737447518,0.3925558505197872,0.6946475532115087,0.9922862305998502
FAM132A,0.0804998414564597,-2.0553457052382154,3.740013322602589,-0.5495557175737406,0.5826241386565949,0.9922862305998502
RP5-902P8.12,0.090608401063363,-1.5108954511418056,3.145272497924778,-0.4803702865613967,0.6309641186011408,0.9922862305998502
