,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.0,,,,,
FO538757.3,0.05030096105848202,-1.0224172495426629,3.6237815492864165,-0.28214097225148527,0.777835417531153,0.9999879049296674
FO538757.2,3.9450293775781873,-0.18937000247952293,0.61837130439214,-0.30623995831383855,0.7594219505865927,0.9999879049296674
AP006222.2,0.6812001933896686,-1.6369897188859965,1.5702324963577592,-1.0425142281051274,0.2971733324100717,0.9999879049296674
RP4-669L17.10,0.05674426996738232,-1.0224172495426629,3.6237815492864165,-0.28214097225148527,0.777835417531153,0.9999879049296674
RP5-857K21.4,0.05030096105848202,-1.0224172495426629,3.6237815492864165,-0.28214097225148527,0.777835417531153,0.9999879049296674
RP11-206L10.9,1.0861874127512432,-0.5414600486014266,1.0448707081144903,-0.5182077020596282,0.6043133615575305,0.9999879049296674
LINC00115,0.6487118621858832,-0.5444813365020033,0.9956295195687503,-0.5468714273737498,0.5844670668429481,0.9999879049296674
FAM41C,0.15583163350453225,-0.5067359764030955,2.2564385454308717,-0.22457335584396929,0.8223111944107081,0.9999879049296674
RP11-54O7.3,0.0,,,,,
SAMD11,0.0,,,,,
NOC2L,10.33231169937532,0.5382618720116523,0.5105191197545748,1.0543422394648305,0.2917262566477704,0.9999879049296674
KLHL17,0.2771068975124531,-0.9058023909320512,1.7127867097951979,-0.5288471622017432,0.5969114781563168,0.9999879049296674
PLEKHN1,0.5932895759752892,-0.0692449887882713,1.526536760560121,-0.0453608393700678,0.9638196944942604,0.9999879049296674
PERM1,0.0,,,,,
RP11-54O7.17,0.017906939411452574,-0.8854867594406252,3.636581520904429,-0.24349426909599484,0.8076225241413091,0.9999879049296674
HES4,2.71352615221414,-0.41858970267329837,0.9873925443078544,-0.4239344373080341,0.6716136283829697,0.9999879049296674
ISG15,45.358240839832376,0.5517067262118389,0.42179031764733743,1.3080118322515069,0.19086929604976577,0.9999879049296674
AGRN,0.057540606301173386,-0.13637498228066758,2.505040999308325,-0.054440219668389675,0.9565844356878278,0.9999879049296674
RP11-54O7.18,0.01010042628439959,-0.666170022400862,3.659254731690513,-0.18205073744431638,0.8555429084128714,0.9999879049296674
RNF223,0.0,,,,,
C1orf159,1.1162224262193872,0.22942162337562608,1.1147149589515144,0.20581191768648813,0.836937831525284,0.9999879049296674
RP11-465B22.8,0.03324261021734071,-0.20449732166573786,3.1263623063715,-0.06541062795216473,0.947847062320968,0.9999879049296674
TTLL10,1.7212163165355205,0.17491729190200267,1.068569138555046,0.16369300365396247,0.8699728255302472,0.9999879049296674
TNFRSF18,33.91936063844705,0.8582113668747691,0.5166982447852219,1.6609527427976951,0.09672293817127998,0.9999879049296674
TNFRSF4,6.50013981865357,0.4831191589461836,0.6346434715275623,0.7612449833972679,0.4465107546580903,0.9999879049296674
