,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.0,,,,,
FO538757.3,0.04992187585108572,-1.0316215067422416,3.0460541573738777,-0.3386747094581019,0.7348547948062834,0.9997775677714918
FO538757.2,3.0175273143567707,-0.19892484582761932,0.6980759665657642,-0.2849616021107913,0.7756735598478239,0.9997775677714918
AP006222.2,0.4157605484514364,-1.7252588424715698,1.2805277162521942,-1.347303006857985,0.17788266410302744,0.9997775677714918
RP4-669L17.10,0.056761742849145834,-1.0316215067422416,3.0460541573738777,-0.3386747094581019,0.7348547948062834,0.9997775677714918
RP5-857K21.4,0.04992187585108572,-1.0316215067422416,3.0460541573738777,-0.3386747094581019,0.7348547948062834,0.9997775677714918
RP11-206L10.9,0.8839490746765717,-0.6102562275216439,1.1942721204525224,-0.5109859110588727,0.6093609222542968,0.9997775677714918
LINC00115,0.5102654048231833,-0.541514915255152,1.0316088752152865,-0.5249226991597403,0.5996369289845349,0.9997775677714918
FAM41C,0.11933640380239846,-0.4856127939921829,2.5633048922762107,-0.18944792539328376,0.8497417654533768,0.9997775677714918
RP11-54O7.3,0.0,,,,,
SAMD11,0.0,,,,,
NOC2L,8.465674628739544,0.5523799547687778,0.5415686006656649,1.0199630371661579,0.3077459912138135,0.9997775677714918
KLHL17,0.2454254996834393,-0.9571006054577562,1.5404586510318747,-0.6213088581226399,0.5343964265229819,0.9997775677714918
PLEKHN1,0.34598033417006646,-0.09749315102715732,1.4824667241348475,-0.06576414123834944,0.9475656055528409,0.9997775677714918
PERM1,0.0,,,,,
RP11-54O7.17,0.017796407272261495,-0.8987208957025908,3.0599307842278782,-0.2937062826175553,0.7689823531169833,0.9997775677714918
HES4,1.6545193358535841,-0.4327612272626935,1.0360648392667795,-0.41769705028206294,0.6761686292320128,0.9997775677714918
ISG15,35.74384120654324,0.5445714928608374,0.46639012693208964,1.1676308339608819,0.24295570715345438,0.9997775677714918
AGRN,0.057121069240784056,-0.16701377293468178,1.9506306020768456,-0.0856204002730509,0.9317681809371747,0.9997775677714918
RP11-54O7.18,0.0,,,,,
RNF223,0.0,,,,,
C1orf159,0.9070681095619975,0.163772709580168,1.3017612064842545,0.12580856516878305,0.8998834616248464,0.9997775677714918
RP11-465B22.8,0.024075387356676234,-0.21301018759862972,3.042713555595055,-0.07000665153212948,0.9441883654720127,0.9997775677714918
TTLL10,1.3545720207789167,0.1557062087799275,1.2012908605372359,0.1296157441090439,0.8968704463333865,0.9997775677714918
