,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.06490085899125919,-3.43746376382887,2.2311701145161464,-1.540655166302423,0.12340073386258037,0.9686500092408749
FO538757.3,0.03249382575367549,-3.381043921132222,3.5895719637395858,-0.941907267854265,0.3462401188155466,0.9686500092408749
FO538757.2,12.83408298510853,-0.22517539526825897,0.5385718685746413,-0.41809720931803857,0.6758760452643728,0.9712597321047931
AP006222.2,2.4949097193583842,0.1372353959709077,0.9568635993589739,0.14342210954920329,0.8859568225846493,0.9920683492278096
RP4-669L17.10,0.16650224207751055,-2.2876769006580395,1.9922104924665558,-1.1483108382918246,0.2508402664295202,0.9686500092408749
RP5-857K21.4,0.1477380241965382,-1.2552890663411373,2.2027436599522514,-0.5698752374883005,0.5687623211035476,0.9686500092408749
RP11-206L10.9,2.0086523612412632,1.1627973703414263,0.8804646086918364,1.3206633848339118,0.18661362794599812,0.9686500092408749
LINC00115,2.6708589678091936,-0.3851733689492868,0.7013152703290274,-0.5492157168752075,0.5828574197143224,0.9712597321047931
FAM41C,1.7433151790915316,-0.41308756881489117,1.7468706025449767,-0.23647290658682626,0.8130657285824516,0.9851634128603061
RP11-54O7.3,0.012877884204747756,-2.4135771931132544,4.230056800112636,-0.5705779631727373,0.5682857599498483,0.9686500092408749
SAMD11,0.18284149809135009,-1.7696912498462365,2.0319187739315665,-0.8709458628713069,0.3837837133823223,0.9686500092408749
NOC2L,22.397366140205595,-0.034773348184324836,0.367635908705198,-0.0945863757074097,0.9246433719240286,0.9946560167634516
KLHL17,0.8743918339514587,-0.41011897697515465,1.3857019744703887,-0.2959647778028901,0.7672569802141568,0.9813618092537557
PLEKHN1,2.187096750074676,0.685564007030251,0.7376814435162659,0.9293496712651608,0.3527079012277162,0.9686500092408749
PERM1,0.026551166384651537,-3.3908790586631956,4.318689978371134,-0.7851638056089689,0.43235753363787366,0.9686500092408749
RP11-54O7.17,0.37039451797188755,-1.7457887756090578,1.8810684435759406,-0.9280836014080838,0.35336420524555556,0.9686500092408749
HES4,5.88094271215886,-0.1442062992876727,0.8093936835516842,-0.1781658322991649,0.8585927422503514,0.9884557868765149
ISG15,154.21130542050142,-0.2944168188452198,0.4468231848459643,-0.6589112401289464,0.5099527675638174,0.9686500092408749
AGRN,1.1766168102961996,-0.14287545799796528,1.160052713136507,-0.12316290146131718,0.9019781021974373,0.9938722706123797
RP11-54O7.18,0.0,,,,,
RNF223,0.022966846855959774,-3.1155867361199205,4.337640990675775,-0.7182675428458023,0.472592338809136,0.9686500092408749
C1orf159,2.2611271013524212,-0.22425014835272905,0.7124381252706294,-0.31476438500191795,0.7529405548250814,0.9776695955112007
RP11-465B22.8,0.012596303183889688,-3.2618346183987286,4.327246582279025,-0.7537898653052544,0.45097541046787437,0.9686500092408749
TTLL10,0.11692418799472377,-2.7858704800477048,2.8524926854733446,-0.9766442151578788,0.3287453214275683,0.9686500092408749
TNFRSF18,22.11122127543616,0.6867337886504201,0.518735974739542,1.3238599636264479,0.18554955695563524,0.9686500092408749
TNFRSF4,36.61036915069952,0.3522260261046705,0.3610477184944568,0.975566408710261,0.329279377609353,0.9686500092408749
SDF4,50.100610557807386,0.15925709864973644,0.5721302343550771,0.2783581238793576,0.7807374619388954,0.9824988486341849
B3GALT6,4.350507531612271,0.9660133529700947,1.1347624582492315,0.8512912512637303,,
FAM132A,0.1017920258945855,-3.4347618026768654,2.557284831091689,-1.343128368383817,0.17923041118963834,0.9686500092408749
RP5-902P8.12,0.04331260556975189,-2.408764737073276,3.5664942571705147,-0.6753872467985619,0.4994297659015655,0.9686500092408749
UBE2J2,22.099626399845327,-0.22453223436495154,0.5459369694502539,-0.4112786767143657,0.6808682032893716,0.9712597321047931
SCNN1D,0.6223837585211764,-0.7399355094038547,2.1070784729847953,-0.3511665649337181,0.7254633920912479,0.9750266619519372
ACAP3,3.5353632324093978,0.020599868929697868,0.5888762968924397,0.0349816575032914,0.9720943671127956,0.9967023371800583
PUSL1,7.642688763435256,0.2364191050016171,0.6263803996710798,0.3774369458651064,0.7058489148547944,0.9750266619519372
CPSF3L,26.597975562410603,-0.11959838195232156,0.4400418027063704,-0.2717886828404954,0.7857845075654506,0.9833663451402052
CPTP,6.37221341278599,0.4002711256828199,0.5674166968409302,0.7054271189256739,0.48054447233500064,0.9686500092408749
TAS1R3,0.017562679413469874,-2.038994292743474,3.425855995993755,-0.5951780504282442,0.5517244606913738,0.9686500092408749
DVL1,3.198327494962123,-0.3873383476292284,1.0906393962881855,-0.35514795169464053,0.7224787547799671,0.9750266619519372
MXRA8,0.7264234294358922,0.008421401597720736,1.39830438386726,0.0060225811310337515,0.9951947045485822,0.9998780907876612
AURKAIP1,71.4072997542912,0.13060894317239763,0.33662701911900933,0.3879930479562094,0.698021178337223,0.9745271237787557
CCNL2,26.587466617925983,0.22584080639094536,0.3842732120750868,0.587708951064786,0.5567276664236411,0.9686500092408749
MRPL20,62.37652077623455,-0.11511744570789308,0.26661542585803133,-0.43177338797039955,0.6659061229477566,0.9712597321047931
RP4-758J18.13,0.022419190584624254,-2.722619973174349,2.8653382904786557,-0.9501914598431357,0.3420149772501837,0.9686500092408749
ANKRD65,0.12681999539837072,-1.7385653113005406,2.4686445049431365,-0.7042590813781782,0.481271443657598,0.9686500092408749
