,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,0.6302361795856265,-2.3242611208304624,4.310446264386595,-0.5392158904830288,0.589737897027212,0.9394214635952958
FO538757.3,0.0,,,,,
FO538757.2,8.872395592351635,-0.41208281938272745,0.604775131213514,-0.6813818857859796,0.4956298816850191,0.9377642609691503
AP006222.2,0.9322795713838584,1.443382064972029,0.9322831231580613,1.548222883283188,0.12156864378032822,0.9377642609691503
RP4-669L17.10,0.019939453319487793,-2.7350292594811396,3.3226919854004833,-0.8231365626120433,0.41043033879724955,0.9377642609691503
RP5-857K21.4,0.06096758656019822,-1.3547058382176123,2.426962895790863,-0.5581897607775996,0.5767148120145948,0.9377642609691503
RP11-206L10.9,1.1267692981860702,0.243318195728401,0.9888340864265615,0.24606574456560434,0.8056313397975431,0.9670152912298348
LINC00115,0.6591740974477606,0.760204229237972,1.1588553251480493,0.6559958027037174,0.5118268248429604,0.9377642609691503
FAM41C,2.6961327157255686,0.7057319962983021,1.8654591470586563,0.37831543907624976,0.7051962775204197,0.9524081786714444
RP11-54O7.3,0.009929222315511386,-2.8968097049879793,3.9496203189191674,-0.733440045138492,0.46329008260066384,0.9377642609691503
SAMD11,0.07466959196671671,-2.121650141104437,2.484149447513089,-0.8540750812027214,0.3930633898571215,0.9377642609691503
NOC2L,13.156172264255005,0.37892682286701623,0.47145896970150947,0.8037323441039265,0.42155157026119894,0.9377642609691503
KLHL17,0.5515336748244533,-0.5305206263258863,1.4255939122542387,-0.37214007563135115,0.7097885595991404,0.9530603435162189
PLEKHN1,1.665118221575568,0.9311324269676803,0.9374814597314947,0.9932275644516396,0.32059906825175577,0.9377642609691503
PERM1,0.05162151022622851,-3.334644719319583,3.298414924638908,-1.0109840015608833,0.3120240869997899,0.9377642609691503
RP11-54O7.17,0.08535778243651254,-1.494807771070027,2.3405168367629967,-0.6386656774225089,0.5230404454673506,0.9377642609691503
HES4,4.362140037678412,-0.4815365257805057,1.1155534902330309,-0.43165704737288424,0.6659906897437077,0.9457134712396407
ISG15,80.3323054455068,-0.08921492489393518,0.45112511856801407,-0.19776093421072638,0.8432321124449995,0.9733795342185257
AGRN,0.8381535881037477,-0.8884658123316992,1.2469217825088972,-0.7125273010661836,0.4761383117358383,0.9377642609691503
RP11-54O7.18,0.011945304753727055,-2.7559588701745024,4.061454692149498,-0.678564474817748,0.49741385856325027,0.9377642609691503
RNF223,0.054023309907083636,-2.130978487542551,2.7334725570969867,-0.779586567280449,0.4356342650639945,0.9377642609691503
C1orf159,1.4419097448034528,-0.15288346476601852,0.9103825358690323,-0.16793321350357313,0.8666358205701072,0.9769747673889175
RP11-465B22.8,0.0,,,,,
TTLL10,0.06854182430898502,-2.5865364700698628,3.272900948016425,-0.7902886494739353,0.4293592140736221,0.9377642609691503
TNFRSF18,105.75474447344511,0.4390942783074677,0.3965238939771131,1.1073589384573426,0.2681387715013024,0.9377642609691503
TNFRSF4,102.93550701422744,0.5558055593380152,0.3612779844506781,1.5384429255580452,0.12394035348406257,0.9377642609691503
SDF4,40.898406591937444,0.40665984829933766,0.5475627791071251,0.74267255521358,0.4576799495369054,0.9377642609691503
B3GALT6,1.2248592406473033,0.2706262061598922,1.43444265143392,0.18866296668560756,,
FAM132A,0.23515279731594896,1.7067765681116123,3.719867487810104,0.45882724954710585,0.6463582249060325,0.9457134712396407
RP5-902P8.12,0.07802035365729319,-1.6993609868133375,2.0023531929751166,-0.8486819372202812,0.3960582997490245,0.9377642609691503
UBE2J2,14.094529889155424,0.2942460919342341,0.46124425487872306,0.6379398525226109,0.5235128341965694,0.9377642609691503
SCNN1D,0.021924482567092864,-1.1830297006950492,2.508559467001635,-0.47159723190021474,0.6372143029004403,0.945031720618533
ACAP3,1.3264339028251078,2.087671176846668,0.7565250881709131,2.759553132460062,0.0057880474165106464,0.9377642609691503
PUSL1,3.639131316590736,-0.07585207489063024,0.7359134546361746,-0.10307200447657319,0.917905823849575,0.9851294495833386
CPSF3L,12.552031620055631,0.27131840378745126,0.5089486646985569,0.5330958161529892,0.593967255108466,0.9406350645386422
CPTP,2.9932459154458035,1.0079908391758416,0.6274947713354635,1.6063732882277073,0.10819191631154697,0.9377642609691503
TAS1R3,0.03183921435919873,-2.0056192666077752,3.1674019957394712,-0.6332064162697282,0.526598856266658,0.9377642609691503
DVL1,1.1030167045525956,0.38096192293560804,1.4386971213798467,0.26479647263784717,0.7911662543597984,0.9663294406633265
MXRA8,0.29708937478320196,1.2566587080332465,1.5640578522344124,0.8034605025881775,0.4217086171278106,0.9377642609691503
AURKAIP1,44.96895350571529,0.0261854057765875,0.4116326494797935,0.06361352970829616,0.9492779584140648,0.9912461153482586
CCNL2,14.336989345114423,0.12328395168617286,0.5225886428701347,0.23591012427878078,0.8135024119216032,0.9679634624600819
MRPL20,39.82728025590918,0.05542052370015559,0.24810434459018677,0.22337586950239818,0.8232429832301944,0.969103605816068
RP4-758J18.13,0.006902273140146374,-2.175621452636953,3.864278511974056,-0.5630084492863177,0.5734291304669961,0.9377642609691503
ANKRD65,0.1360724163559371,-0.1880641301962578,2.2995582469504683,-0.08178272085330164,0.9348194968015703,0.9888699708874565
RP4-758J18.7,0.0,,,,,
