,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYZ,1693.901866835493,3.6276999703800934,0.39164409534462913,9.262746492291377,1.992400019108026e-20,1.8515373377570886e-16
CCL22,71.52038403761672,6.835064149005085,0.9507987948077306,7.188759794744233,6.538248324378677e-13,3.0379970839225524e-09
TYMP,151.85685648516866,2.657831806318123,0.4151135611769988,6.402661957807878,1.5269101634251997e-10,4.729858716236793e-07
CXCL8,69.79112225397503,4.144161211317926,0.6815714848819013,6.080303098413811,1.1995557585962276e-09,2.7868679161586857e-06
SPP1,413.9405544460631,7.544007218133181,1.2627857130416602,5.974099279253011,2.3136488065075012e-09,3.3635531291161553e-06
IRF7,150.93073889003614,2.9740557069027607,0.49906344809572756,5.959273752166866,2.5336136773714716e-09,3.3635531291161553e-06
TIPIN,63.2120878500961,-3.2471042977473554,0.5440121354326691,-5.968808572927949,2.3899230771569947e-09,3.3635531291161553e-06
PLAUR,139.1845327894258,2.6613034523977483,0.45542440514201044,5.843567938718393,5.109444609968656e-09,5.93525859505484e-06
APOC1,63.40798276819412,4.288007760999279,0.7539886631892591,5.687098454321116,1.292159690477283e-08,1.3273359373684372e-05
AC005480.1,47.90623852534291,-5.381727992851557,0.9491652608847664,-5.6699588729521855,1.4283180214876115e-08,1.3273359373684372e-05
CD14,115.21253266740864,2.387903018834008,0.42474633324419986,5.621950872642679,1.8881296521858627e-08,1.5951262597966565e-05
CD163,63.56616947344804,2.971924608953382,0.5387476761145454,5.516357175564889,3.460985102042584e-08,2.680244546106811e-05
IFI6,229.33592969084506,3.356661728375681,0.6176102257035064,5.434919288378331,5.482124150753795e-08,3.918875364073463e-05
RHOB,291.97042676033374,2.906742297753095,0.5367913227944994,5.415032200261344,6.12776772690894e-08,4.0675246775831994e-05
PTGDS,285.8779404998325,3.2979546837144573,0.6144867310806621,5.367007157200183,8.005388124320763e-08,4.959604789287523e-05
EREG,30.87663809307768,5.084041038558753,0.9715745476260825,5.232785328702726,1.6697462044114955e-07,9.698094673497518e-05
TNFSF9,59.50346468962694,2.916924175733907,0.5665590288655218,5.1484912023637825,2.625900998731011e-07,0.00014354410577180755
ATF3,222.86105608140866,2.453160032581008,0.4905160411838665,5.0011820748211955,5.697986837032393e-07,0.0002786915351396949
ACP5,110.02368974439119,2.906949806753471,0.5807588750242445,5.005433290420429,5.573651346881436e-07,0.0002786915351396949
AZGP1,23.876086860387186,-6.128168161587058,1.2368504244921679,-4.954655825988977,7.245842901066345e-07,0.0003366780903980477
HLA-DQA2,116.44721254041663,3.1767738121025855,0.6440631883397058,4.932394630861937,8.122759944490376e-07,0.00034311276438249574
LILRB4,61.53737433720122,3.12963895928498,0.634207027170491,4.934727660221357,8.026267531767314e-07,0.00034311276438249574
LGALS9,130.42764526235163,2.063677299245633,0.4204353511301631,4.908429544990228,9.180859927664225e-07,0.00035549054711576515
IFNG,76.64691509750857,2.6005077349233856,0.5293649995119721,4.912504108357796,8.992049846087349e-07,0.00035549054711576515
STAT1,242.2302728973936,2.156621976465147,0.4406764752444834,4.89388950310695,9.886235997246317e-07,0.0003674911644896401
SCML4,92.66844478200264,-2.5519667414738025,0.5252435443738933,-4.858635139468162,1.1819771995400268e-06,0.00042246592751251803
