,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,80.06136548095719,-1.2124312149513967,0.5503719236902462,-2.2029307142378194,0.027599632423724513,0.23967642880444495
A2M,455.0993137497011,1.3549175983865942,1.0205303457360213,1.3276602739425727,0.18429036289419554,0.5850673547960686
A4GALT,3.3379593772540916,0.7284112026192789,2.1701799429102464,0.3356455325278086,0.7371381838850055,
AAAS,36.016174162781724,-0.138695765949781,0.714863795278572,-0.19401705173183834,0.8461625302425724,0.965423792294138
AACS,20.48036855046893,0.1398600729384681,0.807410971474848,0.17322042662238576,0.8624781682156224,0.970204133571645
AADAC,0.1999624209633474,-0.2518271321668276,4.7194383097419434,-0.05335955587066407,0.9574454290188009,
AADAT,0.10662410944238716,-1.1015533569730729,4.8915165329504235,-0.22519669504390846,0.8218262603970087,
AAED1,64.21206755197407,0.8408103215127826,0.6479927268359186,1.2975613563108528,0.1944381084769503,0.6000385591120437
AAGAB,51.79553363227052,-0.2142481874448764,0.5321287049353975,-0.402624751226091,0.6872242984899116,0.9170809137393657
AAK1,429.3176987688741,-1.574148319382559,0.3740830762095854,-4.208018003200497,2.57620346238804e-05,0.0030454603081176467
AAMDC,19.591772124800578,1.4347045256417015,0.804620761097255,1.7830816640689289,0.07457301075233144,0.39792469205540615
AAMP,91.19347085348888,0.3124333755892514,0.541550523140069,0.5769237813263864,0.5639909447504949,0.867083826959438
AAR2,38.66854583002365,-0.2866603782608736,0.6897376198641381,-0.41560786305572095,0.6776969719625194,0.9135785089612877
AARD,16.806170548645344,-0.013983592457999438,3.5310755191392023,-0.003960151059416686,0.9968402648701603,0.9991278639008933
AARS,51.04864320530765,0.17208616488685563,0.5781952275879513,0.2976264013882387,0.7659883218710843,0.9421506480340036
AARS2,10.66465176007647,0.1786624090903687,1.0309116062606651,0.17330526497651447,0.8624114854608738,0.970204133571645
AARSD1,12.401922245307539,-0.48646415180984487,0.9065583555415869,-0.5366054472237767,0.5915401806493777,0.8801755178092141
AASDH,21.628624617475218,-1.0446914517499255,0.7291441419257098,-1.432763964873719,0.15192530265698861,0.5435297030299163
AASDHPPT,45.910673027332244,0.04584479802063614,0.5724175533197355,0.08008978368108952,0.9361658480876694,0.987194306166313
AASS,0.8267080656357224,-1.9180593140952393,3.8890947769348103,-0.4931891414605631,0.6218789495987591,
AATF,105.51622184650016,-0.34866099932743133,0.48961676790485975,-0.7121100055853922,0.4763966588978815,0.82428468176319
AATK,7.951576803631566,2.8561556666971497,1.5269635050829924,1.8704806350574268,0.0614171036795671,0.3605016753086816
ABAT,31.571719948470435,-0.5532691327493984,0.6307329206953605,-0.8771844858509033,0.3803864412968345,0.7701599513107548
ABC13-47656900H15.1,4.928861525521695,2.1500916281568463,1.652171866916193,1.3013728603005623,0.19313085867759383,
ABCA1,64.77222601546232,2.9302900039615465,0.9475730198380153,3.0924160382515646,0.0019853438735513477,0.0522173936502955
ABCA10,1.7204696328890303,-1.254055752496069,2.602343704273336,-0.48189474374071756,0.6298807202491665,
ABCA2,40.2205544122982,-1.1744027110278048,0.7007672113506238,-1.675881365459893,0.09376143244381335,0.4392814127642663
ABCA3,12.34901625179742,-2.3471449942186995,0.9663848561571067,-2.4287890888028576,0.015149342283663804,0.17513340595856977
ABCA5,19.213742426607443,-1.3772344330166613,0.8146173466227216,-1.6906519836908258,0.09090329000353485,0.43527936620547836
ABCA6,9.025989325419435,-0.2987636056842403,1.2422336903199,-0.2405051545553419,0.8099386677613761,0.9562410867189335
ABCA7,73.35818008692426,-0.8176094513383859,0.6528505115914793,-1.2523685542426353,0.21043559918351162,0.6210631857333813
ABCA8,3.9188072394649502,-4.52919419461482,2.4750792146974705,-1.8299188840985943,0.06726206920508793,
ABCA9,1.918513093741251,-4.673849785237722,3.054587674891663,-1.5301082446106211,0.12598993783664142,
ABCB1,19.86237053747184,-1.3316959817901628,0.8843458726269453,-1.5058542398511638,0.13210459582075842,0.5105675658428735
ABCB10,27.86213639486139,0.5293127390088168,0.7240124360680967,0.7310823856608901,0.46472883259382525,0.8198772510703743
ABCB4,4.159492928062734,-0.2508421675040315,1.6328723462020625,-0.15362019455315742,0.877909213000795,
ABCB5,0.7178169549123226,-0.514851624707972,4.277725029840432,-0.12035640933357913,0.9042008206336397,
