,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FPR3,280.8653409525528,5.508328959927251,0.5530741743762403,9.959475989164693,2.2926791913521115e-23,2.5205715029725114e-19
ATF3,492.7717715531782,4.1462861879721284,0.46209178623739455,8.972862776318685,2.8890591528078307e-19,1.5881158162984645e-15
C15ORF48,136.77205467638746,4.387174237990355,0.5292735691295546,8.289048412535543,1.141580760987232e-16,4.1835129620978757e-13
HBEGF,205.1850621377434,4.650559072243232,0.5851710822327949,7.94734943924165,1.9054437009063986e-15,5.237112011941236e-12
CXCL10,165.66120796604963,7.05953083459402,0.8964492237356219,7.874992411924935,3.407635389102209e-15,7.492708693557938e-12
IL1RN,410.50263863710705,6.142847423363085,0.8141349556557105,7.545244655925121,4.514392019000051e-14,8.27187097614776e-11
CCL2,220.96293238558897,6.5426667316117495,0.8849941909335106,7.392892290863973,1.436688540798771e-13,2.256421973934527e-10
CTSL,287.2575970418079,3.984893872877268,0.5549245901397875,7.180964663817582,6.92212436575466e-13,8.455759475234082e-10
CCL22,165.1194241222951,8.227764340759432,1.143232281564285,7.1969314315559565,6.158271126989804e-13,8.455759475234082e-10
AC005480.1,125.2027688667029,-8.236459320967581,1.1514695573109932,-7.152997896185845,8.490290624844455e-13,9.334225512953994e-10
RHOB,989.1385240394077,3.833845661463133,0.5394759902965217,7.106610359723088,1.1892756813770612e-12,1.1886269855508555e-09
PLAUR,551.7612218176711,3.860510993844889,0.5530093792890999,6.980914137130227,2.9326551610058115e-12,2.686800903341491e-09
SDS,98.77789736949984,5.908293378143663,0.8511083883925781,6.941881267675195,3.8691235315964794e-12,3.272088008182438e-09
NOSIP,204.45318467948297,-3.0055478657612507,0.4438474568810408,-6.771578431205909,1.273848713391909e-11,1.0003351967879035e-08
FABP5,289.83889387172525,5.339187291323762,0.7939209303998401,6.725086953728254,1.7548761338571586e-11,1.2862072143750401e-08
MARCO,326.77336514942334,6.3412184048905935,0.9754445937295797,6.500849403086194,7.986775543550874e-11,5.487913145362394e-08
EREG,116.52332174892042,6.38719748885181,0.9905554603419922,6.448096794748485,1.1326342330745812e-10,7.32481221083644e-08
VEGFA,134.20016781997762,4.740317724100996,0.7623717613039153,6.217855860759374,5.039941966615797e-10,3.07828455449856e-07
HIST1H1D,37.8658884770132,-5.022617165214842,0.8388131683092226,-5.987766233258858,2.127425305606127e-09,1.230995463675461e-06
CD83,345.34338030403967,2.967941260943874,0.49728710536220405,5.968265070501162,2.3978958943663364e-09,1.3181233731331753e-06
CXCL3,67.97592700808626,4.622567865366949,0.7932736694302309,5.827204461087319,5.636354227792826e-09,2.9507656371597296e-06
BCAT1,91.72046207684559,3.9469376516982257,0.6794566755686269,5.808961474100014,6.2861551145906295e-09,3.141363151354972e-06
PLAU,58.60187289185042,3.985451250034906,0.6880943168788234,5.792013031168172,6.9547744939426384e-09,3.324382208104581e-06
MMP19,140.20475300035602,6.8716308317032455,1.206425156176551,5.695861692308441,1.2275035813365054e-08,5.622989322172308e-06
PLA2G7,127.34450440888432,5.782160117800854,1.0219652831358819,5.657883113268193,1.5325144473595218e-08,6.739385533708233e-06
ABLIM1,90.35934549630693,-2.877169130289594,0.5117271536388702,-5.622467187504446,1.8824933171384064e-08,7.96005058793063e-06
CXCL2,101.58435244460792,4.089385457092498,0.728423732056852,5.614020078046181,1.976792621096679e-08,8.049206694939588e-06
NR4A3,74.0220989306461,3.4395834995839456,0.6322014550178345,5.440644706341137,5.3088097239995734e-08,2.0844662180589755e-05
AQP9,120.36399133980767,4.0029671190999645,0.7406629878445726,5.404572909399899,6.496299543634804e-08,2.4627695580248632e-05
SPP1,12257.369990607602,10.511906910100203,1.9549935050161287,5.376952344408674,7.575721459586456e-08,2.776249390889783e-05
SIGLEC1,107.60684498295389,6.3327330169428615,1.2119256049505207,5.225347984294307,1.7382788228543934e-07,6.164721734987483e-05
TIPIN,120.24386505580776,-3.482679743351068,0.6678949965866968,-5.214412087453024,1.8440112845811809e-07,6.33533126958922e-05
CYP27A1,284.6530204628535,5.7551460888249375,1.1056443551144806,5.205241687530742,1.937442798610407e-07,6.454620038764489e-05
RASGEF1B,84.35685893661031,3.441994985765441,0.6621432800327287,5.1982631094516405,2.011592671142803e-07,6.504544066630581e-05
IER3,266.2553692204273,2.3449584826404544,0.4545791778108488,5.158525944662155,2.4890162222864317e-07,7.818355527947723e-05
CD163,359.2767812777445,2.966572444819594,0.5799100664166902,5.115573287337945,3.1278946736358345e-07,9.552242789431213e-05
CORO1C,191.84261760898414,3.362765176911511,0.6617610312110989,5.081540039849829,3.743870746142414e-07,0.00011124355400835054
ADAM9,154.56216645793654,4.453811167329103,0.8787721861311706,5.068220453058697,4.015521748553471e-07,0.00011617538448314963
CD9,1152.784453416788,4.451918091396669,0.8867994257707997,5.0202085860927275,5.161540046857636e-07,0.0001455024904491099
SLC2A3,508.6685412290086,2.0924270869213495,0.41934118549455934,4.989796278783347,6.044300271893363e-07,0.0001661275929729891
KPNA2,71.29131583773368,2.8553625431319447,0.5742138196914199,4.972646852467612,6.604490636093153e-07,0.00017686081350593515
CTNNB1,336.16227028746994,1.9927535528964764,0.40109900207040894,4.9682336346144,6.756552817217824e-07,0.00017686081350593515
