,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,52.99746528293224,-1.176196866687897,0.5981689238286035,-1.9663289412622826,0.04926062579528887,0.41425854397066925
A2M,764.3736959408001,0.5927169591015937,0.7614381265193146,0.7784177577382696,0.4363227734270454,0.8730805396984994
A4GALT,2.773192415251491,-1.1986063700706822,2.030321460852269,-0.5903530023110443,0.5549540120868761,
AAAS,38.28529677743039,-0.14715199487137054,0.6432789855990512,-0.22875299545862793,0.8190609022578345,0.9728076149843052
AACS,17.01922479071971,-1.089298533149786,0.8607520396412285,-1.265519549165191,0.20568514507586044,0.7288393835633384
AADAC,0.3273899424134544,-2.6279364325248706,4.791248262617226,-0.5484868010344671,0.583357689768115,
AADAT,0.1438489034390587,0.5048646293376997,5.004711121045997,0.10087787629032659,0.919647405666745,
AAED1,60.392003317668085,1.2250514900330507,0.6392760974986712,1.916310487481658,0.05532558675759347,0.44068606865552695
AAGAB,40.728241779048794,0.18639071891844736,0.6212769730524911,0.3000122763325068,0.7641677915520652,0.9652795501327892
AAK1,272.8486111758539,-0.38336759363595047,0.3908474607698875,-0.980862438969916,0.326660582317429,0.8216781239871279
AAMDC,24.459684950563606,-0.08651681252612399,0.7216608716481433,-0.11988569136156044,0.904573699359128,0.9853167938281291
AAMP,89.0622085028699,0.13878115327974244,0.48779846557685236,0.2845051042045099,0.7760233229980402,0.9670756836360119
AAR2,35.38431340614452,-0.5013913602506902,0.779811577734365,-0.6429647552905199,0.5202469695381979,0.9052554102778979
AARD,7.366273704302725,-6.970083852274487,2.6218466849610356,-2.658463552523885,0.007849784073316874,0.16335371690579523
AARS,47.663516639734375,0.7107822586001471,0.6088678514572077,1.1673834591513197,0.2430555479431038,0.7596131208861601
AARS2,7.274187901263578,0.8004279595590122,1.2613518776914323,0.6345794331586375,0.5257027453584516,0.9067867124266827
AARSD1,6.40872763389333,0.23690091398334373,1.3356538064041432,0.17736700397023542,0.8592201233918776,0.9780143073707729
AASDH,14.38576376280405,0.05603348518242518,0.9264133796181516,0.06048432202643816,0.9517699021979793,0.9950481654022032
AASDHPPT,33.5213133137703,-0.2025607805473475,0.6288876466752946,-0.3220937501606437,0.7473816728524991,0.9636701242144234
AASS,2.181009132029375,-2.5973343634579162,2.816766912842226,-0.9220977254511649,0.35647760329867184,
AATF,77.08454650080839,-0.09209387102443932,0.5168201819261006,-0.17819325607839306,0.8585712058366206,0.9777352930147998
AATK,9.164203326967987,0.7193767556655848,1.1795433843433718,0.609877317964059,0.5419430787893768,0.9081207802241861
ABAT,32.10795018554269,-0.5879625222101815,0.6447173257811306,-0.9119694766971157,0.3617847857408837,0.8411813231027473
ABC13-47656900H15.1,2.289265925770999,1.9760111592607037,2.628177474436548,0.7518560593722228,0.45213762518142764,
ABCA1,123.05024512321856,1.9716394576158032,0.581826388862105,3.3887075171543803,0.0007022287053142005,0.03736055456244749
ABCA10,2.5116513900843147,-3.6330517165844824,2.495546653670758,-1.4558139841787938,0.14544404889693305,
ABCA2,17.00281899051617,-0.7461653440939324,0.9083494679100906,-0.8214518425498638,0.41138894410629123,0.8627735149324262
ABCA3,7.0454854861246545,-1.9972084265589705,1.331480616550453,-1.4999906132567358,0.13361683405167152,0.6268986153364405
ABCA5,13.702977740414202,-1.1712256466312114,1.0308067810409383,-1.1362222951700744,0.25586354188911686,0.7694399137569441
ABCA6,16.278244868024213,-2.3370624038653975,0.943917295411224,-2.4759186162038063,0.013289386714735157,0.21321620591109225
ABCA7,41.807614485336465,-1.321295352139069,0.665662683579268,-1.9849322858755791,0.04715200573965394,0.4062853114878203
ABCA8,8.24927225838286,-5.208666746270248,1.9903200392618563,-2.6169995998241418,0.008870644530161221,0.17381682796821898
ABCA9,6.657077144323999,-3.0010722218661434,1.651357214948654,-1.8173367910343108,0.06916555980821384,0.48394438528340195
ABCB1,7.7387152233339105,-0.22036231059981343,1.384674855829883,-0.15914372220454798,0.8735556418077128,0.9806742394694131
ABCB10,27.14006539175339,1.0226587775729123,0.8526942040895428,1.1993265260490986,0.23040100464313062,0.7499071310380054
ABCB4,3.6639239954270906,-0.24544789761577568,1.768039795191687,-0.1388248716365373,0.8895885395652852,
ABCB5,0.7308527745779839,-2.6527458240930386,4.322741158819478,-0.613672141502336,0.539432001090197,
ABCB7,40.038807452586724,0.05867663888782142,0.6287862020147582,0.09331731310230662,0.9256514782316788,0.9884371006041359
ABCB8,26.51789381965933,0.8275778535479059,0.7244326792900272,1.1423806203206697,0.25329584315930065,0.7676774606873704
ABCB9,3.8161359906706744,-0.1574402238717177,1.8958891054530274,-0.0830429498322883,0.9338173885045077,
ABCC1,54.9921026277727,0.714422265289611,0.552162835778408,1.293861554956807,0.19571324605422447,0.7175343676614392
ABCC10,39.661724817930335,0.46597823090458856,0.6024549359284107,0.7734657035990496,0.43924681840526403,0.8740522830111767
ABCC11,0.0,,,,,
ABCC3,103.48370475071036,0.37594468749827104,0.7364944342161276,0.5104514983855919,0.6097351857853615,0.9272626473265638
ABCC4,18.716040290445005,-1.7405299351947652,1.064286381813895,-1.6353962288123314,0.10196601246726116,0.5648696731916693
ABCC5,61.35942909183133,0.9963556350828441,0.7227278322239158,1.3786042140053532,0.168016816577656,0.678018488078491
ABCC6,4.128133300484291,-2.251038259926365,1.7950641101933085,-1.2540155235369022,0.20983636309678355,
ABCC8,0.9821698272403634,-4.076221785722461,4.542494193349691,-0.8973532187867486,0.36953046690242686,
ABCC9,0.4910849136201817,-3.1034878911279185,4.744339588725641,-0.6541453943353862,0.5130181379806091,
ABCD1,51.65111249883343,-0.25221100517266576,0.6499309279520564,-0.38805816791545367,0.6979729880347727,0.9526021894774469
