,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDKN1C,278.34616719834776,-4.274038575595152,0.5113827513202424,-8.357807463315531,6.389461340348508e-17,6.773802024954823e-13
FABP5,440.7191657444845,4.8059238534944555,0.5802155783559678,8.282996928679456,1.2011352114469055e-16,6.773802024954823e-13
SDS,238.47124915257956,4.564231201835766,0.601933441846398,7.582617752280446,3.386514857518099e-14,1.2732167025982214e-10
CTSL,613.8970423584942,2.618190761251211,0.38911697172514514,6.728544246331626,1.713688895980191e-11,4.8321742644401436e-08
FCGR3B,130.48990387397959,-3.02729673183984,0.45537740773944096,-6.647885205521673,2.9733405052924293e-11,6.707261511838663e-08
FPR3,515.2477201345098,3.560638558493378,0.5493093753553415,6.482027648244752,9.049805046752385e-11,1.701212518705336e-07
MARCO,496.66261075753516,4.553960576114261,0.7113704103645618,6.401672756926248,1.5368378742447205e-10,2.476284911943743e-07
LYPD2,31.764722530733543,-5.94988765993687,0.9406658135622832,-6.325187515218354,2.5292525066836525e-10,3.565929877860615e-07
CCL2,263.4721352761214,3.702022777857149,0.596096837489336,6.210438547953842,5.283693622015887e-10,6.621642262524132e-07
IL1RN,615.1935976905487,3.5839138904221817,0.5884154936276712,6.090787766866582,1.1235642228868616e-09,1.1520618972673555e-06
CXCL10,220.27093396376372,4.161325520580125,0.6820413157169531,6.101280706441945,1.052219293516353e-09,1.1520618972673555e-06
SPP1,7052.3268844242,8.338666540277941,1.4666444943838348,5.685540410241797,1.3039964447198653e-08,1.22564799166628e-05
PLAU,103.95110249486959,3.243578718897521,0.5742572348562824,5.648302750089481,1.6203963091622557e-08,1.4058807670031602e-05
ADAM9,176.35519174075097,3.4103897356200226,0.6057751461756199,5.6297947466985025,1.804242003992933e-08,1.4535746830740207e-05
RAB7B,87.62330888193503,4.832343429455986,0.8725140166163529,5.53841352394088,3.0522389153503316e-08,2.2950801817490925e-05
NEURL1,34.22090290863539,-4.877031136236506,0.901419922719209,-5.410387560022561,6.288849899140947e-08,4.433246125775671e-05
OLR1,323.2043132473957,2.854191134275737,0.5325847276257509,5.359130643868907,8.36233696742051e-08,5.5481646267962315e-05
CD9,1114.4472451200286,3.171291099847878,0.5960833265633548,5.320214403800836,1.0364503357740792e-07,6.4945129651088e-05
CXCR2,63.28764357781786,-3.094062889989673,0.5839464113432827,-5.2985390951752525,1.167328848862183e-07,6.929632677008717e-05
IL4I1,67.72914671456019,4.0705241760552635,0.7906665630905275,5.1482184350183635,2.6297215306017053e-07,0.0001483031457182832
CXCL14,33.535436208974566,-4.828805726398943,0.9433322429981557,-5.118881244906609,3.0735340922005946e-07,0.00015757450466332047
TCF7L2,82.19955731854948,-3.0965934213003408,0.6040415204891698,-5.126457894471613,2.9524404673991425e-07,0.00015757450466332047
FBLN1,43.13820317296952,-6.3858709410961065,1.2594386248812612,-5.070410590034239,3.969583714902863e-07,0.00019466493356691037
AC005480.1,44.67825059279991,-5.295174327583324,1.0493088708948142,-5.046344765071683,4.503424672588491e-07,0.00021164219534218994
LDHA,680.1459499128144,2.0502329157598234,0.41163989632150516,4.980646759658398,6.337212212827007e-07,0.00028590966619390325
CALR,1945.0777538536981,1.7274203330154043,0.34745692319353927,4.971610054962706,6.639915407078184e-07,0.0002880446379862878
CCL3,998.3437647630126,1.892933322960117,0.38426203704726364,4.926152313941148,8.386463362837018e-07,0.00035033674173866195
IFI6,1006.4467942984995,3.6219243787385866,0.7364256329442026,4.918248655004398,8.732194620087285e-07,0.0003517515111427303
PTP4A3,26.147523416363775,-3.847195746893049,0.7854767820728195,-4.897911478351483,9.686064975685642e-07,0.00037672112710606325
LPL,396.173116644626,3.9656465523537325,0.8172295102417408,4.852549378913976,1.2188442296402878e-06,0.0004582448022037602
SGK1,1699.6977876740923,1.6699325959369034,0.34682955600780074,4.814850888600001,1.4730984551281929e-06,0.0005359702411416415
LGMN,1036.4368719189745,3.2603080483777216,0.6808738640123276,4.788417092653583,1.68101984792652e-06,0.0005925069645238506
FSTL1,35.23878557277538,-6.0990689108206615,1.2790642115248145,-4.768383679150682,1.8570984862498158e-06,0.0006347337523155053
CLU,69.24749988998335,-4.816914902267117,1.015782718173493,-4.742072114525186,2.115432897311332e-06,0.000701763754375721
TUBA1C,245.00772089690903,2.312120115585201,0.5015625211718472,4.609834303773695,4.029900290965854e-06,0.0012986641537658249
PLAUR,978.6457293603596,2.1045863839993273,0.4577964943754074,4.597209480318782,4.281870632003938e-06,0.0013415338571770115
RAB37,43.283656608285106,-3.2669422360964218,0.7206881164410953,-4.533087422378002,5.81277429189195e-06,0.0016542073993477987
HSD3B7,68.52803557011286,4.0593098776172605,0.8953103182126475,4.533969725403213,5.788532951450565e-06,0.0016542073993477987
ATF3,623.7732781706488,2.4311879942721584,0.5388503181237344,4.511805806735913,6.427802513067536e-06,0.0016542073993477987
CCL8,81.68069973585696,4.519050972536205,0.9978372747230143,4.528845621437253,5.930680912997728e-06,0.0016542073993477987
PLIN2,784.9375804618892,1.8908694979181324,0.4184075571820812,4.519204936576397,6.2072289058241645e-06,0.0016542073993477987
SIRPA,519.15287692995,1.675207595103196,0.3705425804611776,4.520958409201531,6.156028333571781e-06,0.0016542073993477987
MLC1,21.623731309222794,-4.159509158004073,0.9187452688332923,-4.527380220728867,5.971943093889381e-06,0.0016542073993477987
MTRNR2L8,52.9617061256714,-3.1783734717227037,0.7045874305991723,-4.510971007558076,6.453154142326727e-06,0.0016542073993477987
LILRB4,418.0422101235986,2.1662065746743373,0.4807434001081335,4.505951770085856,6.607609555815621e-06,0.0016561606262232085
FCGR2B,316.7617166382718,1.778119146458237,0.40066419782682877,4.437928709634193,9.082868981666801e-06,0.0022270799835699966
CTSB,4251.336980192915,2.265734096103279,0.5113178460743241,4.431165689792756,9.372503502654122e-06,0.0022492014256688475
NCEH1,92.17421442700437,3.4426243649528816,0.7780789514556884,4.424518049887048,9.665782258505691e-06,0.0022712574602851182
TIPIN,41.0112384619835,-2.866869462644031,0.648832050021213,-4.418507782638513,9.938470209730607e-06,0.0022876735815418677
ADIRF,45.962003247827035,-5.041155525046208,1.1464370971482343,-4.3972369156459585,1.0963765225960277e-05,0.002473206159672119
CD79B,36.93845129824797,-2.843438998842675,0.6475333437374928,-4.391185452212624,1.1273433397568087e-05,0.0024931971625719697
CXCL8,331.39556147635466,1.7510537250772604,0.3991783657633309,4.3866448566890615,1.1511251225834695e-05,0.0024968346649267216
SLC16A10,110.95578546559632,4.502246093724765,1.0286540539037845,4.376832110502609,1.2041665486360004e-05,0.0025626027362387637
HIF1A,309.8253431256092,2.4067144404216023,0.551930278531003,4.360540695153061,1.2974144883617178e-05,0.002709914447079966
KRT15,25.804209363427894,-7.733074332980611,1.77579040350097,-4.354722447950422,1.3323562274605024e-05,0.002732299252641274
PPIA,936.3655992342256,1.7043723428614606,0.39252731338355584,4.3420477626636975,1.4116083495144538e-05,0.002813357944754661
CD83,467.6178627881941,1.7652090768814033,0.4066859701444509,4.340472026252635,1.421769685708092e-05,0.002813357944754661
C1R,39.963959949627004,-4.284857859587741,0.9914392685787393,-4.321856108978037,1.547220833300522e-05,0.002967324441933798
MPP1,307.7562692238739,2.2302052003912984,0.5161140590244948,4.321147935025449,1.5521956031039462e-05,0.002967324441933798
PHLDA1,268.7740629264061,2.7093649388682364,0.6299004995762157,4.301258596700657,1.698307243346851e-05,0.0031925345662848553
IRX3,18.954291885550703,-6.800244235965443,1.590322628461793,-4.276015516765199,1.902679677397634e-05,0.0035180859149783463
ANXA2,1981.4615625686215,2.1343251173903166,0.5000579588804119,4.268155479754572,1.9709593826436612e-05,0.003528642996323469
ITGAL,242.56809706745162,-2.0406052946883877,0.47788215916949256,-4.270101437213598,1.9538408431785488e-05,0.003528642996323469
PLXDC1,49.902506468705916,-3.9868701561756894,0.9360345192529976,-4.259319580817822,2.0505012869737303e-05,0.00361368812746511
HSPA5,1048.48237014871,1.9034088062698875,0.4477756209751558,4.25080937216878,2.1299939987032656e-05,0.0036960311248267898
FBP1,298.7843128844897,2.6520337811566908,0.6275224639290693,4.22619736120946,2.376735548028429e-05,0.004061697007001917
AVPI1,82.51269101387047,3.690821643825151,0.8793123929236917,4.197395230099352,2.7000249738751498e-05,0.004545310698557883
KIFC3,54.43456352044168,3.016224572327857,0.7194305491108662,4.192516673159855,2.7587679928950713e-05,0.004575903557626986
CD163,771.4587643759857,1.6845961499607764,0.40295979758726574,4.180556373234621,2.907967056655027e-05,0.004753472526378558
SIGLEC10,245.96128072531792,-2.528390989554214,0.606473850902499,-4.169002481791579,3.0593565826260585e-05,0.004860068013442157
