,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HLA-DRA,793.9134574830101,2.7872437485607024,0.23855579927467704,11.683823059574522,1.5420069936820092e-31,1.4969803894664944e-27
CCL3,401.49107018016974,2.7817067404885703,0.31361697801202415,8.869758130192553,7.330494628852744e-19,3.5582220928451216e-15
ATF3,129.17670542591728,4.5735048611793285,0.5184949761377781,8.820731292802392,1.1371460087629864e-18,3.679804484357024e-15
CCL4,2782.396116785693,2.6172333873508515,0.2983313277390521,8.772908320376342,1.741097911130366e-18,4.225644630313398e-15
DUSP4,104.2341060023372,3.5473005258241868,0.4180699929179959,8.48494411441767,2.1582243168783608e-17,4.190408333651025e-14
CD74,2563.7650908361416,1.9356147495479825,0.23842158602455715,8.11845429695538,4.72158451020362e-16,7.639523737509458e-13
SGK1,64.65030071532432,3.4064811472294845,0.4349166421387242,7.832492062106302,4.782934030305382e-15,6.633246223743521e-12
TNFSF9,65.76215933528997,3.3143582444269173,0.4242459218947279,7.812351453196384,5.613078034194452e-15,6.8114701944949676e-12
DUSP2,767.8745925064992,2.2285115207362374,0.2918691067887115,7.6353114081014795,2.2527524511320325e-14,2.4299689772877525e-11
FOS,1765.0595081266827,2.4763705243904286,0.3274901441722528,7.561664277407722,3.979444090056271e-14,3.8632443226266275e-11
JUN,1425.0064511692467,3.0255745170311608,0.41440831591119887,7.3009502967587485,2.857422975387313e-13,2.5218056586418214e-10
CD69,1017.6903287352441,1.853242851086973,0.2570431939835752,7.209849918085726,5.601357904377596e-13,4.311792149133572e-10
ZNF331,140.07101849092368,2.4886265124954923,0.3458533019568887,7.195612990867742,6.218076852891431e-13,4.311792149133572e-10
PLAUR,41.83551725573214,3.8432304180510446,0.5333612331569323,7.205680089089341,5.775485549500678e-13,4.311792149133572e-10
TNFAIP3,820.7638717701781,2.2025129375764982,0.30790384330098375,7.153249254584609,8.474751654704335e-13,5.484859270924646e-10
NR4A1,171.60967677817007,3.6621177451140463,0.5178649825950581,7.071568590644833,1.531920490267685e-12,9.294927574699179e-10
TIPIN,63.1368947915355,-3.65236622738955,0.5172420328524828,-7.061232450981421,1.6503225218518514e-12,9.424312377728102e-10
FOSB,570.0135168641676,1.8624184193408726,0.2668295048843817,6.979806900094748,2.955860525294795e-12,1.5941941099756595e-09
IER5,200.13756968586182,2.4397079628855223,0.3515010353408985,6.940827245414525,3.898104694387797e-12,1.9917263354271966e-09
TNF,109.71561572837444,3.092862764853849,0.45585564562981973,6.784741605164689,1.1629446447863979e-11,5.644933305793175e-09
CTD-2192J16.22,266.10713907381114,-2.0703404008096986,0.30886833411692666,-6.702986911005065,2.0420176206020202e-11,9.439955743240196e-09
IFNG,175.8206253560404,2.7315866305048626,0.4083130078080942,6.689932914869809,2.2327292635210448e-11,9.852425313755591e-09
NR4A2,219.46041389568035,2.3493439296097707,0.35275497118830834,6.6599881546549184,2.738496553310356e-11,1.1558836756320406e-08
BTG2,538.9099160435617,1.7667232271450912,0.27066156912340944,6.527425496227524,6.690977053404417e-11,2.7065002181020865e-08
RPL30,4199.1280537450275,-1.5263080203409263,0.23654552911593313,-6.452491518420831,1.1002604297295263e-10,4.2725313007256966e-08
RGS2,337.0006968486999,2.6096471144201847,0.40866793235939064,6.385739882632166,1.7057072757941282e-10,6.368848551311306e-08
RGCC,259.40739439385703,1.947971662971455,0.3059860056185761,6.366211614918365,1.9375407266345495e-10,6.966535323766002e-08
NOSIP,137.68998279832618,-2.1330465902563067,0.34083037639737795,-6.25838169943328,3.8899280495718974e-10,1.3486936251872851e-07
TIGIT,135.0804199966849,2.384181825928941,0.3833865729308014,6.218741067802781,5.011595306969792e-10,1.6217522413354247e-07
PMAIP1,59.039104575766544,3.1943669970486233,0.5135928916829907,6.219647991195933,4.982714614925989e-10,1.6217522413354247e-07
KRT86,42.797080981628184,4.543731624765651,0.7371844314488918,6.163629386251713,7.109623443151091e-10,2.2264588511648646e-07
PPP1R15A,341.6224146737019,2.055865873705932,0.33528425503827847,6.1317101617885985,8.69393875821748e-10,2.637523670774228e-07
CD14,42.42952186794118,3.184321644481904,0.5238385665517016,6.0788224613615185,1.2106831349244187e-09,3.56160965874129e-07
OASL,54.915842555028384,2.7682760990899173,0.45674651406627825,6.060858734191049,1.3539671081852904e-09,3.8659743194890584e-07
CDKN1A,45.698189407386494,3.2455316866558483,0.5368156700893327,6.045895951799901,1.4858196610577683e-09,4.1212392198710895e-07
TGFBI,49.47283053520418,3.2284826894990255,0.5405540381863256,5.972543837303067,2.3358235171330026e-09,6.298937417868665e-07
RPL34,3626.105584653041,-1.330300304580777,0.22343768208885262,-5.953786720951427,2.620082062402285e-09,6.874528827513888e-07
RPL18,2649.6753419838606,-1.4013348603504885,0.2364123370795862,-5.927503097601632,3.0757554979573304e-09,7.857745887939411e-07
RPS14,4464.58585329113,-1.495240017596403,0.2533322245273608,-5.902289060880652,3.5849232850266775e-09,8.923701346420254e-07
CXCL13,26.901205563180127,6.244915881588095,1.0617982988095143,5.881452144526771,4.0668253689539494e-09,9.870185170451235e-07
MALAT1,13308.154326755772,-1.5791192566625625,0.26979263953890764,-5.853085018780998,4.825372938288325e-09,1.1425541581683673e-06
TOX2,25.850921744811632,3.6441448304189965,0.6244536239750184,5.83573333632344,5.355449025279672e-09,1.2378737889860726e-06
ZFP36,2041.679446025178,1.6824526543351714,0.28849623160474935,5.831801146852395,5.483224170260357e-09,1.2379334940671521e-06
