,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATF3,181.2965011048255,5.153801705195101,0.4691030475627361,10.986502287657492,4.437928543396117e-28,4.93763929738252e-24
HLA-DRA,1844.9909098259407,2.353556137392905,0.2180936599531969,10.791492691250081,3.776058944071272e-27,2.1006215905868486e-23
DUSP4,215.07111881997236,4.313078494994625,0.44823740819399305,9.62230821468601,6.437019146395274e-22,2.387275834093127e-18
CCL3,201.93352156624215,3.219692563671962,0.33827564464912635,9.51795559213718,1.766193838385504e-21,4.912668161469279e-18
TIPIN,139.79866920156627,-4.005347877344322,0.4324210562808505,-9.262610641103734,1.9949373387292936e-20,4.439134566140424e-17
HLA-DPA1,633.6100960793709,2.260221213969073,0.2562716831041328,8.819629178658262,1.1483939464706082e-18,2.1295051747386644e-15
NOSIP,290.05540373841603,-2.7488244606742347,0.32073076636397446,-8.570504450934994,1.0303270249270916e-17,1.637631211334117e-14
PLAUR,52.60644792466945,4.234415550291426,0.4998716750478096,8.471005183253142,2.4328441165670756e-17,3.38347795511566e-14
DUSP2,868.413801192929,2.2579435818861158,0.2774545501463024,8.138066507453194,4.016402104205178e-16,4.965165534598535e-13
SGK1,136.99479493775806,3.3486655799948615,0.41315448897289664,8.105117260905612,5.26946705429803e-16,5.862809044611987e-13
IFNG,167.33176176169087,3.290373129021329,0.4126360887278505,7.974031401774597,1.5358049128683502e-15,1.5533968600521151e-12
TIGIT,212.88901259722033,3.0035860679320243,0.38290288326155053,7.844250328823866,4.35547509010181e-15,4.038251321039395e-12
CD163,40.328192520712676,5.366107093733269,0.6871948645593893,7.808712448941061,5.7775143831688175e-15,4.651141955313152e-12
TNFAIP3,1175.3504390046924,2.223766871774238,0.28483960039092815,7.8070846494737,5.85259638453929e-15,4.651141955313152e-12
CD74,5621.068604199832,1.8859045634175644,0.2423395261902906,7.78207580523496,7.1344094518991e-15,5.2918293041219594e-12
CD83,84.54102241443336,3.2368672812296415,0.42060220120308023,7.695792537392781,1.4061981249484439e-14,9.778350211360242e-12
RPL30,8623.331205661954,-1.6628831193418943,0.21670356566206256,-7.673538339166372,1.6731549194794626e-14,1.0950306843605001e-11
HLA-DPB1,753.6667406508757,2.2472464826927627,0.2943837098254648,7.633732464425825,2.2805292018609978e-14,1.4096204388836367e-11
